the dow jones index has risen
Basic
0.8 0.8
575.9999 172.8
Began 518.3568 467 447 0.1857639 0.3414353
Stationary 518.3757 467 447 0.1857639 0.3414353
Stationary 518.3881 467 447 0.1857639 0.3414353
Stationary 518.4055 467 447 0.1857639 0.3414353
Stationary 518.4203 467 447 0.1857639 0.3414353
Stationary 518.4352 467 447 0.1857639 0.3414353
Stationary 518.4512 467 447 0.1857639 0.3414353
Stationary 518.4671 467 447 0.1857639 0.3414353
Stationary 518.4886 467 447 0.1857639 0.3414353
Stationary 518.4983 467 447 0.1857639 0.3414353
Stationary 518.5118 467 447 0.1857639 0.3414353
Stationary 518.5284 467 447 0.1857639 0.3414353
Stationary 518.5435 467 447 0.1857639 0.3414353
Stationary 518.5582 467 447 0.1857639 0.3414353
Stationary 518.574 467 447 0.1857639 0.3414353
Stationary 518.5902 467 447 0.1857639 0.3414353
Stationary 518.6058 467 447 0.1857639 0.3414353
Stationary 518.6207 467 447 0.1857639 0.3414353
Stationary 518.6364 467 447 0.1857639 0.3414353
Stationary 518.6542 467 447 0.1857639 0.3414353
Stationary 518.6681 467 447 0.1857639 0.3414353
Stationary 518.6835 467 447 0.1857639 0.3414353
Stationary 518.699 467 447 0.1857639 0.3414353
Stationary 518.7136 467 447 0.1857639 0.3414353
Stationary 518.7285 467 447 0.1857639 0.3414353
Stationary 518.744 467 447 0.1857639 0.3414353
Moved 518.7604 456.0342 456.9829 0.166726 0.3992067
Moved 518.7756 453.1457 457 0.1617112 0.3993056
Moved 518.7928 449.8977 457 0.1560724 0.3993056
Moved 518.8064 445.1751 457 0.1478734 0.3993056
Moved 518.8218 440.8427 457 0.1403519 0.3993056
Moved 518.8373 437.3504 457 0.134289 0.3993056
Moved 518.8524 433.2049 457 0.1270918 0.3993056
Moved 518.8679 429.8846 457 0.1213275 0.3993056
Moved 518.8837 425.5442 457 0.113792 0.3993056
Moved 518.8995 422.4197 457 0.1083676 0.3993056
Moved 518.915 417.8973 457 0.1005161 0.3993056
Moved 518.9297 414.7308 457 0.09501882 0.3993056
Moved 518.9457 410.2542 457 0.08724689 0.3993056
Moved 518.9609 406.9687 457 0.08154286 0.3993056
Moved 518.9766 404.0883 457 0.07654227 0.3993056
Moved 518.9912 400.2956 457 0.06995767 0.3993056
Moved 519.0075 398.0251 457 0.06601587 0.3993056
Moved 519.027 395.1376 457 0.06100282 0.3993056
Moved 519.0399 391.2621 457 0.05427442 0.3993056
Moved 519.054 388.3818 457 0.04927396 0.3993056
Moved 519.0682 385.5014 457 0.04427321 0.3993056
Moved 519.0839 383.8071 457 0.0413318 0.3993056
Moved 519.0999 380.1055 457 0.03490545 0.3993056
Moved 519.1151 377.3523 457 0.03012545 0.3993056
Moved 519.1308 374.5784 448.5244 0.02530969 0.3502567
Moved 519.1476 370.6942 449.3471 0.01856625 0.355018
Moved 519.1617 366.7179 449 0.01166299 0.3530093
Moved 519.1773 363.3973 448.4658 0.005898178 0.3499177
Moved 519.1938 360.0512 448 8.888543E-05 0.3472222
Moved 519.2087 355.7564 446.5854 -0.007367283 0.3390362
Moved 519.2238 353.0746 446.3582 -0.01202323 0.3377212
Moved 519.2394 350.0768 446 -0.01722775 0.3356481
Moved 519.2549 347.1884 444.5942 -0.02224233 0.3275129
Moved 519.2699 344.3056 445 -0.02724722 0.3298611
Moved 519.2842 342.7158 445 -0.03000725 0.3298611
Moved 519.3013 340.272 444 -0.03424994 0.3240742
Moved 519.3163 338.8351 444 -0.03674455 0.3240742
Moved 519.3311 337.5 444 -0.0390625 0.3240742
Moved 519.3464 336.321 444 -0.0411094 0.3240742
Moved 519.3613 334.8785 444 -0.04361369 0.3240742
Stationary 519.3774 334.8785 444 -0.04361369 0.3240742
Moved 519.3926 332.9957 444 -0.04688248 0.3240742
Stationary 519.4088 332.9957 444 -0.04688248 0.3240742
Moved 519.4235 331.6266 444 -0.04925944 0.3240742
Moved 519.4377 330.8376 442.8376 -0.05062915 0.3173475
Stationary 519.4562 330.8376 442.8376 -0.05062915 0.3173475
Stationary 519.4684 330.8376 442.8376 -0.05062915 0.3173475
Moved 519.4846 329.7752 443 -0.05247365 0.318287
Stationary 519.5029 329.7752 443 -0.05247365 0.318287
Stationary 519.5143 330 443 -0.05208332 0.318287
Stationary 519.5302 330 443 -0.05208332 0.318287
Moved 519.5466 330 441.9709 -0.05208332 0.3123319
Stationary 519.5623 330 441.9709 -0.05208332 0.3123319
Moved 519.578 330 440.3774 -0.05208332 0.3031101
Moved 519.5939 338.5013 437.8747 -0.03732409 0.2886266
Moved 519.6102 341.5128 435.9915 -0.0320958 0.2777283
Moved 519.6234 345.829 434.057 -0.02460237 0.2665337
Moved 519.6403 350.1263 432.6246 -0.01714181 0.2582442
Moved 519.6536 355.2707 429.3647 -0.008210652 0.239379
Moved 519.6779 368.4486 423.7757 0.01466781 0.2070354
Stationary 519.6884 368.4486 423.7757 0.01466781 0.2070354
Moved 519.7025 374.188 421.4872 0.02463207 0.1937917
Moved 519.7169 378.8291 419.7236 0.03268935 0.1835858
Moved 519.7324 383.1497 416.5668 0.04019051 0.1653174
Moved 519.749 386.3134 413.6866 0.04568301 0.1486493
Moved 519.764 390.1938 411.8062 0.0524199 0.1377671
Moved 519.7781 391.7812 410.2188 0.05517564 0.1285812
Moved 519.7944 394.2862 408.8569 0.05952462 0.1206998
Moved 519.8106 397 404.5 0.06423607 0.0954862
Moved 519.8247 399.036 403.9639 0.06777093 0.09238393
Moved 519.84 401.9183 401.0817 0.07277481 0.07570461
Moved 519.8557 403.8377 399.1622 0.07610715 0.06459624
Moved 519.8713 405.3513 397.6487 0.0787349 0.05583746
Moved 519.8872 406.5 396.5 0.0807292 0.04918999
Moved 519.9028 407.8637 395.1363 0.08309669 0.04129807
Moved 519.9166 409.3071 393.6929 0.08560263 0.03294485
Moved 519.9326 410.7443 393.2557 0.08809774 0.03041515
Moved 519.948 412.1866 391.8134 0.09060173 0.02206847
Moved 519.9636 413 390.3703 0.09201391 0.01371702
Moved 519.9789 414.0607 390 0.09385541 0.01157407
Moved 519.9942 415.5 388.5 0.09635419 0.00289343
Moved 520.0096 415.6272 388 0.09657494 8.830317E-08
Stationary 520.0252 416 388 0.09722225 8.830317E-08
Moved 520.0425 417.4916 386.5084 0.09981178 -0.008631901
Moved 520.0565 417.9383 386 0.1005872 -0.01157407
Moved 520.0714 418 384.6186 0.1006944 -0.01956825
Moved 520.0869 419.5 385 0.1032986 -0.01736111
Moved 520.1028 419 383.8632 0.1024306 -0.02394005
Stationary 520.1172 419 383.8632 0.1024306 -0.02394005
Stationary 520.1331 419 384 0.1024306 -0.02314797
Stationary 520.1494 419 384 0.1024306 -0.02314797
Stationary 520.1638 419 384 0.1024306 -0.02314797
Moved 520.1786 409.4999 384 0.0859373 -0.02314797
Moved 520.1981 403.7998 384 0.0760413 -0.02314797
Moved 520.2105 399.0169 391.9548 0.06773777 0.02288686
Moved 520.226 393.4912 394.2036 0.05814441 0.03590036
Moved 520.2426 383.5244 399.7379 0.04084088 0.06792749
Moved 520.2568 375.8788 404.0727 0.02756737 0.09301327
