parking lot is full of trucks
Basic
0.6 0.6
432 129.6
Began 295.0981 650 506 0.6712963 0.9104938
Stationary 295.118 650 506 0.6712963 0.9104938
Stationary 295.1333 650 506 0.6712963 0.9104938
Stationary 295.1476 650 506 0.6712963 0.9104938
Stationary 295.1632 650 506 0.6712963 0.9104938
Stationary 295.1778 650 506 0.6712963 0.9104938
Stationary 295.194 650 506 0.6712963 0.9104938
Stationary 295.2094 650 506 0.6712963 0.9104938
Stationary 295.2245 650 506 0.6712963 0.9104938
Stationary 295.2408 650 506 0.6712963 0.9104938
Stationary 295.255 650 506 0.6712963 0.9104938
Stationary 295.2697 650 506 0.6712963 0.9104938
Stationary 295.2869 650 506 0.6712963 0.9104938
Stationary 295.3027 650 506 0.6712963 0.9104938
Stationary 295.3175 650 506 0.6712963 0.9104938
Stationary 295.3331 650 506 0.6712963 0.9104938
Stationary 295.3481 650 506 0.6712963 0.9104938
Stationary 295.3639 650 506 0.6712963 0.9104938
Stationary 295.3786 650 506 0.6712963 0.9104938
Moved 295.3936 639.8157 506 0.6477216 0.9104938
Moved 295.4094 638.3713 498.3713 0.644378 0.8516304
Moved 295.4257 637.1917 497.1917 0.6416474 0.8425283
Moved 295.4428 635.8143 495.8143 0.6384591 0.8319007
Moved 295.4555 633.3713 494.3713 0.632804 0.8207665
Moved 295.4712 630.8804 492.9402 0.6270379 0.8097237
Moved 295.49 627.9933 490.4966 0.620355 0.7908691
Moved 295.504 625.1129 489.0565 0.6136873 0.7797568
Moved 295.5186 622.2562 486.2562 0.6070746 0.7581498
Moved 295.5355 618.5 484 0.5983797 0.7407409
Moved 295.5487 615.2848 481.1899 0.590937 0.7190579
Moved 295.5645 612.3096 478.3096 0.5840499 0.696833
Moved 295.5807 608.4292 476.4292 0.5750676 0.6823242
Moved 295.5963 605.5489 473.5489 0.5684002 0.6600994
Moved 295.6099 602.6724 472.3362 0.5617415 0.6507423
Moved 295.6267 599.7876 470.8938 0.5550639 0.6396126
Moved 295.6424 598.5 469.5 0.5520834 0.6288581
Moved 295.6564 596.3485 467.6971 0.547103 0.6149465
Moved 295.6733 593.8148 467 0.5412379 0.6095679
Moved 295.6916 592.5 465.5 0.5381944 0.5979939
Moved 295.7038 591.0298 465 0.5347914 0.5941358
Moved 295.7252 588.1495 463 0.528124 0.5787038
Stationary 295.7356 588.1495 463 0.528124 0.5787038
Moved 295.7493 588 461.7131 0.5277778 0.5687737
Moved 295.7649 586.7012 462 0.5247714 0.5709878
Moved 295.7813 586 461.16 0.5231482 0.564506
Moved 295.7967 584.723 461 0.5201921 0.5632715
Moved 295.8115 584.2828 460 0.5191733 0.5555557
Moved 295.8268 582.8452 458.8452 0.5158452 0.5466446
Stationary 295.8426 583 459 0.5162038 0.5478396
Moved 295.8564 580.9615 458 0.511485 0.5401234
Stationary 295.8721 581 458 0.511574 0.5401234
Moved 295.8898 579.4487 457 0.5079831 0.5324075
Moved 295.9046 579 456.0113 0.5069445 0.5247784
Moved 295.92 577.5712 456 0.5036371 0.5246913
Moved 295.937 577.131 455.131 0.502618 0.5179861
Stationary 295.9496 577 455 0.5023147 0.5169753
Moved 295.9651 576 454.2528 0.5000001 0.51121
Moved 295.9828 575.1043 454 0.4979267 0.5092594
Stationary 295.9974 575 454 0.4976852 0.5092594
Moved 296.0121 574 453 0.4953703 0.5015432
Stationary 296.0274 574 453 0.4953703 0.5015432
Moved 296.0425 573 452 0.4930556 0.4938273
Moved 296.0586 571.9464 452 0.4906165 0.4938273
Moved 296.0743 572 450.5 0.4907407 0.4822531
Moved 296.0894 571 450.3052 0.4884259 0.4807504
Moved 296.1046 569.973 450 0.4860485 0.4783951
Stationary 296.1194 569.973 450 0.4860485 0.4783951
Moved 296.1354 568.6266 448.6266 0.4829319 0.4677979
Moved 296.1503 567.8279 449 0.4810831 0.4706791
Moved 296.1657 567.2145 448 0.4796631 0.462963
Moved 296.1816 567 446.7749 0.4791667 0.4535101
Moved 296.1975 565.5 447 0.4756944 0.4552471
Moved 296.2128 565.1937 446 0.4749853 0.4475308
Moved 296.2284 563.7535 444.7535 0.4716518 0.4379131
Stationary 296.2419 563.7535 444.7535 0.4716518 0.4379131
Moved 296.2581 562.6266 443.6266 0.469043 0.4292175
Moved 296.2744 562 443.431 0.4675925 0.4277085
Moved 296.2911 560.9957 443 0.4652679 0.4243827
Moved 296.304 559.5555 441.5555 0.4619341 0.4132375
Stationary 296.3206 559.5555 441.5555 0.4619341 0.4132375
Moved 296.3351 558.6807 440.6807 0.4599091 0.4064872
Moved 296.3503 557.787 439.787 0.4578403 0.399591
Stationary 296.3667 557.787 439.787 0.4578403 0.399591
Moved 296.3827 555.6825 438.6825 0.4529688 0.3910685
Moved 296.3964 555.2805 439 0.4520381 0.3935187
Moved 296.4133 553.847 437.847 0.4487201 0.3846224
Stationary 296.4279 554 438 0.4490741 0.3858025
Moved 296.4438 552.5 436.5 0.4456018 0.3742285
Moved 296.4593 551.9561 437 0.4443429 0.3780865
Moved 296.4755 550.5 435.5 0.4409722 0.3665124
Moved 296.4905 550.0373 436 0.4399011 0.3703703
Moved 296.5045 550 434.6251 0.4398148 0.3597619
Moved 296.5202 549 435 0.4375 0.3626544
Moved 296.5349 548.0535 434.0535 0.4353091 0.3553514
Moved 296.551 547.5 433.5 0.4340278 0.3510801
Moved 296.5663 546.6266 434 0.432006 0.3549384
Stationary 296.5836 546.6266 434 0.432006 0.3549384
Moved 296.5996 545.7772 432.7772 0.4300398 0.345503
Stationary 296.6125 546 433 0.4305556 0.3472221
Moved 296.6284 545 433 0.4282407 0.3472221
Stationary 296.644 545 433 0.4282407 0.3472221
Moved 296.6586 543.9323 433 0.4257691 0.3472221
Moved 296.6741 544 431.5173 0.4259259 0.3357813
Moved 296.6919 542.9969 432 0.423604 0.3395063
Stationary 296.7054 543 432 0.4236111 0.3395063
Stationary 296.7211 543 432 0.4236111 0.3395063
Moved 296.7456 542 430.5 0.4212962 0.3279321
Stationary 296.7589 542 430.5 0.4212962 0.3279321
Stationary 296.7707 542 430.5 0.4212962 0.3279321
