the five boxing wizards jump quickly
Basic
0.8 0.8
575.9999 518.4
Began 436.5682 373 472 0.02256945 0.162037
Stationary 436.5868 373 472 0.02256945 0.162037
Stationary 436.6025 373 472 0.02256945 0.162037
Stationary 436.6161 373 472 0.02256945 0.162037
Stationary 436.6314 373 472 0.02256945 0.162037
Stationary 436.6464 373 472 0.02256945 0.162037
Stationary 436.6626 373 472 0.02256945 0.162037
Stationary 436.6776 373 472 0.02256945 0.162037
Stationary 436.6929 373 472 0.02256945 0.162037
Stationary 436.7175 373 472 0.02256945 0.162037
Stationary 436.7347 373 472 0.02256945 0.162037
Stationary 436.7497 373 472 0.02256945 0.162037
Stationary 436.7632 373 472 0.02256945 0.162037
Stationary 436.7775 373 472 0.02256945 0.162037
Stationary 436.7922 373 472 0.02256945 0.162037
Stationary 436.8029 373 472 0.02256945 0.162037
Stationary 436.8157 373 472 0.02256945 0.162037
Stationary 436.8311 373 472 0.02256945 0.162037
Stationary 436.8455 373 472 0.02256945 0.162037
Stationary 436.8612 373 472 0.02256945 0.162037
Stationary 436.8768 373 472 0.02256945 0.162037
Stationary 436.892 373 472 0.02256945 0.162037
Stationary 436.9078 373 472 0.02256945 0.162037
Moved 436.9234 363.4178 472 0.005933791 0.162037
Stationary 436.9398 363.4178 472 0.005933791 0.162037
Stationary 436.9557 363.4178 472 0.005933791 0.162037
Moved 436.9703 361.793 472 0.003112927 0.162037
Moved 436.987 361.405 472 0.002439171 0.162037
Moved 437.0031 360.0294 472 5.111098E-05 0.162037
Moved 437.0184 358.6571 472 -0.002331398 0.162037
Moved 437.0339 357.5 472 -0.004340261 0.162037
Moved 437.0486 356.2461 472 -0.006517134 0.162037
Moved 437.0639 354.8622 479.9646 -0.008919761 0.1774008
Moved 437.0803 353.5 480.5 -0.01128472 0.1784336
Moved 437.0971 352.0611 482.9389 -0.01378287 0.1831383
Moved 437.1119 350.6839 484.3162 -0.01617383 0.185795
Moved 437.1261 349.3111 486.3778 -0.01855712 0.1897719
Moved 437.1409 347.9403 490.179 -0.02093691 0.1971045
Moved 437.1578 345.7553 492.2446 -0.0247303 0.2010891
Moved 437.1733 344.5 496.5 -0.02690971 0.2092978
Moved 437.188 342.0747 500.7759 -0.03112029 0.217546
Moved 437.2043 340.6868 504.9398 -0.03352992 0.2255782
Moved 437.218 339.311 507.3781 -0.03591843 0.2302817
Moved 437.2347 336.8281 511.2579 -0.040229 0.2377658
Moved 437.2492 335.5341 515.3975 -0.04247542 0.2457514
Moved 437.2657 335.361 517.9171 -0.04277609 0.2506115
Moved 437.2793 334.0918 520.8165 -0.04497956 0.2562045
Moved 437.2956 334 523.5863 -0.0451389 0.2615476
Moved 437.3111 333.3193 527.3614 -0.04632063 0.2688297
Moved 437.3259 333 531.1631 -0.04687499 0.2761634
Moved 437.343 333 535.3192 -0.04687499 0.2841805
Moved 437.3597 333 539.6281 -0.04687499 0.2924924
Moved 437.3724 333 544.8367 -0.04687499 0.3025399
Moved 437.3874 333 546.3334 -0.04687499 0.305427
Moved 437.4056 333 550.2289 -0.04687499 0.3129414
Moved 437.4186 333 552.9783 -0.04687499 0.3182451
Moved 437.4339 333 555.733 -0.04687499 0.323559
Moved 437.4495 333 556.7411 -0.04687499 0.3255036
Moved 437.4654 333 558.1155 -0.04687499 0.3281549
Moved 437.4809 333 559.5014 -0.04687499 0.3308283
Moved 437.4955 333 560.6677 -0.04687499 0.3330781
Stationary 437.5103 333 561 -0.04687499 0.333719
Moved 437.5254 333 562.3247 -0.04687499 0.3362744
Stationary 437.5407 333 562.3247 -0.04687499 0.3362744
Moved 437.5579 333 563.3571 -0.04687499 0.3382659
Moved 437.5717 341.5906 563 -0.03196076 0.3375771
Stationary 437.588 341.5906 563 -0.03196076 0.3375771
Moved 437.6029 341.2072 563 -0.03262646 0.3375771
Moved 437.6182 342.1819 563 -0.03093414 0.3375771
Moved 437.6336 344.1979 563 -0.02743419 0.3375771
Moved 437.6511 346.9593 563 -0.02264019 0.3375771
Moved 437.6717 353.4825 552.7763 -0.01131512 0.3178554
Stationary 437.6828 353.4825 552.7763 -0.01131512 0.3178554
Moved 437.6958 357.3885 545.223 -0.004533827 0.3032849
Moved 437.7115 358.5 540 -0.002604164 0.2932098
Moved 437.7267 361 533 0.001736134 0.2797067
Moved 437.7429 364.9323 523.2371 0.008562951 0.2608739
Moved 437.759 367.7238 514.8284 0.01340948 0.2446535
Moved 437.7731 370.7356 508.0576 0.01863822 0.2315926
Moved 437.7887 373.229 502.5419 0.02296708 0.2209527
Moved 437.8041 374.4919 498.5244 0.02515949 0.2132028
Moved 437.8203 377.7284 494.4075 0.03077842 0.2052612
Moved 437.8351 379.2378 490.2867 0.03339887 0.1973122
Moved 437.8529 381.4454 486.1093 0.03723152 0.1892539
Moved 437.8661 384.3435 480.313 0.04226297 0.1780729
Moved 437.8819 387.1036 474.7927 0.04705496 0.1674241
Moved 437.8961 389.8505 469.299 0.05182378 0.1568267
Moved 437.9119 392.6065 464.5901 0.05660854 0.1477433
Moved 437.9277 396.5633 458.0612 0.0634779 0.1351489
Moved 437.9437 399.1367 454.295 0.06794564 0.1278837
Moved 437.958 401.4041 450.8939 0.07188201 0.1213231
Moved 437.9729 403.9618 446.0765 0.07632247 0.1120302
Moved 437.9893 406.7316 443.2684 0.0811313 0.1066133
Moved 438.0054 409.4838 439.5162 0.08590928 0.09937538
Moved 438.0209 412.231 435.6536 0.09067877 0.09192427
Moved 438.035 414.9784 431.5324 0.09544857 0.08397449
Moved 438.0505 418.7264 424.6841 0.1019555 0.07076395
Moved 438.0669 421.4863 419.0274 0.1067471 0.05985218
Moved 438.0815 422.2386 416.2843 0.108053 0.0545607
Moved 438.0956 424.696 411.9122 0.1123194 0.04612678
Moved 438.1125 426.0838 407.7486 0.1147288 0.03809525
Moved 438.1281 427.4605 405.079 0.1171189 0.03294562
Moved 438.1434 427.8379 402.3243 0.1177741 0.02763171
Moved 438.1592 428 398.3343 0.1180556 0.01993488
Moved 438.1737 428 395.7971 0.1180556 0.01504068
Moved 438.1896 428 394.2637 0.1180556 0.01208279
Moved 438.206 428 392.9713 0.1180556 0.009589694
Moved 438.2207 428 391.5863 0.1180556 0.006917994
Moved 438.2356 428 389.4081 0.1180556 0.002716294
Moved 438.2508 428 387.8224 0.1180556 -0.000342528
Moved 438.2664 428 386.5 0.1180556 -0.002893548
Moved 438.2819 421.364 385.052 0.1065347 -0.005686753
Moved 438.2972 418.3416 383.6708 0.1012874 -0.008351183
Moved 438.3129 416.153 382.5765 0.09748779 -0.01046204
Moved 438.3274 414.1931 381.1931 0.09408526 -0.01313062
Moved 438.344 411.6993 379.8497 0.0897558 -0.01572214
Moved 438.3593 409.4653 378.4653 0.08587725 -0.01839267
Moved 438.3749 407.1735 378 0.08189842 -0.01929018
Moved 438.3942 404.4214 376.7108 0.07712058 -0.02177715
Moved 438.4083 400.324 377 0.070007 -0.02121919
Moved 438.4209 397.4091 377 0.06494641 -0.02121919
Moved 438.4364 393.6615 377 0.05844004 -0.02121919
Moved 438.4542 389.5108 377 0.05123407 -0.02121919
