come and see our new car
Basic
0.6 0.6
432 388.8
Began 253.5936 208 334 -0.3518518 -0.1388889
Stationary 253.6147 208 334 -0.3518518 -0.1388889
Stationary 253.6281 208 334 -0.3518518 -0.1388889
Stationary 253.6426 208 334 -0.3518518 -0.1388889
Stationary 253.6609 208 334 -0.3518518 -0.1388889
Stationary 253.6746 208 334 -0.3518518 -0.1388889
Moved 253.69 204.6918 329.7466 -0.3595097 -0.1498287
Moved 253.7068 200.3266 324.3266 -0.3696143 -0.1637691
Stationary 253.7224 200 324 -0.3703704 -0.164609
Moved 253.7361 200 322.5687 -0.3703704 -0.1682905
Stationary 253.7522 200 323 -0.3703704 -0.1671811
Stationary 253.7693 200 323 -0.3703704 -0.1671811
Stationary 253.7847 200 323 -0.3703704 -0.1671811
Moved 253.7983 207.263 323 -0.3535579 -0.1671811
Moved 253.8142 216 336.5 -0.3333333 -0.1324588
Moved 253.8303 226.8644 344.1313 -0.3081843 -0.1128309
Moved 253.845 238.3339 354.1671 -0.2816346 -0.08701881
Moved 253.8634 249.8421 364.2368 -0.2549951 -0.0611193
Moved 253.8753 262.4065 376.4065 -0.2259108 -0.02981876
Moved 253.8928 275.3163 386.3571 -0.1960272 -0.004225562
Moved 253.9087 290.1029 398.3272 -0.1617987 0.02656167
Moved 253.9241 301.945 408.5768 -0.1343866 0.05292397
Moved 253.9371 308.4807 412.7719 -0.1192577 0.06371368
Moved 253.9528 324.0241 423.4145 -0.08327747 0.09108661
Moved 253.9686 338.4529 434.7623 -0.04987751 0.1202735
Moved 253.9841 353.5641 446.2285 -0.01489778 0.1497645
Moved 253.9993 368.3362 456.6354 0.01929681 0.1765312
Moved 254.0163 381.6812 466.0087 0.0501879 0.2006396
Moved 254.0299 397.0484 476.7625 0.08576015 0.2282984
Moved 254.0448 407.2491 484.9993 0.1093728 0.2494836
Moved 254.0608 421.8929 494.6697 0.1432706 0.2743561
Moved 254.0765 433.3343 502.2089 0.1697552 0.2937472
Moved 254.0903 443.4471 508.9698 0.1931646 0.3111362
Moved 254.1067 453.4811 514.7035 0.2163915 0.3258834
Moved 254.123 462.2087 519.1043 0.2365942 0.3372023
Moved 254.1388 469.0006 522.6003 0.2523163 0.3461941
Moved 254.1537 473.7487 525.8116 0.2633073 0.3544536
Moved 254.1687 480.7784 528.7114 0.2795796 0.3619119
Moved 254.1844 484.3565 531.571 0.2878623 0.3692668
Moved 254.1988 488.6653 533.2218 0.2978365 0.3735128
Moved 254.215 491.3324 535 0.3040102 0.3780863
Moved 254.2302 493.111 536.111 0.3081273 0.3809437
Moved 254.2461 494.5432 537 0.3114427 0.3832304
Moved 254.261 495.7279 537.7279 0.314185 0.3851025
Moved 254.2764 497.0736 538 0.3173001 0.3858024
Moved 254.2912 498.5 538 0.3206019 0.3858024
Moved 254.3073 498.935 538.9349 0.3216087 0.388207
Moved 254.3216 500.3885 539 0.3249735 0.3883744
Stationary 254.3382 500.3885 539 0.3249735 0.3883744
Moved 254.3529 501.2581 539 0.3269863 0.3883744
Stationary 254.3693 501.2581 539 0.3269863 0.3883744
Moved 254.3841 502.324 539 0.3294537 0.3883744
Moved 254.4 502 531.0992 0.3287037 0.3680533
Moved 254.4158 502 522.0893 0.3287037 0.3448798
Moved 254.4309 502 511.9833 0.3287037 0.3188869
Moved 254.4453 502 498.5345 0.3287037 0.2842966
Moved 254.4622 502 481.8483 0.3287037 0.2413794
Moved 254.4773 490.3798 463.1172 0.301805 0.1932026
Moved 254.493 485.6384 439.5536 0.2908297 0.1325967
Moved 254.5091 478.9906 413.9648 0.2754412 0.06678173
Moved 254.5234 473.3002 394.0505 0.2622689 0.015562
Moved 254.5385 470.3678 374.4713 0.2554811 -0.03479624
Moved 254.5542 468.6842 355.8952 0.2515839 -0.08257414
Moved 254.5697 467.2561 342.0729 0.248278 -0.1181251
Moved 254.5851 464.6352 324.8113 0.2422111 -0.1625224
Moved 254.6002 463.8174 321.087 0.240318 -0.1721015
Moved 254.616 463 308.8063 0.2384259 -0.2036874
Moved 254.632 463 300.1478 0.2384259 -0.2259573
Moved 254.6547 463 288.9791 0.2384259 -0.2546835
Moved 254.6678 463 283.1406 0.2384259 -0.2697001
Stationary 254.679 463 283.1406 0.2384259 -0.2697001
Moved 254.6924 463 276.6883 0.2384259 -0.2862955
Moved 254.7084 463 274.0049 0.2384259 -0.2931974
Moved 254.7263 463 269.6937 0.2384259 -0.3042858
Moved 254.7397 463 265.4803 0.2384259 -0.3151228
Moved 254.7546 463 261.0441 0.2384259 -0.3265328
Moved 254.7699 463 255.7363 0.2384259 -0.3401845
Moved 254.7852 463 251.4203 0.2384259 -0.3512852
Moved 254.7999 462 248.7467 0.2361111 -0.3581617
Moved 254.8157 462 246.4269 0.2361111 -0.3641284
Moved 254.8317 462 243.6588 0.2361111 -0.3712479
Moved 254.8465 462 241.8101 0.2361111 -0.3760029
Moved 254.8633 462 239.9663 0.2361111 -0.3807451
Moved 254.8771 462 238.5275 0.2361111 -0.384446
Moved 254.8927 461.0888 237.0889 0.2340019 -0.388146
Moved 254.9083 461 235.65 0.2337964 -0.3918467
Stationary 254.9234 461 235.65 0.2337964 -0.3918467
Moved 254.9388 458.1595 235 0.2272211 -0.3935186
Moved 254.9546 452.519 235 0.2141643 -0.3935186
Moved 254.97 438.7026 253.2975 0.1821819 -0.3464571
Moved 254.9854 424.3826 272.6644 0.1490338 -0.2966451
Moved 255.0011 410.1103 290.6456 0.115996 -0.2503973
Moved 255.0162 396.9075 308.4567 0.08543392 -0.2045868
Moved 255.0326 384.5 334 0.05671293 -0.1388889
Moved 255.0477 376.2637 349.0386 0.03764739 -0.1002094
Moved 255.0639 365.9458 371.4096 0.01376341 -0.04267084
Moved 255.0796 358.4408 387.5251 -0.00360921 -0.001221449
Moved 255.0944 348.8451 404.2656 -0.02582162 0.04183541
Moved 255.1094 341.7299 419.9943 -0.04229198 0.08228984
Moved 255.125 336.412 432.1759 -0.05460173 0.1136211
Moved 255.1402 332.0015 443.6627 -0.06481136 0.1431653
Moved 255.1572 329.0871 448.8258 -0.07155766 0.1564449
