parking lot is full of trucks
Basic
0.6 0.6
432 388.8
Began 277.3863 574 550 0.4953703 0.4166666
Stationary 277.4048 574 550 0.4953703 0.4166666
Stationary 277.4194 574 550 0.4953703 0.4166666
Stationary 277.4344 574 550 0.4953703 0.4166666
Stationary 277.4496 574 550 0.4953703 0.4166666
Stationary 277.4649 574 550 0.4953703 0.4166666
Moved 277.4816 565.9068 542.806 0.4766361 0.3981635
Moved 277.4966 562.3276 540.6638 0.4683508 0.3926538
Moved 277.5151 558.9046 539.6349 0.4604273 0.3900073
Moved 277.5277 550.5381 535.269 0.4410606 0.3787783
Moved 277.5428 543.2504 532.3002 0.4241906 0.3711424
Moved 277.5599 535.1077 529.4431 0.405342 0.3637938
Moved 277.5743 527.9196 526.5678 0.3887028 0.3563986
Moved 277.5897 517.0339 522.678 0.3635043 0.3463939
Moved 277.6061 507.2851 519.7958 0.3409378 0.3389808
Moved 277.6204 501.0891 516.5446 0.3265951 0.3306186
Moved 277.636 487.8448 512.0668 0.2959369 0.3191017
Moved 277.651 479.5818 509.9164 0.2768097 0.3135708
Moved 277.666 470.3881 506.9553 0.2555281 0.3059548
Moved 277.6812 462.2162 504.0721 0.2366115 0.2985392
Moved 277.6977 454.9997 501.1999 0.2199068 0.2911519
Moved 277.7133 445.0303 496.5887 0.1968293 0.279292
Moved 277.7277 439.2724 494.1089 0.1835008 0.2729139
Moved 277.7434 429.4406 491.2687 0.1607421 0.2656088
Moved 277.7592 422.1924 489.1987 0.1439639 0.2602847
Moved 277.7749 414.8514 486.5405 0.1269708 0.2534478
Moved 277.7895 406.9457 485.3243 0.1086706 0.2503196
Moved 277.8056 399.4253 482.7701 0.09126236 0.2437503
Moved 277.821 391.6693 480.8898 0.07330854 0.238914
Moved 277.8369 384.5021 478.5007 0.05671789 0.2327693
Moved 277.8508 376.3343 475.7781 0.03781081 0.2257666
Moved 277.867 367.2602 472.452 0.01680603 0.2172119
Moved 277.8807 356.132 470.0294 -0.008953611 0.2109808
Moved 277.897 348.8315 467.1326 -0.02585312 0.2035302
Moved 277.9163 337.93 464.2657 -0.05108799 0.1961565
Moved 277.9285 325.1797 461.3733 -0.08060241 0.1887173
Moved 277.9427 313 457.5 -0.1087963 0.1787551
Moved 277.9608 302.3027 454.3257 -0.1335586 0.1705906
Moved 277.9745 292.1247 451.4642 -0.1571188 0.1632308
Moved 277.9906 280.2845 447.8567 -0.1845268 0.1539523
Moved 278.0052 269.929 443.541 -0.2084976 0.1428524
Moved 278.0286 249.8832 437.9666 -0.2549 0.1285149
Stationary 278.0402 249.8832 437.9666 -0.2549 0.1285149
Moved 278.0528 239.7737 435.0782 -0.2783017 0.1210859
Moved 278.0674 233.7434 432.7838 -0.2922607 0.1151846
Moved 278.0826 224.9458 429.9819 -0.3126255 0.1079781
Moved 278.098 214.8947 427.1128 -0.3358919 0.1005987
Moved 278.1161 207.6786 423.3393 -0.3525959 0.0908932
Moved 278.128 200.3927 421.6785 -0.3694614 0.08662168
Moved 278.1442 193.2225 418.489 -0.386059 0.07841812
Moved 278.1607 187.1958 415.5979 -0.4000096 0.07098221
Moved 278.1779 180.6414 413.5471 -0.4151819 0.06570757
Moved 278.1915 174.0236 410.2559 -0.4305009 0.05724255
Moved 278.2081 168.2819 407.641 -0.4437919 0.05051687
Moved 278.2234 162.1628 404.3876 -0.4579565 0.04214911
Moved 278.2368 156.8043 401.9022 -0.4703605 0.03575651
Moved 278.2532 154.0331 399.033 -0.4767753 0.02837703
Moved 278.2672 149.2285 397.1523 -0.487897 0.0235399
Moved 278.283 148.0038 396.0038 -0.4907319 0.02058586
Moved 278.2987 145.133 396 -0.4973773 0.02057605
Moved 278.3155 144.1305 395 -0.4996978 0.01800408
Moved 278.3295 142.6956 393.6956 -0.5030195 0.01464903
Stationary 278.3445 143 394 -0.5023148 0.01543206
Stationary 278.3605 143 394 -0.5023148 0.01543206
Stationary 278.3747 143 394 -0.5023148 0.01543206
Stationary 278.3903 143 394 -0.5023148 0.01543206
Moved 278.4073 154.7094 408.8547 -0.4752097 0.05363872
Moved 278.424 163.2394 417.6338 -0.4554644 0.07621851
Moved 278.4379 173.2822 427.2822 -0.4322171 0.1010343
Moved 278.4525 183.383 434.4164 -0.4088357 0.1193836
Moved 278.468 192.389 443.4763 -0.3879884 0.142686
Moved 278.4837 201.1056 450.7546 -0.3678111 0.1614058
Moved 278.5004 209.5 458 -0.3483796 0.180041
Moved 278.5166 217.1311 465.2552 -0.3307149 0.1987017
Moved 278.5304 225.8387 471.2258 -0.3105586 0.214058
Moved 278.5464 232.7204 476.9764 -0.2946286 0.2288487
Moved 278.5601 238.7312 481.5484 -0.2807149 0.2406079
Moved 278.5768 244.4949 486.8712 -0.2673729 0.2542983
Moved 278.5909 249.1809 491.1808 -0.2565258 0.2653827
Moved 278.6067 253.4974 495.4974 -0.2465338 0.2764849
Moved 278.6219 256.9045 498.2697 -0.238647 0.2836153
Moved 278.6388 261.2238 502.2238 -0.2286487 0.2937853
Moved 278.6533 265.021 505.021 -0.2198589 0.3009798
Moved 278.6685 268.8396 508.8396 -0.2110195 0.3108014
Moved 278.6845 273.1673 511.7782 -0.2010016 0.3183594
Moved 278.6997 274.6734 513.6734 -0.1975153 0.323234
Moved 278.7152 276.2769 515.2769 -0.1938035 0.3273582
Moved 278.7305 277.2758 516.2758 -0.1914913 0.3299273
Moved 278.7458 278.8118 517.8118 -0.1879357 0.3338779
Moved 278.762 280.2483 518 -0.1846104 0.3343621
Stationary 278.7772 280.2483 518 -0.1846104 0.3343621
Moved 278.7916 282.1291 519 -0.1802567 0.3369341
Moved 278.8092 283.5658 519.5658 -0.176931 0.3383893
Moved 278.8232 285.0005 520 -0.1736099 0.3395061
Moved 278.8382 287.1093 520 -0.1687285 0.3395061
Moved 278.8602 300.7742 510.4517 -0.1370968 0.3149476
Stationary 278.8709 300.7742 510.4517 -0.1370968 0.3149476
Moved 278.8842 310.7833 502.6143 -0.1139275 0.2947897
Moved 278.9011 322.479 493.183 -0.0868541 0.2705323
