my bare face in the wind
Basic
0.6 0.6
432 129.6
Began 402.123 508 294 0.3425926 -0.7253087
Stationary 402.1422 508 294 0.3425926 -0.7253087
Stationary 402.156 508 294 0.3425926 -0.7253087
Stationary 402.1712 508 294 0.3425926 -0.7253087
Stationary 402.1868 508 294 0.3425926 -0.7253087
Stationary 402.2057 508 294 0.3425926 -0.7253087
Stationary 402.2205 508 294 0.3425926 -0.7253087
Stationary 402.2364 508 294 0.3425926 -0.7253087
Stationary 402.2499 508 294 0.3425926 -0.7253087
Stationary 402.2634 508 294 0.3425926 -0.7253087
Stationary 402.2791 508 294 0.3425926 -0.7253087
Stationary 402.2942 508 294 0.3425926 -0.7253087
Moved 402.3105 497.2463 294 0.3176998 -0.7253087
Moved 402.3276 493.3069 305.0792 0.3085808 -0.6398208
Moved 402.3416 490.1978 305.8022 0.3013837 -0.6342425
Moved 402.3574 487.5741 307.713 0.2953105 -0.6194988
Moved 402.3729 484.0598 309.9601 0.2871755 -0.6021594
Moved 402.388 479.9798 312.6801 0.277731 -0.5811718
Moved 402.4034 476.9115 314.3923 0.2706285 -0.5679604
Moved 402.4191 472.8282 316.0573 0.2611765 -0.5551139
Moved 402.4348 470.1586 318.8414 0.2549967 -0.5336307
Moved 402.4522 467.4315 319.7842 0.2486841 -0.526356
Moved 402.4653 465.8522 321.1478 0.2450282 -0.5158345
Moved 402.4804 463.6894 321 0.2400218 -0.5169753
Moved 402.4965 461 322.5 0.2337964 -0.5054013
Moved 402.5117 458.1508 323.9246 0.2272008 -0.4944086
Moved 402.5285 456.7117 325.2883 0.2238698 -0.4838866
Moved 402.5411 454.3509 326 0.2184047 -0.4783953
Moved 402.5588 452.9928 327.0072 0.2152612 -0.4706232
Moved 402.5727 451.6292 328.3708 0.2121046 -0.460102
Moved 402.5889 450.5 328 0.2094908 -0.462963
Moved 402.6062 448.2347 329.7653 0.2042469 -0.4493417
Moved 402.6193 446.8772 330 0.2011046 -0.4475306
Moved 402.6349 445.026 332.4611 0.1968194 -0.4285412
Moved 402.6527 443.15 334.85 0.1924768 -0.4101076
Moved 402.6662 440.585 337.415 0.1865394 -0.3903165
Moved 402.681 436.2709 340.3055 0.176553 -0.3680133
Moved 402.6973 431.246 344.8155 0.1649214 -0.3332138
Moved 402.7113 425.9297 350.0703 0.1526151 -0.2926676
Moved 402.727 418.802 357.1981 0.1361156 -0.2376691
Moved 402.7431 410.9812 364.0188 0.118012 -0.1850404
Moved 402.758 403.0055 370.8288 0.09954969 -0.1324941
Moved 402.7747 398.4021 376.5978 0.08889377 -0.08797964
Moved 402.7898 393.4042 382.4948 0.07732451 -0.04247877
Moved 402.8049 390.4703 388.0594 0.07053316 0.0004582347
Moved 402.833 383.6432 396.0352 0.05472958 0.06200025
Moved 402.845 380.9108 400.1338 0.04840473 0.09362504
Stationary 402.8553 380.9108 400.1338 0.04840473 0.09362504
Moved 402.8667 378.1783 402.8217 0.04207929 0.1143653
Moved 402.8811 376.2251 406.5499 0.03755798 0.1431318
Moved 402.8976 373.7188 409.2812 0.03175646 0.1642068
Moved 402.9126 372.5 412 0.02893518 0.1851853
Moved 402.9283 371.1314 413.8687 0.02576709 0.1996037
Moved 402.944 371 414.9094 0.025463 0.207634
Moved 402.9591 369.7534 416.2466 0.02257725 0.217952
Moved 402.9731 369 417.6095 0.02083332 0.2284682
Moved 402.9884 368.0243 418 0.01857479 0.2314815
Moved 403.0092 368 419.3419 0.01851857 0.2418359
Stationary 403.02 368 419.3419 0.01851857 0.2418359
Moved 403.0358 366.6467 420.3533 0.01538585 0.2496396
Moved 403.0534 365.7824 421.2176 0.01338522 0.2563085
Stationary 403.0664 365.7824 421.2176 0.01338522 0.2563085
Moved 403.0805 366 422.3066 0.01388888 0.2647115
Moved 403.0968 364.887 422 0.01131247 0.2623458
Moved 403.112 365 423.5 0.01157403 0.2739196
Stationary 403.1299 365 423.5 0.01157403 0.2739196
Ended 403.1438 365 423 0.01157403 0.2700617
Began 403.6791 390 299 0.06944448 -0.6867282
Stationary 403.7002 390 299 0.06944448 -0.6867282
Stationary 403.7151 390 299 0.06944448 -0.6867282
Stationary 403.7302 390 299 0.06944448 -0.6867282
Stationary 403.7444 390 299 0.06944448 -0.6867282
Stationary 403.7592 390 299 0.06944448 -0.6867282
Stationary 403.775 390 299 0.06944448 -0.6867282
Stationary 403.7914 390 299 0.06944448 -0.6867282
Stationary 403.8067 390 299 0.06944448 -0.6867282
Moved 403.8219 378.4063 299 0.04260709 -0.6867282
Moved 403.838 373.0524 308.8953 0.03021379 -0.6103761
Moved 403.8538 367.6281 311.7789 0.01765758 -0.5881253
Moved 403.8686 361.2401 315.8559 0.002870659 -0.5566673
Moved 403.8835 357.0605 318.6263 -0.006804367 -0.5352906
Moved 403.9008 352.9663 321.3558 -0.0162816 -0.5142302
Moved 403.9147 349.6466 323.5689 -0.02396618 -0.4971533
Moved 403.9294 346.8305 325.0848 -0.03048494 -0.485457
Moved 403.9456 343.6653 327.8898 -0.03781184 -0.463813
Moved 403.9618 340.3774 329.8113 -0.04542271 -0.4489866
Moved 403.977 337.654 333.519 -0.05172695 -0.4203776
Moved 403.9994 329.2897 339.7103 -0.07108867 -0.372606
Stationary 404.0097 329.2897 339.7103 -0.07108867 -0.372606
Moved 404.0222 325.1957 342.5362 -0.08056541 -0.350801
Moved 404.0385 323.5785 344.4215 -0.08430898 -0.3362538
Moved 404.0533 317.4036 347.2982 -0.09860288 -0.3140572
Moved 404.069 310.9438 349.0112 -0.1135559 -0.3008393
Moved 404.0838 302.7429 353.1285 -0.1325396 -0.2690697
Moved 404.1 290.5827 356.2252 -0.1606883 -0.2451758
Moved 404.1146 280.2795 358.1029 -0.1845381 -0.2306872
Moved 404.1299 267.7516 360.9441 -0.2135379 -0.2087645
Moved 404.1462 261.5 361.5 -0.2280093 -0.2044751
Moved 404.1675 235.7581 366.4982 -0.2875969 -0.1659089
Stationary 404.1779 235.7581 366.4982 -0.2875969 -0.1659089
Moved 404.1907 223.4441 368.6173 -0.3161016 -0.1495576
