just in time for the party
Basic
0.8 0.8
575.9999 518.4
Began 198.783 443 395 0.1440972 0.01350306
Stationary 198.8017 443 395 0.1440972 0.01350306
Stationary 198.8162 443 395 0.1440972 0.01350306
Stationary 198.8319 443 395 0.1440972 0.01350306
Stationary 198.8473 443 395 0.1440972 0.01350306
Stationary 198.8642 443 395 0.1440972 0.01350306
Moved 198.8783 443 412.1495 0.1440972 0.04658457
Moved 198.8941 443 418.5 0.1440972 0.05883478
Moved 198.9106 443 430.9258 0.1440972 0.08280438
Moved 198.9241 434.0874 441.9126 0.128624 0.1039981
Moved 198.9408 435.2937 450.5316 0.1307182 0.1206242
Moved 198.9576 435 460.0728 0.1302084 0.1390293
Moved 198.9726 435 466.9061 0.1302084 0.1522109
Moved 198.9868 435 476.1267 0.1302084 0.1699974
Moved 199.0019 433.5431 486.1982 0.127679 0.1894255
Moved 199.0176 434 488.7109 0.1284722 0.1942724
Moved 199.0326 434 498.0334 0.1284722 0.2122556
Moved 199.0486 434 503.7815 0.1284722 0.2233439
Moved 199.064 434 507.7632 0.1284722 0.2310247
Moved 199.0792 434 511.9603 0.1284722 0.239121
Moved 199.0948 434 515.5289 0.1284722 0.2460048
Moved 199.1103 434 520.7993 0.1284722 0.2561713
Moved 199.1253 432.8039 522.3922 0.1263957 0.2592442
Moved 199.1417 433 531.2794 0.1267361 0.2763876
Moved 199.1568 433 541.041 0.1267361 0.295218
Moved 199.1718 433 547.9454 0.1267361 0.3085365
Moved 199.1873 433 554.1417 0.1267361 0.3204893
Moved 199.2018 433 558.3721 0.1267361 0.3286498
Moved 199.2171 433 562.7969 0.1267361 0.3371852
Moved 199.2332 433 566.1014 0.1267361 0.3435598
Moved 199.2484 433 568.9566 0.1267361 0.3490674
Moved 199.2649 433 571.8154 0.1267361 0.3545821
Moved 199.2788 433 574.6991 0.1267361 0.3601448
Moved 199.2942 433 576.5469 0.1267361 0.3637093
Moved 199.3114 441.4382 578.2054 0.1413858 0.3669086
Moved 199.3247 440 579.6561 0.1388889 0.3697068
Moved 199.3407 440 580.5 0.1388889 0.3713348
Moved 199.3566 440 581.0844 0.1388889 0.372462
Stationary 199.3708 440 581.0844 0.1388889 0.372462
Moved 199.3866 440 582.3729 0.1388889 0.3749475
Stationary 199.4032 440 582.3729 0.1388889 0.3749475
Stationary 199.4181 440 582.3729 0.1388889 0.3749475
Stationary 199.4332 440 582.3729 0.1388889 0.3749475
Stationary 199.4478 440 582 0.1388889 0.3742283
Stationary 199.465 440 582 0.1388889 0.3742283
Stationary 199.479 440 582 0.1388889 0.3742283
Moved 199.4945 429.4937 570.7406 0.1206489 0.3525088
Moved 199.5114 426.6163 567.6163 0.1156533 0.3464819
Moved 199.5251 422.7388 563.7388 0.1089214 0.3390022
Moved 199.5415 417.759 558.759 0.100276 0.3293962
Moved 199.5572 413.5 554.5 0.09288191 0.3211805
Moved 199.573 407.6501 548.3201 0.0827258 0.3092593
Moved 199.5873 401.5648 542.5648 0.0721611 0.2981574
Moved 199.6035 393 534 0.05729168 0.2816358
Moved 199.6184 384.1158 525.1158 0.04186772 0.2644981
Moved 199.6352 375.4843 517.9036 0.02688236 0.2505855
Moved 199.65 365.9935 507.8516 0.01040541 0.2311951
Moved 199.6669 358.5891 500.5891 -0.002449527 0.2171856
Moved 199.6819 351.0247 495.5891 -0.01558207 0.2075407
Moved 199.6969 338.4919 484.3054 -0.03734044 0.1857743
Moved 199.7122 329.4924 475.4924 -0.05296458 0.1687738
Moved 199.7268 317.8483 464.5403 -0.07318004 0.1476471
Moved 199.7418 308.1013 456.2297 -0.09010188 0.1316158
Moved 199.758 298.0426 448.1733 -0.1075649 0.116075
Moved 199.7735 287.9565 440.9689 -0.1250756 0.1021775
Moved 199.7888 280.2482 435.463 -0.138458 0.09155655
Moved 199.8051 270.0163 428.1545 -0.1562217 0.07745845
Moved 199.82 260.9632 421.9755 -0.1719389 0.06553908
Moved 199.834 253.8159 416.2527 -0.1843473 0.05449983
Moved 199.855 246.7322 412.3661 -0.1966454 0.04700245
Moved 199.8664 238.054 408.027 -0.2117117 0.03863234
Moved 199.8802 231.2192 404.7315 -0.2235778 0.03227525
Moved 199.8964 226.44 402.22 -0.231875 0.02743061
Moved 199.9133 218.2973 399.4324 -0.2460116 0.02205331
Moved 199.9267 212.0952 396.2738 -0.2567792 0.01596024
Moved 199.943 205.1878 393.6751 -0.2687712 0.01094736
Moved 199.9611 199.6003 391.4001 -0.2784716 0.006558747
Moved 199.9744 194.8962 391 -0.2866386 0.005786978
Moved 199.9904 187.7159 389.5432 -0.2991043 0.002976876
Moved 200.0058 184 388.5 -0.3055555 0.0009644178
Moved 200.02 179.0838 387.028 -0.3140905 -0.001875118
Moved 200.0359 173.3084 387 -0.3241174 -0.001929042
Moved 200.0511 170.3136 387 -0.3293167 -0.001929042
Moved 200.066 166.1609 385.7203 -0.3365261 -0.004397527
Moved 200.083 163.5508 386 -0.3410577 -0.003858083
Moved 200.0967 161.8376 386 -0.344032 -0.003858083
Moved 200.1141 159 386 -0.3489583 -0.003858083
Stationary 200.1277 159 386 -0.3489583 -0.003858083
Stationary 200.1423 159 386 -0.3489583 -0.003858083
Moved 200.16 159 401.2459 -0.3489583 0.02555149
Moved 200.1741 172.2283 414.158 -0.3259926 0.05045911
Moved 200.1897 186.4807 429.9287 -0.3012488 0.08088093
Moved 200.2055 200.9128 443.1302 -0.276193 0.1063469
Moved 200.2212 217.9264 457.272 -0.2466556 0.1336264
Moved 200.2354 228.3015 467.0014 -0.2286432 0.1523947
Moved 200.2513 246.8457 479.2654 -0.1964485 0.1760521
Moved 200.2677 259.9625 489.3041 -0.1736762 0.1954169
Moved 200.2815 272.4079 497.8628 -0.1520695 0.2119266
Moved 200.2976 284.8965 506.2643 -0.1303881 0.2281333
Moved 200.3121 294.6108 511.6348 -0.1135229 0.2384929
Moved 200.328 302.4871 516.2922 -0.09984883 0.2474772
Moved 200.3433 306.7385 519.5539 -0.09246788 0.2537691
Moved 200.3614 313.0385 523.0385 -0.0815304 0.2604909
Moved 200.3742 317.3511 526.2341 -0.07404327 0.2666551
Moved 200.39 321.6511 527.5504 -0.06657797 0.2691942
Moved 200.4073 324.9953 528.9976 -0.06077211 0.2719861
Moved 200.422 327.8784 531.8784 -0.05576669 0.2775432
Moved 200.4357 329.8694 532 -0.05231 0.2777777
Moved 200.4515 330.9812 532.9812 -0.05037989 0.2796704
Moved 200.4672 332.4286 533 -0.04786692 0.2797067
Moved 200.4825 334.7332 533 -0.04386596 0.2797067
Ended 200.498 336 533 -0.04166666 0.2797067
Began 200.7746 517 594 0.2725694 0.3973764
Stationary 200.793 517 594 0.2725694 0.3973764
Stationary 200.8061 517 594 0.2725694 0.3973764
Stationary 200.821 517 594 0.2725694 0.3973764
Stationary 200.8406 517 594 0.2725694 0.3973764
Stationary 200.852 517 594 0.2725694 0.3973764
Stationary 200.8676 517 594 0.2725694 0.3973764
Moved 200.8835 500.6098 577.6098 0.2441142 0.3657595
Moved 200.8991 486.6297 564.8668 0.2198432 0.3411781
Moved 200.9146 469.6093 548.2812 0.1902939 0.3091843
