the dow jones index has risen
Basic
0.8 0.8
575.9999 518.4
Began 570.9838 338 605 -0.03819443 0.4185956
Stationary 570.9958 338 605 -0.03819443 0.4185956
Stationary 571.0103 338 605 -0.03819443 0.4185956
Stationary 571.0256 338 605 -0.03819443 0.4185956
Stationary 571.0416 338 605 -0.03819443 0.4185956
Stationary 571.056 338 605 -0.03819443 0.4185956
Stationary 571.071 338 605 -0.03819443 0.4185956
Stationary 571.0872 338 605 -0.03819443 0.4185956
Stationary 571.1046 338 605 -0.03819443 0.4185956
Stationary 571.119 338 605 -0.03819443 0.4185956
Stationary 571.1348 338 605 -0.03819443 0.4185956
Stationary 571.152 338 605 -0.03819443 0.4185956
Stationary 571.1647 338 605 -0.03819443 0.4185956
Stationary 571.1802 338 605 -0.03819443 0.4185956
Stationary 571.2028 338 605 -0.03819443 0.4185956
Stationary 571.2132 338 605 -0.03819443 0.4185956
Stationary 571.2264 338 605 -0.03819443 0.4185956
Stationary 571.2416 338 605 -0.03819443 0.4185956
Stationary 571.2587 338 605 -0.03819443 0.4185956
Stationary 571.2727 338 605 -0.03819443 0.4185956
Moved 571.2889 338 591.5 -0.03819443 0.392554
Moved 571.3049 338 592.2187 -0.03819443 0.3939403
Moved 571.3202 338 589.4687 -0.03819443 0.3886355
Moved 571.3358 338 587 -0.03819443 0.3838734
Moved 571.3499 338 580.9651 -0.03819443 0.372232
Moved 571.3654 347.3415 572.7723 -0.02197653 0.3564281
Moved 571.3807 351.1674 564.6653 -0.01533445 0.3407895
Moved 571.3995 355.24 555.0268 -0.00826396 0.3221966
Moved 571.4123 361.546 541.9081 0.002683922 0.2968905
Moved 571.4276 366.8394 531.3211 0.01187406 0.2764681
Moved 571.444 374.7553 514.9559 0.02561688 0.2448993
Moved 571.459 382.2587 502.2708 0.03864355 0.2204297
Moved 571.4739 391.5341 486.3702 0.05474664 0.1897574
Moved 571.4909 399.4936 473.7596 0.06856523 0.1654312
Moved 571.5052 405.7689 462.4622 0.07945985 0.1436385
Moved 571.5209 412.523 451.5632 0.09118579 0.1226141
Moved 571.5364 417.6685 444.33 0.100119 0.1086612
Moved 571.5519 425.1449 434.8309 0.1130988 0.09033738
Moved 571.5665 430.5175 425.3443 0.1224263 0.07203758
Moved 571.5816 434.403 418.5447 0.1291718 0.05892111
Moved 571.5988 438.621 412.7579 0.1364948 0.04775833
Moved 571.6132 441.3387 407.3226 0.141213 0.03727353
Moved 571.6285 444 403.5 0.1458333 0.02989963
Moved 571.6431 445.8934 399.3196 0.1491205 0.0218357
Moved 571.6589 448.5082 396.4918 0.15366 0.01638077
Moved 571.6741 449.6179 393.3821 0.1555866 0.01038222
Moved 571.6904 450 392.2531 0.15625 0.00820413
Moved 571.7059 451.0324 390.9675 0.1580424 0.005724312
Moved 571.7214 451 388.2102 0.1579861 0.0004054882
Moved 571.737 452 387.2378 0.1597222 -0.001470395
Moved 571.7523 452 385.8716 0.1597222 -0.004105774
Moved 571.767 452 384.5094 0.1597222 -0.00673347
Stationary 571.7825 452 384.5094 0.1597222 -0.00673347
Moved 571.7972 452 384 0.1597222 -0.007716049
Moved 571.8143 452 382.827 0.1597222 -0.009978788
Moved 571.8302 439.7924 380.7979 0.1385286 -0.01389309
Moved 571.8533 409.8096 379 0.08647494 -0.01736111
Moved 571.8663 393.1281 383.7772 0.05751401 -0.008145791
Stationary 571.877 393.1281 383.7772 0.05751401 -0.008145791
Moved 571.8901 376.45 391.2292 0.02855897 0.006229082
Moved 571.9064 357.2828 400.8586 -0.004717409 0.02480433
Moved 571.9205 346.5 407 -0.02343751 0.0366512
Moved 571.935 331.6889 416.8177 -0.04915114 0.05558973
Moved 571.9513 319.2532 426.3586 -0.07074102 0.07399423
Moved 571.9672 304.0172 442.5364 -0.09719233 0.1052014
Moved 571.9823 291.7985 455.2015 -0.1184054 0.1296325
Moved 571.9995 282.1328 464.8672 -0.1351862 0.1482778
Moved 572.0131 274.6461 473.9759 -0.1481838 0.1658485
Moved 572.0283 268.0701 481.9124 -0.1596006 0.1811581
Moved 572.0454 264.9757 486.0324 -0.1649727 0.1891056
Moved 572.0602 260.8909 491.4788 -0.1720644 0.1996118
Moved 572.0754 254.0723 499.9277 -0.1839023 0.2159099
Moved 572.0908 250.8316 504.2526 -0.1895285 0.2242527
Moved 572.1066 248.1128 508.3308 -0.1942486 0.2321195
Moved 572.1219 244.3995 511.6005 -0.2006954 0.2384269
Moved 572.137 242.8445 514.311 -0.2033949 0.2436555
Moved 572.1523 240 518.5 -0.2083333 0.251736
Moved 572.1674 238.4129 520.1743 -0.2110888 0.2549657
Moved 572.183 236.1101 524.7798 -0.2150866 0.2638498
Moved 572.2001 234.6997 527.6006 -0.2175353 0.2692913
Moved 572.2129 233.3355 533.3224 -0.2199036 0.2803287
Moved 572.2295 231.9785 539.0861 -0.2222596 0.2914468
Moved 572.2454 232 545.9208 -0.2222222 0.3046311
Moved 572.2645 230.2588 549.9649 -0.2252452 0.3124322
Moved 572.2772 230 554.3497 -0.2256944 0.3208905
Moved 572.2924 228.864 557.272 -0.2276667 0.3265277
Moved 572.3068 229 560 -0.2274305 0.3317901
Moved 572.3226 228.1347 562.7306 -0.2289327 0.3370574
Moved 572.3383 228 565.4689 -0.2291667 0.3423397
Moved 572.3544 226.5 566.5 -0.2317708 0.3443286
Stationary 572.3674 226.5 566.5 -0.2317708 0.3443286
Moved 572.3829 225.7112 568.2888 -0.2331402 0.3477793
Stationary 572.399 225.7112 568.2888 -0.2331402 0.3477793
Moved 572.4138 226 569 -0.2326389 0.3491512
Stationary 572.4348 226 569 -0.2326389 0.3491512
Stationary 572.4476 226 569 -0.2326389 0.3491512
Ended 572.4601 226 569 -0.2326389 0.3491512
Began 573.5679 243 401 -0.203125 0.02507707
Stationary 573.588 243 401 -0.203125 0.02507707
Stationary 573.6018 243 401 -0.203125 0.02507707
Stationary 573.6171 243 401 -0.203125 0.02507707
Stationary 573.6335 243 401 -0.203125 0.02507707
Stationary 573.6492 243 401 -0.203125 0.02507707
Stationary 573.6628 243 401 -0.203125 0.02507707
Stationary 573.6785 243 401 -0.203125 0.02507707
Stationary 573.6938 243 401 -0.203125 0.02507707
Stationary 573.7117 243 401 -0.203125 0.02507707
Stationary 573.7245 243 401 -0.203125 0.02507707
Stationary 573.7404 243 401 -0.203125 0.02507707
Stationary 573.7552 243 401 -0.203125 0.02507707
Stationary 573.7706 243 401 -0.203125 0.02507707
Stationary 573.786 243 401 -0.203125 0.02507707
Stationary 573.8055 243 401 -0.203125 0.02507707
Stationary 573.8206 243 401 -0.203125 0.02507707
Stationary 573.8369 243 401 -0.203125 0.02507707
Stationary 573.8522 243 401 -0.203125 0.02507707
Stationary 573.8675 243 401 -0.203125 0.02507707
Stationary 573.8823 243 401 -0.203125 0.02507707
Stationary 573.8959 243 401 -0.203125 0.02507707
Stationary 573.9104 243 401 -0.203125 0.02507707
Stationary 573.9257 243 401 -0.203125 0.02507707
Stationary 573.9414 243 401 -0.203125 0.02507707
Moved 573.957 249.7966 412.5488 -0.1913253 0.04735478
Moved 573.9734 258.2165 416.6083 -0.1767074 0.05518565
