did you have a good time
Basic
0.6 0.6
432 129.6
Began 316.8471 286 388 -0.1712963 1.177376E-07
Stationary 316.8812 286 388 -0.1712963 1.177376E-07
Stationary 316.8937 286 388 -0.1712963 1.177376E-07
Stationary 316.9048 286 388 -0.1712963 1.177376E-07
Stationary 316.915 286 388 -0.1712963 1.177376E-07
Stationary 316.9271 286 388 -0.1712963 1.177376E-07
Stationary 316.9424 286 388 -0.1712963 1.177376E-07
Stationary 316.9601 286 388 -0.1712963 1.177376E-07
Stationary 316.9734 286 388 -0.1712963 1.177376E-07
Stationary 316.9888 286 388 -0.1712963 1.177376E-07
Stationary 317.0044 286 388 -0.1712963 1.177376E-07
Stationary 317.0204 286 388 -0.1712963 1.177376E-07
Stationary 317.0351 286 388 -0.1712963 1.177376E-07
Stationary 317.0502 286 388 -0.1712963 1.177376E-07
Stationary 317.0662 286 388 -0.1712963 1.177376E-07
Stationary 317.0811 286 388 -0.1712963 1.177376E-07
Stationary 317.0959 286 388 -0.1712963 1.177376E-07
Stationary 317.111 286 388 -0.1712963 1.177376E-07
Stationary 317.1266 286 388 -0.1712963 1.177376E-07
Stationary 317.1436 286 388 -0.1712963 1.177376E-07
Stationary 317.1596 286 388 -0.1712963 1.177376E-07
Stationary 317.1741 286 388 -0.1712963 1.177376E-07
Stationary 317.1912 286 388 -0.1712963 1.177376E-07
Stationary 317.2066 286 388 -0.1712963 1.177376E-07
Stationary 317.2201 286 388 -0.1712963 1.177376E-07
Stationary 317.2354 286 388 -0.1712963 1.177376E-07
Stationary 317.2509 286 388 -0.1712963 1.177376E-07
Stationary 317.2674 286 388 -0.1712963 1.177376E-07
Stationary 317.2825 286 388 -0.1712963 1.177376E-07
Stationary 317.2971 286 388 -0.1712963 1.177376E-07
Stationary 317.3132 286 388 -0.1712963 1.177376E-07
Moved 317.3286 305.958 396.946 -0.1250971 0.06902812
Moved 317.3464 317.4655 399.8664 -0.09845962 0.09156192
Moved 317.3615 328.826 402.7391 -0.07216199 0.113728
Moved 317.375 343.0886 404.3088 -0.03914679 0.1258399
Moved 317.391 355.7255 406.7473 -0.009894769 0.1446547
Moved 317.4069 366.0313 407.8924 0.0139613 0.1534906
Moved 317.4203 375.9946 410.5699 0.03702462 0.1741504
Moved 317.4364 387.3768 411.7295 0.06337225 0.183098
Moved 317.4519 399.4884 413.1654 0.0914083 0.1941775
Moved 317.4682 411.8177 416.2044 0.1199485 0.2176267
Moved 317.4833 424.3203 420.1068 0.1488897 0.2477378
Moved 317.4996 432.8251 422.9417 0.1685766 0.269612
Moved 317.5223 443.035 427.0117 0.1922106 0.3010159
Stationary 317.533 443.035 427.0117 0.1922106 0.3010159
Moved 317.5451 448.8029 429.9015 0.2055624 0.3233141
Moved 317.5599 456.3188 431.7729 0.2229601 0.3377544
Moved 317.5752 462.3057 433.3264 0.2368187 0.3497409
Moved 317.5912 466.2967 435.7656 0.2460571 0.3685616
Moved 317.6073 470.6041 438.4028 0.2560281 0.3889104
Moved 317.6225 473 439.5 0.2615741 0.3973767
Moved 317.6373 475.7806 441 0.2680107 0.4089505
Moved 317.6528 477.217 442.217 0.2713357 0.4183414
Moved 317.6694 478.6597 442.6597 0.2746753 0.4217572
Moved 317.6839 480.0958 443 0.2779996 0.4243827
Moved 317.6991 481.5 443 0.28125 0.4243827
Moved 317.7144 482.5 444.5 0.2835648 0.4359569
Moved 317.7301 483.2048 444 0.2851964 0.432099
Moved 317.7471 484.3906 444 0.2879412 0.432099
Stationary 317.7596 484.3906 444 0.2879412 0.432099
Moved 317.7744 485.3729 445.3729 0.290215 0.4426918
Stationary 317.7919 485.3729 445.3729 0.290215 0.4426918
Moved 317.8055 485 446.0692 0.2893518 0.4480644
Stationary 317.8212 485 446.0692 0.2893518 0.4480644
Stationary 317.8379 485 446 0.2893518 0.4475308
Stationary 317.8528 485 446 0.2893518 0.4475308
Moved 317.8663 485 447 0.2893518 0.4552471
Stationary 317.8826 485 447 0.2893518 0.4552471
Moved 317.8988 472.343 447 0.2600532 0.4552471
Moved 317.9146 465.1398 447 0.2433792 0.4552471
Moved 317.9327 456.5314 447 0.2234524 0.4552471
Moved 317.9449 448.0993 441.0993 0.2039336 0.4097171
Moved 317.9611 441.271 438.0903 0.1881273 0.3864994
Moved 317.9765 431.2102 432.4058 0.1648383 0.3426375
Moved 317.9918 422.1359 428.4868 0.1438332 0.3123983
Moved 318.0072 414.6868 425.4747 0.1265898 0.2891569
Moved 318.0224 406.71 421.57 0.108125 0.2590278
Moved 318.0376 398.1091 417.5546 0.08821547 0.2280444
Moved 318.0521 385.6947 411.0526 0.05947838 0.1778753
Moved 318.0686 373.6368 405.1985 0.03156662 0.1327051
Moved 318.0836 357.593 397.2965 -0.005571792 0.07173256
Moved 318.0995 343.5504 390.3314 -0.03807768 0.01798936
Moved 318.1145 332.037 385.0185 -0.06472906 -0.02300545
Moved 318.1326 319.0879 379.2613 -0.09470403 -0.06742831
Moved 318.1463 310.0882 373.5441 -0.1155366 -0.1115427
Moved 318.1681 295.5 366.5 -0.1493056 -0.1658948
Stationary 318.1784 295.5 366.5 -0.1493056 -0.1658948
Moved 318.1929 287.5808 362.3484 -0.1676371 -0.1979286
Moved 318.2076 281.7227 359.3613 -0.1811975 -0.2209772
Moved 318.2223 278.4727 357.4727 -0.1887206 -0.2355498
Moved 318.2379 274.3956 355.7985 -0.1981583 -0.248468
Moved 318.253 272.3575 354.3575 -0.2028762 -0.2595873
Moved 318.2685 270.9203 354 -0.206203 -0.2623455
Moved 318.2841 269.5 352.5 -0.2094908 -0.2739198
Moved 318.3004 268.3806 353 -0.2120818 -0.2700617
Moved 318.315 266.9504 351.9504 -0.2153925 -0.27816
Stationary 318.3297 266.5093 352 -0.2164136 -0.2777778
Moved 318.345 265.0716 351.0716 -0.2197418 -0.2849414
Stationary 318.3612 265 351 -0.2199074 -0.2854941
Moved 318.3781 263.1954 351 -0.2240848 -0.2854941
Moved 318.3928 262.5 351 -0.2256944 -0.2854941
Moved 318.4067 261.8683 351 -0.2271567 -0.2854941
