coming up with killer sound bites
Basic
0.4 0.4
288 86.39999
Began 205.7677 361 326 0.003472269 -0.717593
Stationary 205.7835 361 326 0.003472269 -0.717593
Stationary 205.7994 361 326 0.003472269 -0.717593
Stationary 205.8161 361 326 0.003472269 -0.717593
Stationary 205.8287 361 326 0.003472269 -0.717593
Stationary 205.8436 361 326 0.003472269 -0.717593
Stationary 205.8589 361 326 0.003472269 -0.717593
Stationary 205.8762 361 326 0.003472269 -0.717593
Stationary 205.8916 361 326 0.003472269 -0.717593
Stationary 205.9062 361 326 0.003472269 -0.717593
Stationary 205.9217 361 326 0.003472269 -0.717593
Stationary 205.9374 361 326 0.003472269 -0.717593
Stationary 205.9526 361 326 0.003472269 -0.717593
Stationary 205.9684 361 326 0.003472269 -0.717593
Stationary 205.9834 361 326 0.003472269 -0.717593
Stationary 205.9996 361 326 0.003472269 -0.717593
Stationary 206.015 361 326 0.003472269 -0.717593
Stationary 206.0298 361 326 0.003472269 -0.717593
Stationary 206.0453 361 326 0.003472269 -0.717593
Stationary 206.061 361 326 0.003472269 -0.717593
Stationary 206.0766 361 326 0.003472269 -0.717593
Stationary 206.091 361 326 0.003472269 -0.717593
Stationary 206.1067 361 326 0.003472269 -0.717593
Moved 206.1219 351.7542 326 -0.02863109 -0.717593
Moved 206.1392 349.4087 326 -0.03677539 -0.717593
Moved 206.1541 346.0617 326 -0.04839674 -0.717593
Moved 206.1707 341.7883 326 -0.06323516 -0.717593
Moved 206.1841 334.6345 335.6827 -0.0880748 -0.6055235
Moved 206.2005 328.8666 338.5667 -0.1081022 -0.5721446
Moved 206.2158 324 341 -0.125 -0.5439815
Moved 206.2309 321.4417 342.8528 -0.1338828 -0.5225372
Moved 206.246 317.1377 344.2874 -0.1488274 -0.5059327
Moved 206.262 312.5444 347.7278 -0.1647764 -0.4661136
Moved 206.2777 308.5028 350.3315 -0.1788098 -0.4359779
Moved 206.2931 305.8058 351.597 -0.1881742 -0.4213301
Moved 206.308 302.9307 354.0693 -0.1981573 -0.3927167
Moved 206.3227 300.0615 356.9385 -0.2081197 -0.3595084
Moved 206.3381 298.368 358.264 -0.214 -0.3441659
Moved 206.3539 296.9278 361.1443 -0.2190006 -0.3108293
Moved 206.371 295.5 362.5 -0.2239583 -0.2951389
Moved 206.3849 294.053 364.894 -0.2289826 -0.2674304
