my bare face in the wind
Basic
0.6 0.6
432 388.8
Began 375.942 454 280 0.2175926 -0.2777778
Stationary 375.9679 454 280 0.2175926 -0.2777778
Stationary 375.9798 454 280 0.2175926 -0.2777778
Stationary 375.99 454 280 0.2175926 -0.2777778
Stationary 376.0053 454 280 0.2175926 -0.2777778
Stationary 376.0217 454 280 0.2175926 -0.2777778
Stationary 376.0379 454 280 0.2175926 -0.2777778
Stationary 376.0526 454 280 0.2175926 -0.2777778
Stationary 376.068 454 280 0.2175926 -0.2777778
Stationary 376.0836 454 280 0.2175926 -0.2777778
Stationary 376.0995 454 280 0.2175926 -0.2777778
Stationary 376.1145 454 280 0.2175926 -0.2777778
Stationary 376.1301 454 280 0.2175926 -0.2777778
Stationary 376.1462 454 280 0.2175926 -0.2777778
Stationary 376.1615 454 280 0.2175926 -0.2777778
Stationary 376.1775 454 280 0.2175926 -0.2777778
Moved 376.1922 454 270.5677 0.2175926 -0.3020377
Moved 376.2089 454 267.3096 0.2175926 -0.3104178
Moved 376.2237 454 264.5328 0.2175926 -0.3175595
Moved 376.2394 458.3369 261.7609 0.2276318 -0.3246892
Moved 376.2552 462.0027 261 0.2361175 -0.3266461
Moved 376.2702 462 259.616 0.2361111 -0.3302057
Moved 376.2849 463.5 258.5 0.2395834 -0.3330762
Moved 376.3029 463.8347 258 0.2403581 -0.3343622
Moved 376.3158 464 256.7808 0.2407408 -0.3374979
Moved 376.3314 465.5 257 0.244213 -0.3369342
Stationary 376.348 465.5 257 0.244213 -0.3369342
Moved 376.3629 465 257 0.2430555 -0.3369342
Stationary 376.377 465 257 0.2430555 -0.3369342
Stationary 376.3924 465 257 0.2430555 -0.3369342
Moved 376.4092 465 275.1638 0.2430555 -0.2902167
Moved 376.4237 453.7688 290.578 0.2170574 -0.250571
Moved 376.4402 445.4238 310.0313 0.1977403 -0.2005367
Moved 376.4573 439.7159 328.1735 0.1845274 -0.1538747
Moved 376.471 429.3954 348.5085 0.1606376 -0.1015727
Moved 376.4861 418.2617 369.3842 0.1348651 -0.0478801
Moved 376.501 407.088 388.8459 0.1090001 0.002175633
Moved 376.5173 397.6636 401.0046 0.0871842 0.03344807
Moved 376.5322 386.418 417.3962 0.06115287 0.07560734
Moved 376.5477 377.9699 430.0451 0.04159709 0.1081406
Moved 376.5635 370.4107 442.025 0.02409895 0.138953
Moved 376.578 364.5888 451.7196 0.01062224 0.1638878
Moved 376.5942 360.5368 456.9509 0.001242657 0.1773427
Moved 376.6102 358.265 462.3376 -0.00401631 0.1911974
Moved 376.6243 355.5095 466.7358 -0.01039475 0.2025096
Moved 376.6391 353.5084 470.9832 -0.01502678 0.213434
Moved 376.6569 351.2912 477.8353 -0.02015933 0.2310577
Moved 376.6706 348.8168 483.3663 -0.02588694 0.2452836
Moved 376.686 346.0385 488.923 -0.03231824 0.2595754
Moved 376.7022 346.1356 491.7289 -0.03209362 0.2667924
Moved 376.7169 344.7506 493.2494 -0.03529951 0.2707031
Moved 376.7326 344.363 495.637 -0.03619676 0.276844
Moved 376.7491 344 496.7551 -0.03703703 0.2797199
Moved 376.7638 344 498.0563 -0.03703703 0.2830666
Moved 376.7781 344 499.4332 -0.03703703 0.286608
Moved 376.7937 344 500.8161 -0.03703703 0.2901649
Moved 376.8107 344 502.1968 -0.03703703 0.2937159
Moved 376.8255 344 503.5 -0.03703703 0.2970678
Stationary 376.8398 344 503.5 -0.03703703 0.2970678
Moved 376.8545 344 505.3575 -0.03703703 0.3018455
Stationary 376.8706 344 505.3575 -0.03703703 0.3018455
Moved 376.8913 344 506.8118 -0.03703703 0.3055859
Moved 376.9054 344 508.194 -0.03703703 0.309141
Moved 376.9187 344 509.5795 -0.03703703 0.3127045
Moved 376.9344 344 510.9565 -0.03703703 0.3162462
Moved 376.9494 353.4138 512.3448 -0.01524587 0.3198169
Moved 376.9629 353.4552 514.7276 -0.01515006 0.3259454
Moved 376.9788 354.831 515.831 -0.01196538 0.3287833
Moved 376.9941 356.1558 518.3116 -0.008898576 0.3351637
Moved 377.0121 357.5 519.5 -0.005787015 0.3382201
Moved 377.0254 358.9206 520.9206 -0.002498627 0.3418739
Moved 377.0405 360.3019 522.3019 0.0006988645 0.3454265
Stationary 377.0573 360.3019 522.3019 0.0006988645 0.3454265
Moved 377.0723 361.3581 523.3581 0.003143847 0.3481432
Stationary 377.0871 361.3581 523.3581 0.003143847 0.3481432
Moved 377.1014 362 523 0.004629592 0.3472221
Stationary 377.1175 362 523 0.004629592 0.3472221
Moved 377.1331 363.3329 523 0.007715126 0.3472221
Ended 377.1496 363.3329 523 0.007715126 0.3472221
Began 378.1775 300 281 -0.1388889 -0.2752058
Stationary 378.1982 300 281 -0.1388889 -0.2752058
Stationary 378.2121 300 281 -0.1388889 -0.2752058
Stationary 378.2267 300 281 -0.1388889 -0.2752058
Stationary 378.2428 300 281 -0.1388889 -0.2752058
Stationary 378.258 300 281 -0.1388889 -0.2752058
Stationary 378.2729 300 281 -0.1388889 -0.2752058
Stationary 378.2884 300 281 -0.1388889 -0.2752058
Stationary 378.3059 300 281 -0.1388889 -0.2752058
Stationary 378.3212 300 281 -0.1388889 -0.2752058
Stationary 378.335 300 281 -0.1388889 -0.2752058
Stationary 378.3515 300 281 -0.1388889 -0.2752058
Stationary 378.3677 300 281 -0.1388889 -0.2752058
Stationary 378.3817 300 281 -0.1388889 -0.2752058
Moved 378.3965 300 293.9579 -0.1388889 -0.2418778
Moved 378.4139 300 295.9954 -0.1388889 -0.2366374
Moved 378.4284 300 298.7787 -0.1388889 -0.2294785
Moved 378.4438 300 300.5431 -0.1388889 -0.2249406
Moved 378.4603 300 303.3142 -0.1388889 -0.2178133
Moved 378.4782 300 304.542 -0.1388889 -0.2146554
Moved 378.4906 300 305.9269 -0.1388889 -0.2110933
Moved 378.5063 300 307.3118 -0.1388889 -0.2075314
Moved 378.5211 300 308.5 -0.1388889 -0.2044754
Stationary 378.5367 300 308.5 -0.1388889 -0.2044754
Moved 378.5522 300 310.1603 -0.1388889 -0.200205
Moved 378.5671 300 311.5448 -0.1388889 -0.1966441
