my bare face in the wind
Basic
0.8 0.8
575.9999 518.4
Began 69.84509 491 208 0.2274305 -0.3472222
Stationary 69.86514 491 208 0.2274305 -0.3472222
Stationary 69.87964 491 208 0.2274305 -0.3472222
Moved 69.89447 478.1085 208 0.2050494 -0.3472222
Moved 69.91049 468.7421 218.1691 0.1887883 -0.327606
Moved 69.92822 459.6959 229.5215 0.1730832 -0.305707
Moved 69.94144 452.711 240.9202 0.1609567 -0.2837188
Moved 69.95706 446.9755 250.4392 0.1509992 -0.2653565
Moved 69.97198 438.9231 272.0513 0.1370192 -0.2236666
Moved 69.98801 434.7672 289.3969 0.1298042 -0.1902066
Moved 70.00354 431.8913 309.815 0.1248113 -0.1508199
Moved 70.01956 429.0239 331.3208 0.1198331 -0.1093349
Moved 70.03436 427.0725 347.1302 0.1164453 -0.0788383
Moved 70.04922 425.6308 367.1683 0.1139424 -0.04018471
Moved 70.06564 423.3779 382.71 0.110031 -0.01020455
Moved 70.08029 422.0081 400.8953 0.1076528 0.02487518
Moved 70.09555 420.5692 418.1691 0.1051549 0.05819659
Moved 70.11255 418.2702 435.784 0.1011636 0.09217585
Moved 70.12659 416.6974 452.6306 0.09843305 0.1246732
Moved 70.1424 412.7614 465.4619 0.09159974 0.1494248
Moved 70.15781 409.6285 476.3001 0.08616067 0.170332
Moved 70.17358 405.5 488.5 0.07899306 0.1938657
Moved 70.1889 402.8212 499.7151 0.07434241 0.2154997
Moved 70.20456 399.6752 509.9743 0.06888061 0.2352898
Moved 70.21851 395.7932 522.2238 0.06214097 0.2589192
Moved 70.23425 392.9195 532.2817 0.05715198 0.2783211
Moved 70.25015 391.5167 540.9001 0.05471639 0.294946
Moved 70.26541 390.0819 548.5085 0.05222552 0.3096229
Moved 70.28076 388.6433 554.4267 0.049728 0.3210391
Moved 70.29645 387.6872 558.2513 0.04806801 0.3284169
Moved 70.31174 386.1391 562.5828 0.04538029 0.3367723
Moved 70.32745 383.408 568.184 0.04063889 0.347577
Moved 70.34225 383.2581 570.4838 0.04037865 0.3520134
Moved 70.35794 383 573.3656 0.03993057 0.3575724
Moved 70.37384 381.3784 576.2432 0.03711529 0.3631234
Moved 70.38818 381 578.0574 0.03645829 0.3666229
Moved 70.40335 381 579.1319 0.03645829 0.3686957
Moved 70.41861 380 580 0.03472224 0.3703703
Moved 70.43469 380 581.064 0.03472224 0.3724227
Moved 70.45099 380 581.5034 0.03472224 0.3732703
Ended 70.47296 380 582.5 0.03472224 0.3751928
Began 70.69708 359 255 -0.001736097 -0.2565586
Stationary 70.71109 359 255 -0.001736097 -0.2565586
Stationary 70.72681 359 255 -0.001736097 -0.2565586
Stationary 70.74216 359 255 -0.001736097 -0.2565586
Stationary 70.75879 359 255 -0.001736097 -0.2565586
Moved 70.77487 359 268.0986 -0.001736097 -0.2312912
Moved 70.789 353.3528 274.2269 -0.01154024 -0.2194698
Moved 70.80585 348.2741 284.9357 -0.02035744 -0.1988123
Moved 70.82144 346.5151 289.2122 -0.02341129 -0.1905628
Moved 70.83615 341.9324 298.3682 -0.03136732 -0.1729008
Moved 70.85114 337.3832 307.2335 -0.03926519 -0.1557996
Moved 70.86606 333.0778 315.2037 -0.04673995 -0.1404251
Moved 70.88168 329.839 323.4832 -0.0523629 -0.1244538
Moved 70.89771 325.9592 332.6019 -0.05909856 -0.1068637
Moved 70.91318 324.0476 338.8094 -0.06241731 -0.09488923
Moved 70.92795 320.7954 347.5456 -0.0680635 -0.0780371
Moved 70.94397 318 354.5 -0.07291666 -0.06462191
Moved 70.95929 315.0252 364.874 -0.07808129 -0.04461035
Moved 70.97464 310.7592 374.8951 -0.0854874 -0.02527955
Moved 70.98981 309.2896 381.2759 -0.08803882 -0.01297097
Moved 71.00534 307.706 387.176 -0.09078819 -0.001589486
Moved 71.0199 305.5387 391.1919 -0.09455081 0.006157174
Moved 71.03577 303.2509 395.4983 -0.09852282 0.01446424
Moved 71.05115 300.4578 399.8134 -0.1033719 0.02278808
Moved 71.06668 295.8703 404.1298 -0.1113363 0.03111442
Moved 71.08206 290.4055 406.1486 -0.1208237 0.03500885
Moved 71.09787 284.2242 408.5919 -0.1315551 0.03972203
Moved 71.11472 276.8092 409 -0.1444285 0.04050925
Moved 71.12808 269.668 410.4664 -0.1568264 0.0433379
Moved 71.14359 259.0718 410 -0.1752226 0.04243821
Moved 71.15982 244.3024 410 -0.2008638 0.04243821
Moved 71.17477 235.4939 410 -0.2161563 0.04243821
Moved 71.18976 225.0081 410 -0.234361 0.04243821
Moved 71.20578 217.53 410 -0.2473437 0.04243821
Moved 71.22125 209.326 403.3868 -0.2615867 0.02968134
Moved 71.23648 202.1781 399.8356 -0.2739962 0.02283102
Moved 71.25128 195.5 398.5 -0.2855903 0.02025457
Moved 71.26624 189.4181 396.2836 -0.2961492 0.01597922
Moved 71.28223 183.3828 394.8457 -0.3066271 0.01320539
Moved 71.29822 177.6276 393.4069 -0.3166187 0.01042993
Moved 71.31332 172.9046 391.9682 -0.3248184 0.007654649
Moved 71.32825 170.0588 390.5294 -0.329759 0.004879192
Moved 71.34378 167.1865 390 -0.3347456 0.003857965
Moved 71.36075 165.6509 390 -0.3374116 0.003857965
Moved 71.37463 164.6852 390 -0.3390883 0.003857965
Moved 71.38959 163.5 390 -0.3411458 0.003857965
Moved 71.41208 164 390 -0.3402778 0.003857965
Stationary 71.42249 164 390 -0.3402778 0.003857965
Stationary 71.43604 164 390 -0.3402778 0.003857965
Moved 71.45139 164 395.0184 -0.3402778 0.01353852
Moved 71.46994 171.4407 402.2518 -0.3273599 0.0274919
Moved 71.4837 174.4759 406.6346 -0.3220904 0.03594634
Moved 71.50027 186.1091 418.4705 -0.3018939 0.05877783
Moved 71.51389 199.7744 432.8519 -0.2781695 0.08651974
Moved 71.52985 215.5 448.5 -0.2508681 0.1167051
Moved 71.5451 228.5737 462.5737 -0.2281707 0.1438535
Moved 71.56067 238.7477 474.1403 -0.2105074 0.1661655
Moved 71.57428 255.1618 488.329 -0.1820107 0.1935358
Moved 71.59085 263.6737 497.6271 -0.1672331 0.211472
Moved 71.60742 277.6877 510.3189 -0.1429033 0.2359546
Moved 71.62192 285.8748 519.6873 -0.1286896 0.2540263
Moved 71.63684 290.7535 527.2558 -0.1202197 0.268626
Moved 71.65274 294.3857 532.4641 -0.1139138 0.278673
Moved 71.6676 297.2566 536.2566 -0.1089295 0.2859887
Moved 71.68274 298.5707 539.1414 -0.106648 0.2915536
Moved 71.69925 299 541.4735 -0.1059028 0.2960522
Moved 71.71536 300.0802 544.1605 -0.1040274 0.3012353
Moved 71.72934 300 545.5 -0.1041667 0.3038194
Moved 71.74539 301 547.9577 -0.1024305 0.3085603
Moved 71.76611 301 549.3925 -0.1024305 0.3113281
Stationary 71.77774 301 549.3925 -0.1024305 0.3113281
Moved 71.79028 301 550.2684 -0.1024305 0.3130176
Moved 71.80875 301 551.5 -0.1024305 0.3153935
Moved 71.82193 301 551.8233 -0.1024305 0.3160171
Moved 71.83737 290.8987 553.2626 -0.1199675 0.3187936
Moved 71.85196 287.2183 553.6954 -0.1263571 0.3196285
