just in time for the party
Basic
0.8 0.8
575.9999 172.8
Began 286.4918 521 379 0.2795139 -0.05208316
Stationary 286.5119 521 379 0.2795139 -0.05208316
Stationary 286.5257 521 379 0.2795139 -0.05208316
Stationary 286.5407 521 379 0.2795139 -0.05208316
Moved 286.5563 521 384.813 0.2795139 -0.018443
Moved 286.5742 521 394.7484 0.2795139 0.03905296
Moved 286.5964 502.5 417.5 0.2473958 0.1707176
Stationary 286.6071 502.5 417.5 0.2473958 0.1707176
Moved 286.6187 496.7692 428.2692 0.2374466 0.2330396
Moved 286.6343 491.2271 437.1594 0.2278247 0.2844874
Moved 286.6497 487.8447 442.733 0.2219526 0.3167422
Moved 286.6654 485.0634 447.8731 0.2171241 0.3464879
Moved 286.6808 482.3152 450.6848 0.2123528 0.3627589
Moved 286.696 480.6082 453.3917 0.2093893 0.3784243
Moved 286.7115 478.9162 456.1676 0.2064517 0.3944885
Moved 286.7264 477.915 458.17 0.2047135 0.4060767
Moved 286.7422 476.5 460.9999 0.202257 0.4224534
Moved 286.7587 474.2197 461.8901 0.198298 0.427605
Moved 286.774 472.7212 463.2788 0.1956964 0.4356413
Moved 286.7896 471.3342 464.6658 0.1932886 0.4436677
Moved 286.8045 469.9464 465 0.1908791 0.4456019
Moved 286.8197 467.1232 466.4384 0.1859777 0.453926
Moved 286.8356 466.5 467.5 0.1848958 0.4600694
Moved 286.8506 465.0986 467 0.1824629 0.4571759
Moved 286.8661 462.4202 468.2899 0.1778128 0.4646407
Moved 286.8815 462 468 0.1770833 0.462963
Moved 286.8964 459.8831 468 0.1734081 0.462963
Stationary 286.9117 459.8831 468 0.1734081 0.462963
Moved 286.9274 458.1602 468 0.1704171 0.462963
Moved 286.9438 456.7786 468 0.1680184 0.462963
Moved 286.9578 455.8006 468 0.1663204 0.462963
Moved 286.9727 455.3497 468 0.1655377 0.462963
Stationary 286.9887 455 468 0.1649305 0.462963
Moved 287.004 453.582 468 0.1624688 0.462963
Stationary 287.0205 453.582 468 0.1624688 0.462963
Moved 287.0345 453 468 0.1614583 0.462963
Moved 287.0496 451.5 468 0.1588542 0.462963
Stationary 287.0671 451.5 468 0.1588542 0.462963
Moved 287.0822 452 468 0.1597222 0.462963
Moved 287.0961 450.5679 468 0.1572359 0.462963
Stationary 287.1129 450.5679 468 0.1572359 0.462963
Moved 287.1286 449.7967 468 0.1558971 0.462963
Stationary 287.1439 450 468 0.15625 0.462963
Moved 287.159 449.0192 468 0.1545472 0.462963
Stationary 287.1758 449 468 0.1545139 0.462963
Moved 287.1897 447.6756 468 0.1522145 0.462963
Moved 287.2053 440.7376 468 0.1401695 0.462963
Moved 287.2209 431.4829 468 0.1241023 0.462963
Moved 287.2361 415.803 468 0.09688019 0.462963
Moved 287.2512 399.1319 461.0769 0.06793729 0.4228987
Moved 287.2671 382.4661 456.8665 0.03900364 0.3985331
Moved 287.2818 357.3481 452.087 -0.004603974 0.370874
Moved 287.2977 336.5286 446.8821 -0.0407489 0.3407531
Moved 287.3126 305.4929 440.2693 -0.09463045 0.3024847
Moved 287.3282 286.6274 434.8758 -0.127383 0.2712719
Moved 287.3437 270.0378 430.2595 -0.1561843 0.2445572
Moved 287.3601 256.018 426.1054 -0.1805243 0.2205175
Moved 287.3743 243.5128 422.6282 -0.2022348 0.2003946
Moved 287.3911 233.4425 419.8407 -0.2197179 0.1842633
Moved 287.4048 226.7987 417.1195 -0.2312522 0.1685158
Moved 287.4211 220.8911 414.9456 -0.2415085 0.155935
Moved 287.4366 215.346 412.173 -0.2511354 0.1398899
Moved 287.4516 211.0946 410.6982 -0.2585163 0.1313551
Moved 287.4676 206.9368 408.6245 -0.2657348 0.1193547
Moved 287.4831 203.853 405.853 -0.2710885 0.1033159
Moved 287.4984 201.0829 406 -0.2758977 0.1041666
Moved 287.5125 199.1589 404.1589 -0.279238 0.09351236
Moved 287.5284 198.0814 404 -0.2811086 0.09259277
Stationary 287.5439 198 404 -0.28125 0.09259277
Moved 287.5593 196.5 402.5 -0.2838542 0.08391204
Stationary 287.575 196.5 402.5 -0.2838542 0.08391204
Moved 287.6009 195.8596 403 -0.284966 0.08680555
Stationary 287.6123 195.8596 403 -0.284966 0.08680555
Stationary 287.6251 195.8596 403 -0.284966 0.08680555
Stationary 287.6371 195.8596 403 -0.284966 0.08680555
Stationary 287.6509 196 403 -0.2847222 0.08680555
Stationary 287.6682 196 403 -0.2847222 0.08680555
Moved 287.6824 210.5125 403 -0.2595268 0.08680555
Moved 287.6979 221.3336 413.3334 -0.2407402 0.1466055
Moved 287.7165 238.87 418.8831 -0.2102952 0.1787214
Moved 287.7288 262.7156 427.6434 -0.1688965 0.2294177
Moved 287.7434 282.8599 433.96 -0.1339237 0.265972
Moved 287.7596 300.6994 439.2057 -0.1029524 0.2963294
Moved 287.7752 323.2852 443.366 -0.06374105 0.320405
Moved 287.7911 335.4919 445.8325 -0.04254881 0.3346785
Moved 287.8058 346.7388 447.2173 -0.02302285 0.342693
Moved 287.8218 353.4091 448.6023 -0.01144256 0.3507077
Moved 287.8371 358.9491 449 -0.001824424 0.3530093
Moved 287.8523 364.5037 449 0.007818863 0.3530093
Ended 287.8681 367.5 449 0.01302086 0.3530093
Began 288.4353 544 467 0.3194444 0.4571759
Stationary 288.4537 544 467 0.3194444 0.4571759
Stationary 288.473 544 467 0.3194444 0.4571759
Stationary 288.485 544 467 0.3194444 0.4571759
Moved 288.4993 531.8228 467 0.2983035 0.4571759
Moved 288.5151 527.5766 453.9708 0.2909316 0.3817753
Moved 288.5313 521.0684 447.0684 0.2796326 0.3418308
Moved 288.5465 511.3885 436.0154 0.2628272 0.2778669
Moved 288.562 504.6375 428.3 0.2511068 0.233218
Moved 288.5771 493.1497 412.6425 0.2311628 0.1426072
Moved 288.5924 484.6784 401.2379 0.2164555 0.07660813
Moved 288.6075 475.4256 388.6384 0.2003916 0.003694428
Moved 288.6248 468.1476 376.2657 0.1877562 -0.06790691
Moved 288.6384 463.9063 366.4479 0.1803928 -0.1247229
Moved 288.6536 458.7943 357.3239 0.1715179 -0.177524
Moved 288.6708 456.3394 351.018 0.1672558 -0.2140162
Moved 288.6846 452.5541 344.2568 0.1606842 -0.2531433
Moved 288.6993 450.9487 338.8973 0.157897 -0.2841589
Moved 288.7161 449.0949 334.2848 0.1546787 -0.3108519
Moved 288.7314 446.4241 330.1361 0.1500418 -0.3348605
Moved 288.7467 446 326.6796 0.1493055 -0.3548633
Ended 288.7631 444.9594 322.8784 0.147499 -0.3768614
Began 289.4981 269 474 -0.1579861 0.4976853
Stationary 289.5205 269 474 -0.1579861 0.4976853
Stationary 289.5347 269 474 -0.1579861 0.4976853
Stationary 289.5554 269 474 -0.1579861 0.4976853
Stationary 289.5654 269 474 -0.1579861 0.4976853
Stationary 289.5786 269 474 -0.1579861 0.4976853
Stationary 289.5941 269 474 -0.1579861 0.4976853
Moved 289.609 276.2088 474 -0.1454708 0.4976853
Moved 289.6256 285.5167 464.8055 -0.1293113 0.4444762
Moved 289.6415 291.1721 461.4139 -0.1194929 0.4248493
Moved 289.6564 299.795 456.26 -0.1045226 0.3950231
