the five boxing wizards jump quickly
Basic
0.8 0.8
575.9999 518.4
Began 190.657 273 615 -0.1510417 0.4378857
Stationary 190.6782 273 615 -0.1510417 0.4378857
Stationary 190.6925 273 615 -0.1510417 0.4378857
Stationary 190.7053 273 615 -0.1510417 0.4378857
Stationary 190.7209 273 615 -0.1510417 0.4378857
Moved 190.7361 273 600.8214 -0.1510417 0.4105349
Moved 190.7517 273 595.892 -0.1510417 0.4010262
Moved 190.7681 279.3755 587.6245 -0.1399732 0.3850781
Moved 190.7847 284.5157 574.2808 -0.131049 0.3593379
Moved 190.7984 288.8272 560.9092 -0.1235638 0.3335439
Moved 190.8144 296.2935 539.1684 -0.1106015 0.2916056
Moved 190.8315 301.9505 520.6609 -0.1007804 0.2559045
Moved 190.8447 311.4864 491.541 -0.08422507 0.1997317
Moved 190.8605 321.6668 466.5234 -0.06655066 0.1514726
Moved 190.8783 325 456.5 -0.06076388 0.1321373
Moved 190.8911 336.1306 426.2822 -0.04143991 0.07384671
Moved 190.9063 345.0089 406.6473 -0.02602614 0.03597074
Moved 190.9221 351.1017 391.7966 -0.01544841 0.0073236
Moved 190.9381 359.2236 370.7372 -0.001347959 -0.03330018
Moved 190.9517 362.973 360.7388 0.005161389 -0.0525873
Moved 190.9681 367.292 349.2213 0.01265973 -0.07480468
Moved 190.9832 374.5 330.5 0.02517357 -0.1109183
Moved 190.9988 380.5283 315.0027 0.03563933 -0.1408127
Moved 191.0145 390.6416 289.35 0.05319729 -0.190297
Moved 191.0322 396.0468 273.8129 0.06258122 -0.2202682
Moved 191.0446 399.8904 265.1827 0.06925419 -0.2369161
Moved 191.0607 402.8125 259.3751 0.07432721 -0.2481191
Moved 191.0759 403.8536 256.4393 0.07613465 -0.2537822
Moved 191.0913 406.5732 252.1401 0.0808563 -0.2620754
Moved 191.1075 406 251.713 0.07986113 -0.2628992
Moved 191.1222 407 250.1753 0.08159719 -0.2658656
Moved 191.137 408.2547 250 0.08377559 -0.2662037
Stationary 191.1535 408.2547 250 0.08377559 -0.2662037
Stationary 191.1672 408 250 0.08333333 -0.2662037
Moved 191.1847 408 254.0686 0.08333333 -0.2583553
Moved 191.1998 398.8673 261.059 0.06747789 -0.2448709
Moved 191.2152 390.0299 268.8488 0.05213528 -0.2298442
Moved 191.23 369.1412 285.0452 0.01587018 -0.198601
Moved 191.246 353.5103 297.3918 -0.01126688 -0.1747844
Moved 191.2604 333.8131 312.2286 -0.04546336 -0.1461639
Moved 191.2774 315.9034 328.1788 -0.07655668 -0.1153959
Moved 191.2912 298.6738 345.3262 -0.1064691 -0.0823184
Moved 191.308 285.5547 355.6396 -0.1292452 -0.06242369
Moved 191.3236 275.6109 364.457 -0.1465088 -0.04541485
Moved 191.3392 261.4809 381.223 -0.1710401 -0.01307305
Moved 191.353 247.9386 394.846 -0.194551 0.01320597
Moved 191.3686 234.9957 406.7816 -0.2170213 0.03622991
Moved 191.3838 223.9684 418.0316 -0.236166 0.05793129
Moved 191.3985 216.4102 425.5898 -0.2492877 0.07251112
Moved 191.414 207.6542 437.0187 -0.2644893 0.09455771
Moved 191.4334 201.3825 446.0645 -0.2753775 0.112007
Moved 191.4454 192.5764 460.7263 -0.290666 0.1402897
Moved 191.4609 185.4765 471.5369 -0.3029921 0.1611436
Moved 191.4763 178.2259 483.6047 -0.31558 0.1844226
Moved 191.4924 171.0687 493.7037 -0.3280056 0.2039037
Moved 191.5085 165.7119 502.9322 -0.3373058 0.2217056
Moved 191.5242 162.4732 509.0536 -0.3429285 0.2335138
Moved 191.5397 158.5 515.5 -0.3498264 0.245949
Moved 191.5543 154.5323 523.1128 -0.3567147 0.2606342
Moved 191.5693 152.733 530.3348 -0.3598385 0.2745656
Moved 191.585 150.2901 536.5496 -0.3640797 0.2865539
Moved 191.5998 148.8579 542.5685 -0.3665662 0.2981645
Moved 191.615 148 549.3745 -0.3680555 0.3112932
Moved 191.6311 146.9683 553.0635 -0.3698467 0.3184094
Ended 191.6471 147 558.9158 -0.3697917 0.3296987
Began 192.1529 285 272 -0.1302083 -0.2237654
Stationary 192.1708 285 272 -0.1302083 -0.2237654
Stationary 192.1838 285 272 -0.1302083 -0.2237654
Stationary 192.2006 285 272 -0.1302083 -0.2237654
Stationary 192.2158 285 272 -0.1302083 -0.2237654
Stationary 192.2318 285 272 -0.1302083 -0.2237654
Stationary 192.2467 285 272 -0.1302083 -0.2237654
Moved 192.2623 297.7104 280.0885 -0.1081416 -0.2081626
Moved 192.2881 312.31 299.195 -0.08279514 -0.1713059
Moved 192.3007 320.9574 311.9361 -0.06778229 -0.1467282
Stationary 192.3106 320.9574 311.9361 -0.06778229 -0.1467282
Moved 192.3236 332.1575 328.4666 -0.04833772 -0.1148408
Moved 192.3391 341.251 341.8765 -0.03255032 -0.08897292
Moved 192.3546 354.8338 361.4266 -0.008969082 -0.05126052
Moved 192.3705 369.9458 383.3757 0.01726709 -0.008920268
Moved 192.3866 379.3362 396.9301 0.03356978 0.01722612
Moved 192.4014 397.366 424.549 0.06487146 0.07050331
Moved 192.4167 412.7516 444.9565 0.0915826 0.1098698
Moved 192.4336 425.5 462 0.1137153 0.1427469
Moved 192.447 439.5767 477.492 0.1381539 0.1726311
Moved 192.4631 451.2033 490.6038 0.1583391 0.1979239
Moved 192.4807 462.8437 506.5133 0.1785481 0.2286135
Moved 192.4938 470.4809 515.4068 0.1918071 0.2457692
Moved 192.5091 485.8307 533.5272 0.2184561 0.2807237
Moved 192.5259 495.3307 544.9134 0.2349491 0.3026878
Moved 192.5404 505.5217 555.5217 0.2526418 0.3231513
Moved 192.5554 514.298 563.9788 0.2678785 0.3394652
Moved 192.5706 522.6218 571.6218 0.2823295 0.3542087
Moved 192.5861 527.6044 576.6044 0.2909799 0.3638202
Moved 192.6015 531.2171 579.4781 0.2972519 0.3693635
Moved 192.6162 535.2742 582.1829 0.3042955 0.374581
Moved 192.6324 536.5333 584.5333 0.3064813 0.379115
Moved 192.6471 537.5 585.5 0.3081597 0.3809799
Moved 192.6629 537 586.2054 0.3072917 0.3823405
Moved 192.678 538.5 586 0.3098958 0.3819443
Moved 192.6936 538 586 0.3090278 0.3819443
Stationary 192.7105 538 586 0.3090278 0.3819443
Stationary 192.7252 538 586 0.3090278 0.3819443
Stationary 192.74 538 586 0.3090278 0.3819443
Moved 192.7556 530.1777 563.4666 0.2954475 0.3384772
Moved 192.7721 513.222 537.0367 0.2660104 0.2874935
Moved 192.7879 499.0752 510.3354 0.24145 0.2359864
Moved 192.802 483.6185 480.237 0.2146155 0.1779262
Moved 192.8171 470.7766 457.4917 0.1923204 0.1340502
Moved 192.8316 459.2496 431.0444 0.1723083 0.08303317
Moved 192.8476 446.4654 402.864 0.1501135 0.02867275
Moved 192.8636 439.0143 383.5405 0.1371776 -0.008602377
Moved 192.8811 431.2705 365.5411 0.1237336 -0.0433236
Moved 192.8938 425.4597 351.1494 0.1136454 -0.07108529
Moved 192.9097 418.0942 334.7355 0.100858 -0.1027479
Moved 192.9253 413.2294 323.202 0.09241215 -0.1249962
Moved 192.9409 407.6001 308.3603 0.08263908 -0.153626
