he is just like everyone else
Basic
0.6 0.6
432 172.8
Began 769.3283 350 302 -0.02314816 0.3587963
Stationary 769.3741 350 302 -0.02314816 0.3587963
Stationary 769.417 350 302 -0.02314816 0.3587963
Stationary 769.4573 350 302 -0.02314816 0.3587963
Stationary 769.4971 350 302 -0.02314816 0.3587963
Moved 769.5381 358 312.8303 -0.004629641 0.4214718
Moved 769.5831 361.5 315.5 0.003472269 0.4369213
Moved 769.6277 364.1249 317 0.009548365 0.4456021
Moved 769.6716 365.7445 317.7446 0.0132975 0.4499107
Moved 769.7122 368.9683 318 0.0207599 0.4513889
Moved 769.7526 372.2689 318 0.02840032 0.4513889
Moved 769.8042 376.4141 309.5506 0.03799567 0.4024919
Moved 769.8492 382 303 0.05092591 0.3645834
Moved 769.8927 385.7252 294.9122 0.05954902 0.3177792
Moved 769.9365 389 282.4078 0.06712963 0.2454154
Moved 769.9839 392 272.8032 0.07407407 0.1898331
Moved 770.0306 394 260.8505 0.07870366 0.1206624
Moved 770.0733 395 250.297 0.08101851 0.05958928
Moved 770.1198 396 242.2953 0.08333336 0.01328309
Moved 770.1636 396 238.3424 0.08333336 -0.009592552
Moved 770.2083 396 235.5 0.08333336 -0.02604167
Moved 770.2767 397 231.6328 0.0856481 -0.04842123
Moved 770.3162 397 230.9232 0.0856481 -0.05252768
Stationary 770.3582 397 231 0.0856481 -0.05208334
Stationary 770.399 397 231 0.0856481 -0.05208334
Moved 770.4392 383.9745 231 0.05549659 -0.05208334
Moved 770.4863 365.4179 246.6328 0.01254141 0.03838433
Moved 770.5309 342.4829 256.2585 -0.04054889 0.09408881
Moved 770.5754 321.1288 264.1485 -0.08997962 0.1397481
Moved 770.6204 303.4987 273.626 -0.1307901 0.1945951
Moved 770.6659 289.2697 280.9101 -0.1637276 0.2367484
Moved 770.7373 275.9398 291.0602 -0.1945837 0.2954872
Moved 770.7814 271.9728 294 -0.2037666 0.3125
Moved 770.8249 268.5 297.5 -0.2118056 0.3327546
Moved 770.8687 266.9002 299.0997 -0.2155087 0.3420123
Moved 770.9172 264.4302 301 -0.2212264 0.3530091
Moved 770.9576 262.7798 302.2202 -0.2250467 0.3600703
Moved 770.9992 262 303.3082 -0.2268519 0.3663669
Moved 771.04 259.7121 304 -0.232148 0.3703706
Moved 771.0809 258.7031 305 -0.2344835 0.3761576
Moved 771.1211 259 306.0141 -0.2337963 0.3820261
Ended 771.1854 258 306 -0.2361111 0.3819445
Began 771.6138 364 301 0.009259283 0.3530091
Stationary 771.6673 364 301 0.009259283 0.3530091
Stationary 771.709 364 301 0.009259283 0.3530091
Moved 771.7518 377.3557 301 0.04017522 0.3530091
Moved 771.7956 387.1897 301 0.06293923 0.3530091
Moved 771.8395 392.4483 301 0.07511179 0.3530091
Moved 771.8829 400.87 301 0.09460647 0.3530091
Moved 771.9263 408.4708 301 0.1122009 0.3530091
Moved 771.9698 414.3388 301 0.1257843 0.3530091
Moved 772.0128 419.4787 301 0.1376822 0.3530091
Moved 772.0557 423.3454 301 0.1466329 0.3530091
Moved 772.1041 430.7615 301 0.1637997 0.3530091
Moved 772.1479 437.065 301 0.1783912 0.3530091
Moved 772.1903 442.1682 301 0.1902042 0.3530091
Moved 772.2512 452.6441 301 0.2144538 0.3530091
Moved 772.2942 458.6421 301 0.2283383 0.3530091
Moved 772.3368 463.6213 301 0.2398641 0.3530091
Moved 772.3801 467 301 0.2476852 0.3530091
Moved 772.4234 468 301 0.25 0.3530091
Moved 772.465 469 301 0.2523148 0.3530091
Moved 772.5069 470 301 0.2546296 0.3530091
Stationary 772.5485 470 301 0.2546296 0.3530091
Moved 772.5892 461.2662 301 0.2344126 0.3530091
Moved 772.6312 437.0457 293.3444 0.1783464 0.3087062
Moved 772.6982 396.8495 280.8141 0.08529991 0.2361928
Moved 772.7394 372.1873 273.9106 0.02821148 0.1962422
Moved 772.7813 349.7342 268.1469 -0.02376343 0.1628869
Moved 772.8305 331.4701 263.235 -0.06604145 0.1344621
Moved 772.8723 314.4063 259.8516 -0.1055409 0.1148819
Moved 772.9136 304.9553 259 -0.1274184 0.1099539
Moved 772.9547 292.0258 257 -0.1573478 0.09837963
Moved 772.9963 281.4252 255 -0.1818861 0.08680573
Moved 773.0401 270 254 -0.2083333 0.0810187
Moved 773.0828 263.8015 251.9008 -0.2226818 0.06887012
Moved 773.1516 251.7345 252 -0.2506147 0.06944445
Moved 773.1961 247.7554 252 -0.2598254 0.06944445
Moved 773.2415 245.8818 250.8818 -0.2641625 0.06297377
Moved 773.2865 242.5034 251 -0.2719829 0.06365723
Moved 773.3286 242 250 -0.2731481 0.05787037
Moved 773.3719 239 249.329 -0.2800926 0.05398733
Moved 773.415 235.3269 248.3269 -0.2885951 0.04818811
Moved 773.4576 232.0116 247.0116 -0.2962694 0.04057637
Moved 773.5007 230 246.0565 -0.3009259 0.0350493
Moved 773.5418 227.5 246 -0.306713 0.03472222
Ended 773.6056 227 245 -0.3078704 0.02893519
Began 774.1365 287 288 -0.1689815 0.2777778
Stationary 774.1895 287 288 -0.1689815 0.2777778
Stationary 774.2391 287 288 -0.1689815 0.2777778
Moved 774.2842 297.3438 288 -0.1450375 0.2777778
Moved 774.3284 308.916 288 -0.1182501 0.2777778
Moved 774.3727 323.8001 288 -0.08379598 0.2777778
Moved 774.4181 338.0261 288 -0.05086551 0.2777778
Moved 774.4645 350.5 281 -0.02199074 0.2372685
Moved 774.5122 365 277.5 0.01157403 0.2170139
Moved 774.5562 381.223 273.3885 0.04912724 0.1932204
Moved 774.5992 396.4179 268.3881 0.08430073 0.1642829
Moved 774.6467 411.3135 262.8955 0.1187813 0.1324971
Moved 774.6911 423.1675 256.9442 0.146221 0.09805662
Moved 774.7335 434.7372 249.2628 0.1730028 0.05360427
Moved 774.7753 442.4781 242.5219 0.1909215 0.01459422
Moved 774.8178 450.3459 236.6541 0.209134 -0.01936312
Moved 774.8607 456.4753 232.5247 0.2233225 -0.04326026
Moved 774.9301 461 229 0.2337964 -0.06365723
Moved 774.9727 463 226.8135 0.2384259 -0.0763109
