User,Speed(1.25x),Speed(1.0x),Speed(0.75x),Accuracy(1.25x),Accuracy(1.0x),Accuracy(0.75x),Fatigue(1.25x),Fatigue(1.0x),Fatigue(0.75x),Preference(1.25x),Preference(1.0x),Preference(0.75x)
1,2.0,4.0,5.0,2.0,4.0,5.0,2.0,4.0,5.0,2.0,4.0,5.0
1,2.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0
2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0
3,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0
3,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0
4,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
4,4.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0
5,4.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0
5,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0
6,4.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0
6,3.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0
7,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0
7,5.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0
8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
8,3.5,3.5,4.0,3.5,3.5,4.0,3.5,3.5,4.0,3.5,3.5,4.0
9,4.0,3.0,3.5,4.0,3.0,3.5,4.0,3.0,3.5,4.0,3.0,3.5
9,2.5,3.5,3.0,2.5,3.5,3.0,2.5,3.5,3.0,2.5,3.5,3.0
10,4.0,3.5,3.0,4.0,3.5,3.0,4.0,3.5,3.0,4.0,3.5,3.0
10,3.5,4.5,4.0,3.5,4.5,4.0,3.5,4.5,4.0,3.5,4.5,4.0
11,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0
11,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
12,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0
12,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0
13,3.5,4.0,3.0,3.5,4.0,3.0,3.5,4.0,3.0,3.5,4.0,3.0
13,3.5,3.0,3.5,3.5,3.0,3.5,3.5,3.0,3.5,3.5,3.0,3.5
14,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
14,2.5,3.5,3.0,2.5,3.5,3.0,2.5,3.5,3.0,2.5,3.5,3.0
15,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0
15,3.5,4.5,3.5,3.5,4.5,3.5,3.5,4.5,3.5,3.5,4.5,3.5
16,3.0,5.0,1.0,3.0,5.0,1.0,3.0,5.0,1.0,3.0,5.0,1.0
16,4.0,4.5,4.0,4.0,4.5,4.0,4.0,4.5,4.0,4.0,4.5,4.0
17,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
17,3.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0
18,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0
18,3.5,4.0,4.0,3.5,4.0,4.0,3.5,4.0,4.0,3.5,4.0,4.0
