id,scale,size,gamma,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12
1,1x1,0.75,6,0.283333,0.316667,0.316667,0.35,0.4,0.433333,0.433333,0.45,0.466667,0.516667,0.533333,0.55
1,1x1,0.75,7,0.283333,0.316667,0.316667,0.366667,0.416667,0.433333,0.466667,0.483333,0.533333,0.55,0.583333,0.616667
1,1x1,0.75,8,0.316667,0.333333,0.333333,0.4,0.433333,0.466667,0.5,0.55,0.566667,0.583333,0.6,0.616667
1,1x1,0.75,9,0.316667,0.333333,0.35,0.433333,0.466667,0.483333,0.516667,0.55,0.583333,0.6,0.616667,0.616667
1,1x1,0.75,10,0.316667,0.366667,0.366667,0.45,0.5,0.516667,0.566667,0.583333,0.616667,0.633333,0.633333,0.65
1,1x1,0.75,11,0.333333,0.366667,0.416667,0.483333,0.55,0.566667,0.583333,0.633333,0.633333,0.65,0.666667,0.666667
1,1x1,0.75,12,0.35,0.383333,0.466667,0.533333,0.566667,0.583333,0.616667,0.633333,0.633333,0.666667,0.683333,0.716667
1,1x1,0.75,13,0.35,0.4,0.5,0.55,0.566667,0.6,0.633333,0.65,0.666667,0.7,0.716667,0.716667
1,1x1,0.75,14,0.366667,0.416667,0.5,0.55,0.6,0.616667,0.65,0.666667,0.7,0.716667,0.716667,0.733333
1,1x1,0.75,15,0.383333,0.433333,0.5,0.566667,0.616667,0.616667,0.65,0.7,0.7,0.716667,0.733333,0.766667
1,1x1,0.75,16,0.383333,0.433333,0.516667,0.583333,0.616667,0.616667,0.683333,0.716667,0.716667,0.733333,0.75,0.8
1,1x1,0.75,17,0.383333,0.466667,0.533333,0.6,0.633333,0.666667,0.7,0.733333,0.783333,0.8,0.8,0.816667
1,1x1,0.75,18,0.4,0.483333,0.566667,0.616667,0.65,0.683333,0.733333,0.766667,0.8,0.816667,0.816667,0.833333
1,1x1,0.75,19,0.4,0.516667,0.6,0.616667,0.716667,0.733333,0.766667,0.8,0.8,0.816667,0.833333,0.85
1,1x1,0.75,20,0.4,0.533333,0.6,0.65,0.733333,0.75,0.783333,0.816667,0.816667,0.833333,0.85,0.85
1,1x1,0.75,21,0.416667,0.533333,0.6,0.666667,0.766667,0.783333,0.8,0.816667,0.833333,0.833333,0.85,0.866667
1,1x1,0.75,22,0.416667,0.533333,0.633333,0.7,0.783333,0.783333,0.833333,0.85,0.85,0.85,0.866667,0.866667
1,1x1,0.75,23,0.416667,0.566667,0.633333,0.733333,0.816667,0.816667,0.833333,0.85,0.85,0.85,0.866667,0.866667
1,1x1,0.75,24,0.45,0.583333,0.683333,0.733333,0.816667,0.816667,0.833333,0.85,0.85,0.866667,0.866667,0.866667
1,1x1,0.75,25,0.466667,0.6,0.7,0.733333,0.816667,0.833333,0.833333,0.85,0.866667,0.866667,0.866667,0.866667
1,1x1,0.75,26,0.466667,0.6,0.733333,0.766667,0.816667,0.833333,0.833333,0.85,0.866667,0.866667,0.883333,0.9
1,1x1,0.75,27,0.5,0.616667,0.75,0.783333,0.816667,0.833333,0.833333,0.85,0.866667,0.866667,0.883333,0.9
1,1x1,0.75,28,0.516667,0.616667,0.75,0.783333,0.85,0.866667,0.866667,0.866667,0.883333,0.883333,0.883333,0.9
1,1x1,0.75,29,0.516667,0.65,0.766667,0.8,0.85,0.866667,0.883333,0.883333,0.883333,0.9,0.9,0.9
1,1x1,0.75,30,0.55,0.683333,0.783333,0.8,0.85,0.883333,0.883333,0.9,0.9,0.9,0.9,0.916667
1,1x1,0.75,31,0.566667,0.7,0.783333,0.8,0.866667,0.883333,0.883333,0.9,0.9,0.916667,0.916667,0.916667
1,1x1,0.75,32,0.583333,0.733333,0.783333,0.8,0.883333,0.883333,0.9,0.9,0.916667,0.916667,0.916667,0.933333
1,1x1,0.75,33,0.6,0.733333,0.783333,0.816667,0.883333,0.883333,0.9,0.9,0.916667,0.933333,0.933333,0.933333
1,1x1,0.75,34,0.6,0.733333,0.783333,0.816667,0.883333,0.883333,0.9,0.9,0.916667,0.933333,0.933333,0.933333
1,1x1,0.75,35,0.6,0.733333,0.783333,0.833333,0.883333,0.883333,0.916667,0.916667,0.933333,0.933333,0.933333,0.933333
1,1x1,0.75,36,0.616667,0.733333,0.8,0.85,0.883333,0.916667,0.916667,0.916667,0.933333,0.933333,0.933333,0.933333
1,1x1,0.75,37,0.633333,0.733333,0.8,0.85,0.9,0.916667,0.916667,0.916667,0.933333,0.933333,0.95,0.95
1,1x1,0.75,38,0.65,0.75,0.8,0.866667,0.9,0.916667,0.916667,0.916667,0.933333,0.933333,0.95,0.95
1,1x1,0.75,39,0.65,0.75,0.816667,0.866667,0.9,0.916667,0.916667,0.933333,0.933333,0.95,0.95,0.95
1,1x1,0.75,40,0.65,0.766667,0.833333,0.866667,0.916667,0.916667,0.933333,0.933333,0.933333,0.95,0.95,0.95
1,1x1,0.75,41,0.666667,0.766667,0.85,0.883333,0.916667,0.916667,0.933333,0.933333,0.95,0.95,0.95,0.95
1,1x1,0.75,42,0.666667,0.8,0.85,0.883333,0.916667,0.933333,0.933333,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,43,0.683333,0.8,0.85,0.883333,0.933333,0.933333,0.933333,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,44,0.683333,0.816667,0.866667,0.9,0.933333,0.933333,0.933333,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,45,0.683333,0.833333,0.866667,0.9,0.933333,0.933333,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,46,0.7,0.833333,0.866667,0.9,0.933333,0.933333,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,47,0.7,0.833333,0.866667,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,48,0.7,0.85,0.866667,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,49,0.7,0.85,0.866667,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,50,0.683333,0.85,0.883333,0.916667,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,51,0.683333,0.85,0.883333,0.916667,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,52,0.683333,0.85,0.883333,0.916667,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,53,0.683333,0.85,0.883333,0.916667,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,54,0.683333,0.85,0.883333,0.916667,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,55,0.683333,0.85,0.883333,0.916667,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,56,0.7,0.85,0.883333,0.916667,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,57,0.716667,0.85,0.883333,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,58,0.733333,0.866667,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,59,0.733333,0.866667,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,60,0.75,0.866667,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,61,0.75,0.866667,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,62,0.75,0.866667,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,63,0.75,0.883333,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,64,0.75,0.883333,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,65,0.75,0.883333,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,66,0.75,0.883333,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,67,0.75,0.883333,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,68,0.75,0.883333,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,69,0.75,0.883333,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,70,0.75,0.883333,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,71,0.75,0.883333,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1,1x1,0.75,72,0.75,0.883333,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.966667
1,1x1,0.75,73,0.75,0.883333,0.916667,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.966667
1,1x1,0.75,74,0.75,0.883333,0.916667,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.983333
1,1x1,0.75,75,0.75,0.883333,0.916667,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.983333
1,1x1,0.75,76,0.75,0.883333,0.916667,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.966667
1,1x1,0.75,77,0.75,0.883333,0.916667,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.983333
1,1x1,0.75,78,0.75,0.883333,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.983333
1,1x1,0.75,79,0.75,0.9,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.966667
1,1x1,0.75,80,0.75,0.916667,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.983333
1,1x1,0.75,81,0.75,0.916667,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.983333
1,1x1,0.75,82,0.75,0.916667,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.966667,0.966667,0.966667
1,1x1,0.75,83,0.75,0.916667,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.966667,0.966667,0.983333
1,1x1,0.75,84,0.75,0.916667,0.933333,0.95,0.95,0.95,0.95,0.95,0.966667,0.966667,0.966667,0.966667
1,1x1,0.75,85,0.75,0.916667,0.95,0.95,0.95,0.95,0.95,0.95,0.966667,0.966667,0.966667,0.966667
1,1x1,0.75,86,0.75,0.916667,0.95,0.95,0.95,0.95,0.95,0.95,0.966667,0.966667,0.983333,1
1,1x1,0.75,87,0.75,0.916667,0.95,0.95,0.95,0.95,0.95,0.95,0.966667,0.966667,0.983333,0.983333
1,1x1,0.75,88,0.75,0.916667,0.95,0.95,0.95,0.95,0.95,0.95,0.966667,0.966667,0.983333,0.983333
1,1x1,0.75,89,0.75,0.916667,0.95,0.95,0.95,0.95,0.95,0.95,0.966667,0.966667,0.983333,1
1,1x1,0.75,90,0.75,0.916667,0.95,0.95,0.95,0.95,0.95,0.95,0.966667,0.966667,0.983333,0.983333
1,1x1,0.75,91,0.766667,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.966667,0.966667,0.983333,0.983333
1,1x1,0.75,92,0.766667,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.966667,0.966667,0.983333,1
1,1x1,0.75,93,0.783333,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.966667,0.983333,0.983333,0.983333
1,1x1,0.75,94,0.783333,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.966667,0.983333,0.983333,1
1,1x1,0.75,95,0.783333,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.966667,0.983333,0.983333,1
1,1x1,0.75,96,0.8,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.966667,0.983333,0.983333,0.983333
1,1x1,0.75,97,0.8,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.983333,0.983333,0.983333,1
1,1x1,0.75,98,0.8,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.983333,0.983333,0.983333,1
1,1x1,0.75,99,0.816667,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.983333,0.983333,0.983333,0.983333
1,1x1,0.75,100,0.816667,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.983333,0.983333,0.983333,1
1,1x1,0.75,101,0.816667,0.933333,0.95,0.95,0.95,0.95,0.95,0.966667,0.983333,0.983333,0.983333,0.983333
1,1x1,0.75,102,0.816667,0.933333,0.95,0.95,0.95,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333
1,1x1,0.75,103,0.816667,0.933333,0.95,0.95,0.95,0.95,0.95,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,104,0.816667,0.933333,0.95,0.95,0.95,0.95,0.966667,0.983333,0.983333,0.983333,0.983333,0.983333
1,1x1,0.75,105,0.816667,0.933333,0.95,0.95,0.95,0.95,0.966667,0.983333,0.983333,0.983333,0.983333,0.983333
1,1x1,0.75,106,0.833333,0.933333,0.95,0.95,0.95,0.95,0.966667,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,107,0.833333,0.933333,0.95,0.95,0.95,0.95,0.966667,0.983333,0.983333,0.983333,0.983333,0.983333
1,1x1,0.75,108,0.833333,0.933333,0.95,0.95,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333
1,1x1,0.75,109,0.833333,0.933333,0.95,0.95,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,1
