id,scale,size,algorithm,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12
18,1x1,0.75,SHARK2,0.265625,0.359375,0.453125,0.515625,0.53125,0.53125,0.578125,0.609375,0.625,0.625,0.640625,0.671875
18,1x1,0.75,DTW,0.265625,0.390625,0.484375,0.484375,0.53125,0.546875,0.578125,0.59375,0.609375,0.609375,0.65625,0.65625
18,1x1,0.75,SHARK2*freq,0.359375,0.484375,0.515625,0.546875,0.609375,0.625,0.625,0.640625,0.640625,0.640625,0.671875,0.703125
18,1x1,0.75,DTW*freq,0.40625,0.515625,0.578125,0.609375,0.625,0.625,0.65625,0.703125,0.734375,0.75,0.75,0.75
18,1x1,0.75,SHARK2(cut),0.265625,0.359375,0.40625,0.421875,0.453125,0.453125,0.5,0.53125,0.53125,0.546875,0.546875,0.59375
18,1x1,0.75,DTW(cut),0.25,0.40625,0.4375,0.4375,0.453125,0.46875,0.515625,0.53125,0.546875,0.546875,0.578125,0.59375
18,1x1,1.0,SHARK2,0.262295,0.327869,0.344262,0.344262,0.377049,0.409836,0.442623,0.459016,0.47541,0.491803,0.491803,0.491803
18,1x1,1.0,DTW,0.278689,0.360656,0.409836,0.459016,0.47541,0.540984,0.590164,0.590164,0.606557,0.606557,0.622951,0.639344
18,1x1,1.0,SHARK2*freq,0.360656,0.42623,0.459016,0.459016,0.47541,0.540984,0.557377,0.57377,0.590164,0.606557,0.606557,0.622951
18,1x1,1.0,DTW*freq,0.42623,0.491803,0.540984,0.590164,0.590164,0.606557,0.639344,0.639344,0.639344,0.704918,0.737705,0.737705
18,1x1,1.0,SHARK2(cut),0.196721,0.278689,0.295082,0.311475,0.344262,0.344262,0.377049,0.377049,0.377049,0.377049,0.377049,0.377049
18,1x1,1.0,DTW(cut),0.229508,0.262295,0.327869,0.393443,0.42623,0.459016,0.459016,0.47541,0.508197,0.52459,0.540984,0.557377
18,1x1,1.25,SHARK2,0.294118,0.352941,0.45098,0.45098,0.509804,0.54902,0.54902,0.54902,0.568627,0.568627,0.588235,0.607843
18,1x1,1.25,DTW,0.372549,0.509804,0.607843,0.666667,0.666667,0.686275,0.705882,0.72549,0.72549,0.745098,0.764706,0.784314
18,1x1,1.25,SHARK2*freq,0.352941,0.490196,0.588235,0.588235,0.607843,0.627451,0.627451,0.627451,0.647059,0.666667,0.705882,0.745098
18,1x1,1.25,DTW*freq,0.509804,0.647059,0.745098,0.784314,0.803922,0.843137,0.843137,0.862745,0.862745,0.862745,0.862745,0.882353
18,1x1,1.25,SHARK2(cut),0.254902,0.333333,0.45098,0.45098,0.490196,0.529412,0.529412,0.529412,0.568627,0.568627,0.588235,0.607843
18,1x1,1.25,DTW(cut),0.372549,0.490196,0.588235,0.647059,0.647059,0.666667,0.686275,0.705882,0.705882,0.72549,0.745098,0.764706
18,1x3,0.75,SHARK2,0.359375,0.546875,0.59375,0.625,0.625,0.65625,0.65625,0.65625,0.6875,0.71875,0.75,0.765625
18,1x3,0.75,DTW,0.359375,0.515625,0.546875,0.578125,0.609375,0.6875,0.6875,0.734375,0.734375,0.765625,0.78125,0.78125
18,1x3,0.75,SHARK2*freq,0.453125,0.578125,0.59375,0.625,0.640625,0.65625,0.6875,0.703125,0.734375,0.75,0.78125,0.828125
18,1x3,0.75,DTW*freq,0.453125,0.546875,0.640625,0.65625,0.703125,0.75,0.765625,0.765625,0.765625,0.78125,0.796875,0.828125
18,1x3,0.75,SHARK2(cut),0.421875,0.53125,0.609375,0.625,0.625,0.65625,0.65625,0.65625,0.6875,0.734375,0.765625,0.78125
18,1x3,0.75,DTW(cut),0.375,0.5,0.53125,0.5625,0.59375,0.6875,0.6875,0.734375,0.734375,0.765625,0.78125,0.796875
18,1x3,1.0,SHARK2,0.409836,0.540984,0.622951,0.672131,0.721311,0.737705,0.754098,0.770492,0.803279,0.803279,0.819672,0.819672
18,1x3,1.0,DTW,0.409836,0.57377,0.672131,0.704918,0.737705,0.754098,0.786885,0.819672,0.819672,0.819672,0.836066,0.836066
18,1x3,1.0,SHARK2*freq,0.508197,0.655738,0.721311,0.737705,0.770492,0.786885,0.836066,0.836066,0.836066,0.852459,0.852459,0.852459
18,1x3,1.0,DTW*freq,0.540984,0.688525,0.770492,0.786885,0.786885,0.803279,0.836066,0.868852,0.868852,0.885246,0.901639,0.901639
18,1x3,1.0,SHARK2(cut),0.393443,0.508197,0.606557,0.655738,0.704918,0.721311,0.737705,0.754098,0.786885,0.786885,0.803279,0.803279
18,1x3,1.0,DTW(cut),0.393443,0.557377,0.655738,0.688525,0.721311,0.737705,0.770492,0.803279,0.803279,0.803279,0.819672,0.819672
18,1x3,1.25,SHARK2,0.352941,0.470588,0.509804,0.529412,0.54902,0.54902,0.54902,0.607843,0.647059,0.666667,0.666667,0.686275
18,1x3,1.25,DTW,0.470588,0.568627,0.607843,0.666667,0.705882,0.784314,0.784314,0.803922,0.803922,0.843137,0.843137,0.843137
18,1x3,1.25,SHARK2*freq,0.392157,0.529412,0.54902,0.54902,0.568627,0.568627,0.588235,0.647059,0.647059,0.647059,0.666667,0.686275
18,1x3,1.25,DTW*freq,0.588235,0.647059,0.705882,0.72549,0.764706,0.784314,0.803922,0.823529,0.823529,0.882353,0.882353,0.901961
18,1x3,1.25,SHARK2(cut),0.352941,0.470588,0.509804,0.529412,0.54902,0.54902,0.54902,0.607843,0.647059,0.666667,0.666667,0.686275
18,1x3,1.25,DTW(cut),0.470588,0.568627,0.607843,0.666667,0.705882,0.784314,0.784314,0.803922,0.803922,0.843137,0.843137,0.843137
