experience is hard to come by
experience is hard to come by
FixStart
0.6 0.6
432 388.8
Began 2704.801 440 301 0.1851852 -0.2237656
Stationary 2704.82 440 301 0.1851852 -0.2237656
Stationary 2704.835 440 301 0.1851852 -0.2237656
Stationary 2704.851 440 301 0.1851852 -0.2237656
Moved 2704.867 432.5353 301 0.1679058 -0.2237656
Moved 2704.882 421.8606 308.1627 0.1431958 -0.205343
Moved 2704.897 413.2525 310.9158 0.1232697 -0.1982617
Moved 2704.914 400.9773 319.0151 0.09485483 -0.1774303
Moved 2704.928 388.0236 331.9741 0.06486943 -0.1440997
Moved 2704.944 374.9228 345.0773 0.03454347 -0.110398
Moved 2704.96 366.7492 356.0011 0.01562307 -0.08230177
Moved 2704.975 355.4893 374.08 -0.01044144 -0.03580258
Moved 2704.99 347.45 386.5833 -0.02905091 -0.003643742
Moved 2705.005 338.8178 399.7733 -0.04903287 0.03028116
Moved 2705.021 332.5 411.5 -0.06365741 0.06044234
Moved 2705.036 327.4302 419.4256 -0.07539302 0.08082704
Moved 2705.051 320.2118 431.2611 -0.09210233 0.1112682
Moved 2705.069 316.2072 439.5857 -0.1013723 0.1326791
Moved 2705.082 312.9366 445.0951 -0.1089431 0.1468495
Moved 2705.097 310.0336 449.4495 -0.1156629 0.1580492
Moved 2705.113 308.0849 450.915 -0.1201738 0.1618184
Moved 2705.129 306.6462 453.7075 -0.1235041 0.1690007
Stationary 2705.145 306.6462 453.7075 -0.1235041 0.1690007
Moved 2705.171 304.5 454 -0.1284722 0.169753
Moved 2705.183 304 448.4406 -0.1296296 0.155454
Stationary 2705.193 304 448.4406 -0.1296296 0.155454
Moved 2705.205 302.7693 434.6936 -0.1324784 0.1200966
Moved 2705.222 302 411.8785 -0.1342593 0.06141576
Moved 2705.236 302 386.9393 -0.1342593 -0.002728254
Moved 2705.251 302 368.2087 -0.1342593 -0.05090352
Moved 2705.27 307.7643 335.6284 -0.1209159 -0.1347006
Moved 2705.283 315.3461 309.6158 -0.1033656 -0.2016055
Moved 2705.3 320.0705 290.718 -0.09242941 -0.2502109
Moved 2705.314 325.8092 270.6201 -0.07914539 -0.301903
Moved 2705.328 328.8301 255.8496 -0.07215261 -0.339893
Moved 2705.344 333.5401 244.0731 -0.06124983 -0.3701824
Moved 2705.36 335.9574 236.1492 -0.05565415 -0.3905629
Moved 2705.375 338.8296 230.3407 -0.0490055 -0.4055024
Moved 2705.391 339.8552 225.4343 -0.04663144 -0.4181216
Moved 2705.406 341.2939 222.4122 -0.04330114 -0.4258945
Moved 2705.421 342.7419 220.2582 -0.03994936 -0.4314348
Moved 2705.437 345.3725 220 -0.03386001 -0.4320988
Moved 2705.451 347.8734 219 -0.02807096 -0.4346708
Moved 2705.468 352.1828 219 -0.01809537 -0.4346708
Moved 2705.483 363.4032 219 0.007877748 -0.4346708
