hands on experience with a job
hands on experience with a job
Basic
0.6 0.6
432 388.8
Began 722.1752 438 317 0.1805556 -0.1826131
Stationary 722.1934 438 317 0.1805556 -0.1826131
Stationary 722.2076 438 317 0.1805556 -0.1826131
Stationary 722.2227 438 317 0.1805556 -0.1826131
Stationary 722.2383 438 317 0.1805556 -0.1826131
Stationary 722.2546 438 317 0.1805556 -0.1826131
Stationary 722.2691 438 317 0.1805556 -0.1826131
Stationary 722.2845 438 317 0.1805556 -0.1826131
Moved 722.3 421.3355 317 0.1419803 -0.1826131
Moved 722.3156 408.3804 317 0.1119917 -0.1826131
Moved 722.3314 391.7556 317 0.07350822 -0.1826131
Moved 722.347 376.338 324.4213 0.03781954 -0.1635256
Moved 722.3628 362.5085 324 0.005806784 -0.164609
Moved 722.378 349.5111 324 -0.02427985 -0.164609
Moved 722.3934 336.5598 324 -0.0542597 -0.164609
Moved 722.4092 326.5439 324 -0.07744467 -0.164609
Moved 722.4236 307.8416 324 -0.1207371 -0.164609
Moved 722.4391 290.8109 324 -0.1601601 -0.164609
Moved 722.4553 277.1541 324 -0.191773 -0.164609
Moved 722.4703 263.9639 315.4163 -0.2223058 -0.1866864
Moved 722.4863 253.0381 316.3376 -0.2475969 -0.184317
Moved 722.5014 242.2763 314.8966 -0.2725085 -0.1880231
Moved 722.5162 234.7108 315 -0.2900212 -0.1877573
Moved 722.5317 222.2502 314.3215 -0.3188654 -0.1895024
Moved 722.5475 213.2963 314 -0.3395919 -0.1903292
Moved 722.5626 205.2134 314 -0.3583023 -0.1903292
Moved 722.5777 198.0261 314 -0.3749396 -0.1903292
Moved 722.5933 195.133 314 -0.3816365 -0.1903292
Moved 722.6086 191.2554 314 -0.3906124 -0.1903292
Moved 722.6245 190.0167 314 -0.3934798 -0.1903292
Moved 722.639 188.5836 314 -0.3967972 -0.1903292
Moved 722.6556 187.1448 314 -0.4001278 -0.1903292
Moved 722.6703 185.7061 314 -0.4034581 -0.1903292
Moved 722.6851 184.2631 319.1583 -0.4067984 -0.1770622
Moved 722.7017 184 323.3476 -0.4074074 -0.1662871
Moved 722.7154 182.3905 325.8286 -0.4111332 -0.1599058
Moved 722.7313 182 328.5299 -0.412037 -0.1529582
Moved 722.7469 180.8827 333.4691 -0.4146233 -0.1402543
Moved 722.7615 181 339.2305 -0.4143519 -0.1254359
Moved 722.7778 181 342.984 -0.4143519 -0.1157819
Moved 722.7934 181 348.7554 -0.4143519 -0.1009378
Moved 722.8092 181 351.7559 -0.4143519 -0.09322044
Moved 722.8248 181 355.9504 -0.4143519 -0.08243215
Moved 722.8406 181 358 -0.4143519 -0.07716057
Moved 722.8553 192.3031 366.3474 -0.3881874 -0.05569104
Moved 722.8707 209.7422 377.4948 -0.3478189 -0.02701959
Moved 722.8871 225.7011 380.2387 -0.3108771 -0.01996217
Moved 722.9023 246.7418 384.5483 -0.2621719 -0.008877805
Moved 722.916 264.4806 385 -0.2211097 -0.007716127
Moved 722.9309 284.9476 385 -0.1737323 -0.007716127
Moved 722.9476 301.9722 385 -0.1343236 -0.007716127
Moved 722.9633 316.0964 380.8604 -0.1016286 -0.01836321
Moved 722.9774 332.2866 374.9218 -0.06415139 -0.03363739
Moved 722.9942 346.6483 370.6055 -0.03090675 -0.04473886
Moved 723.0101 361.122 365.3512 0.002597273 -0.05825317
