a very traditional way to dress
a very traditional way to dress
Basic
0.6 0.6
432 388.8
Began 1214.804 191 376 -0.3912037 -0.03086435
Stationary 1214.815 191 376 -0.3912037 -0.03086435
Stationary 1214.825 191 376 -0.3912037 -0.03086435
Stationary 1214.837 191 376 -0.3912037 -0.03086435
Stationary 1214.853 191 376 -0.3912037 -0.03086435
Stationary 1214.869 191 376 -0.3912037 -0.03086435
Stationary 1214.885 191 376 -0.3912037 -0.03086435
Stationary 1214.901 191 376 -0.3912037 -0.03086435
Stationary 1214.916 191 376 -0.3912037 -0.03086435
Stationary 1214.93 191 376 -0.3912037 -0.03086435
Stationary 1214.947 191 376 -0.3912037 -0.03086435
Stationary 1214.963 191 376 -0.3912037 -0.03086435
Stationary 1214.978 191 376 -0.3912037 -0.03086435
Stationary 1214.992 191 376 -0.3912037 -0.03086435
Stationary 1215.008 191 376 -0.3912037 -0.03086435
Stationary 1215.023 191 376 -0.3912037 -0.03086435
Ended 1215.039 191 376 -0.3912037 -0.03086435
Candidates 1215.099 4 a s d z
Began 1215.568 328 347 -0.07407407 -0.1054527
Stationary 1215.579 328 347 -0.07407407 -0.1054527
Stationary 1215.593 328 347 -0.07407407 -0.1054527
Moved 1215.609 328 394.2477 -0.07407407 0.01606902
Moved 1215.624 341.654 446.3579 -0.04246761 0.1500974
Ended 1215.64 345 465 -0.03472224 0.1980452
Accept 1215.668 0 a
Began 1216.099 436 242 0.1759259 -0.3755144
Stationary 1216.134 436 242 0.1759259 -0.3755144
Stationary 1216.149 436 242 0.1759259 -0.3755144
Stationary 1216.164 436 242 0.1759259 -0.3755144
Stationary 1216.179 436 242 0.1759259 -0.3755144
Stationary 1216.196 436 242 0.1759259 -0.3755144
Stationary 1216.213 436 242 0.1759259 -0.3755144
Stationary 1216.226 436 242 0.1759259 -0.3755144
Stationary 1216.241 436 242 0.1759259 -0.3755144
Moved 1216.258 427.6615 242 0.1566237 -0.3755144
Moved 1216.273 422.1887 252.1633 0.1439553 -0.3493742
Moved 1216.288 417.1945 255.1041 0.1323948 -0.3418103
Moved 1216.304 412.5797 259.4203 0.1217124 -0.3307092
Moved 1216.32 408.5 265 0.1122685 -0.3163581
Moved 1216.335 406.6999 265.6501 0.1081016 -0.314686
Moved 1216.35 403.8223 267.0889 0.1014405 -0.3109856
Moved 1216.365 402.4696 269 0.09830932 -0.30607
Moved 1216.381 401.0363 269.9637 0.09499153 -0.3035914
Moved 1216.396 399.5898 271.4102 0.09164313 -0.2998711
Stationary 1216.413 399.5898 271.4102 0.09164313 -0.2998711
Moved 1216.427 397.7147 272 0.08730242 -0.2983539
Moved 1216.442 398 273.3043 0.08796295 -0.2949994
Moved 1216.461 397 273.831 0.0856481 -0.2936446
Moved 1216.475 395.7207 274 0.08268683 -0.2932099
Moved 1216.488 394.2844 275.7156 0.07936209 -0.2887974
Moved 1216.516 391.4086 278.1828 0.07270505 -0.2824517
Moved 1216.527 387.9131 282.0869 0.06461371 -0.2724103
Stationary 1216.536 387.9131 282.0869 0.06461371 -0.2724103
Moved 1216.548 384.7463 286.3382 0.05728314 -0.2614759
Moved 1216.564 375.1253 297.4282 0.03501236 -0.2329523
Moved 1216.58 363.0467 310.9481 0.007052621 -0.1981788
Moved 1216.596 347.2314 329.6357 -0.02955705 -0.150114
Moved 1216.612 331.6169 345.3831 -0.06570151 -0.1096115
Moved 1216.627 318.1767 358.8234 -0.09681328 -0.07504287
Moved 1216.642 305.5092 373.989 -0.1261361 -0.03603672
Moved 1216.658 296.6239 384.287 -0.146704 -0.009549969
Moved 1216.673 285.4503 395.5497 -0.1725689 0.01941795
Moved 1216.689 275.4501 411.8248 -0.1957173 0.06127781
Moved 1216.705 267.9976 424.8044 -0.2129686 0.09466139
Moved 1216.719 262.461 438.078 -0.2257847 0.1288014
Moved 1216.735 256.714 451.7151 -0.239088 0.1638762
Moved 1216.751 252.9732 462.5937 -0.2477472 0.1918561
Moved 1216.766 251.2853 471.0026 -0.2516543 0.213484
Moved 1216.782 247.8365 485.6538 -0.2596377 0.2511671
Moved 1216.797 246.5067 495.4534 -0.2627161 0.2763718
Moved 1216.813 246 501.6607 -0.2638889 0.2923371
Moved 1216.827 246 507.468 -0.2638889 0.3072737
Moved 1216.842 246 512.2202 -0.2638889 0.3194964
Moved 1216.858 246 516.7493 -0.2638889 0.3311451
Moved 1216.873 246 519 -0.2638889 0.3369341
Moved 1216.889 246 523.0192 -0.2638889 0.3472715
Moved 1216.905 246 531.1452 -0.2638889 0.3681717
Moved 1216.918 264.7062 538.1701 -0.2205875 0.3862399
Moved 1216.935 285.197 547.5237 -0.1731552 0.4102975
Moved 1216.954 302 551.5 -0.1342593 0.4205247
Moved 1216.966 329.2401 553 -0.0712035 0.4243826
Moved 1216.982 349.487 553 -0.02433563 0.4243826
Moved 1216.995 359.0477 553 -0.002204478 0.4243826
Moved 1217.012 370.6046 553 0.02454768 0.4243826
Moved 1217.027 377.9312 553 0.04150729 0.4243826
Moved 1217.044 385.9433 553 0.06005396 0.4243826
Moved 1217.06 395.8127 553 0.08289983 0.4243826
Ended 1217.073 395.8127 553 0.08289983 0.4243826
Candidates 1217.179 12 very bet betty net better newt beer mary marry newer meet met
Began 1217.718 408 414 0.1111111 0.06687239
Stationary 1217.737 408 414 0.1111111 0.06687239
Moved 1217.754 401.8493 453.2095 0.09687334 0.1677199
Moved 1217.768 397.0499 500.7674 0.08576373 0.2900395
Moved 1217.784 398 555.7084 0.08796295 0.4313487
Ended 1217.801 418.3601 618.8943 0.1350927 0.5938638
