the postal service is very slow
the postal service is very slow
Basic
0.6 0.6
432 388.8
Began 1553.29 371 458 0.025463 0.180041
Moved 1553.31 387.3762 422.9081 0.06337087 0.08978412
Ended 1553.326 395 412 0.08101851 0.06172835
Candidates 1553.45 12 th ugh uh hugh if h igg fig g huh hug fight
Began 1554.22 342 430 -0.04166668 0.1080246
Stationary 1554.235 342 430 -0.04166668 0.1080246
Stationary 1554.249 342 430 -0.04166668 0.1080246
Stationary 1554.264 342 430 -0.04166668 0.1080246
Ended 1554.281 342 430 -0.04166668 0.1080246
NextCandidatePanel 1554.34
Began 1554.373 344 437 -0.03703703 0.1260288
Ended 1554.39 344 437 -0.03703703 0.1260288
Cancel 1554.448
Backspace 1560.064
Began 1570.971 366 512 0.01388888 0.31893
Stationary 1570.991 366 512 0.01388888 0.31893
Stationary 1571.006 366 512 0.01388888 0.31893
Stationary 1571.018 366 512 0.01388888 0.31893
Stationary 1571.034 366 512 0.01388888 0.31893
Moved 1571.05 366 503.2101 0.01388888 0.2963223
Moved 1571.081 384.201 469.5125 0.05602091 0.2096515
Moved 1571.092 397.0956 450.2662 0.08586943 0.1601496
Stationary 1571.102 397.0956 450.2662 0.08586943 0.1601496
Moved 1571.113 413.5259 425.1585 0.1239026 0.09557217
Moved 1571.128 424.937 408.5944 0.1503172 0.05296919
Moved 1571.143 431.7305 399.3369 0.1660428 0.02915849
Moved 1571.158 438.844 386.6808 0.1825092 -0.003393079
Moved 1571.175 439.8101 384.5698 0.1847456 -0.008822665
Moved 1571.191 442.4934 381.5065 0.190957 -0.01670131
Moved 1571.206 443.2961 379.4078 0.1928151 -0.02209942
Moved 1571.221 443 378.1766 0.1921296 -0.02526601
Moved 1571.237 443 376.7369 0.1921296 -0.02896878
Moved 1571.252 432.4256 376 0.1676519 -0.03086435
Moved 1571.267 407.4776 386.2612 0.1099018 -0.004472262
Moved 1571.283 378.7882 402.7227 0.04349122 0.03786695
Moved 1571.298 350.5456 421.287 -0.02188519 0.08561464
Moved 1571.313 334.4956 433.1032 -0.05903796 0.1160062
Moved 1571.33 313.7281 452.7125 -0.1071108 0.1664415
