players must know all the rules
players must know all the rules
Basic
0.6 0.6
432 388.8
Began 284.6578 621 549 0.6041667 0.4140946
Stationary 284.6794 621 549 0.6041667 0.4140946
Stationary 284.6921 621 549 0.6041667 0.4140946
Stationary 284.7071 621 549 0.6041667 0.4140946
Stationary 284.7222 621 549 0.6041667 0.4140946
Stationary 284.7375 621 549 0.6041667 0.4140946
Stationary 284.7531 621 549 0.6041667 0.4140946
Moved 284.769 610.3732 549 0.5795675 0.4140946
Moved 284.7845 608.8554 538.6986 0.5760542 0.3875992
Moved 284.7998 605.9421 534.8841 0.5693104 0.3777882
Moved 284.8154 603.1575 529.3149 0.5628645 0.3634643
Moved 284.8309 601.6923 523.7691 0.5594728 0.3492003
Moved 284.8468 599.3016 517.2066 0.553939 0.3323214
Moved 284.8616 596.8414 511.6829 0.5482439 0.3181145
Moved 284.8777 595.5098 506.0394 0.5451616 0.3035991
Moved 284.8927 594.6179 502.4714 0.5430968 0.2944222
Moved 284.9088 593.1 494.5001 0.5395834 0.27392
Moved 284.9238 591.7072 487.5358 0.5363591 0.2560077
Moved 284.9391 590.3228 479.614 0.5331547 0.2356327
Moved 284.9539 588.9398 472.6987 0.5299531 0.2178465
Moved 284.9706 587.5535 464.3212 0.5267443 0.1962993
Moved 284.9841 586.1734 454.2138 0.5235495 0.1703029
Moved 284.9999 585.0628 441.7534 0.5209787 0.1382544
Moved 285.0159 581.096 421.4799 0.5117963 0.08611082
Moved 285.0314 578.6038 409.019 0.5060273 0.05406124
Moved 285.0464 576.9235 398.4642 0.5021376 0.02691414
Moved 285.0615 574.1061 385.9772 0.4956159 -0.005202588
Moved 285.0792 573.1621 375.459 0.4934308 -0.03225562
Moved 285.0935 571.7693 365.3853 0.4902068 -0.05816534
Moved 285.1086 570.5 353.5 0.4872685 -0.08873464
Moved 285.1243 570.332 348.6598 0.4868796 -0.1011837
Moved 285.1383 568.9536 342.8143 0.4836888 -0.1162183
Moved 285.1548 569 337.2851 0.4837963 -0.1304396
Moved 285.17 568 335.3835 0.4814814 -0.1353305
Moved 285.1857 568 332.6256 0.4814814 -0.1424239
Moved 285.2001 567 330.4329 0.4791667 -0.1480635
Moved 285.2179 566.0533 329.0533 0.4769753 -0.1516121
Moved 285.2324 566 328.0182 0.4768519 -0.154274
Moved 285.2473 564.6499 326.6499 0.4737266 -0.1577935
Moved 285.2621 561.5316 325.2658 0.4665083 -0.1613535
Moved 285.2795 557.6598 325 0.4575458 -0.1620371
Moved 285.2932 549 325 0.4375 -0.1620371
Moved 285.3088 537.6204 340.302 0.4111584 -0.12268
Moved 285.3252 529.2046 348.7954 0.3916773 -0.1008349
Moved 285.3393 522 357.5 0.375 -0.07844657
Moved 285.3549 512.0602 368.6823 0.3519912 -0.04968565
Moved 285.3712 503.2228 378.9067 0.3315342 -0.02338802
Moved 285.3866 496.5 387 0.3159723 -0.002572055
Moved 285.4015 489.4807 393.6155 0.2997237 0.01444306
Moved 285.4166 482.6171 401.6595 0.2838358 0.0351325
Moved 285.4322 475.6757 408.3243 0.2677677 0.05227453
Moved 285.4471 469.7727 413.1705 0.2541035 0.06473879
Moved 285.4628 462.4987 417.2864 0.2372656 0.0753252
Moved 285.479 454.0497 421.4752 0.2177077 0.08609854
Moved 285.4932 446.7621 425.619 0.2008383 0.09675653
Moved 285.5085 438.4378 429.7811 0.181569 0.1074617
Moved 285.5246 433.4246 432.2877 0.1699642 0.1139087
Moved 285.5397 427.8954 434.0262 0.1571651 0.11838
Moved 285.5556 420.9724 438.2166 0.1411397 0.1291579
Moved 285.5723 417 438.5 0.1319444 0.1298867
Moved 285.5853 406.9229 441.7693 0.1086179 0.1382954
Moved 285.6013 397.1493 443.2644 0.08599371 0.1421408
Moved 285.6175 388.9304 444 0.0669684 0.1440329
Moved 285.6328 380.4018 445.0997 0.04722635 0.1468613
Moved 285.6473 370.6499 445 0.02465248 0.1466049
Moved 285.6626 357.1765 445 -0.006535997 0.1466049
Moved 285.679 344.6023 445 -0.03564283 0.1466049
Moved 285.6943 335.7837 445 -0.05605628 0.1466049
Moved 285.7156 298.6827 426.696 -0.1419382 0.09952662
Stationary 285.7264 298.6827 426.696 -0.1419382 0.09952662
Moved 285.7397 285.1732 419.5866 -0.1732102 0.08124119
Moved 285.7559 266.3698 410.6226 -0.2167367 0.05818571
Moved 285.7709 253.6465 403.6925 -0.2461887 0.04036138
Moved 285.7858 241.4706 398.3882 -0.2743737 0.02671866
Moved 285.8023 231.8632 393.9316 -0.2966129 0.01525608
Moved 285.818 222.4856 388.7061 -0.3183204 0.001815906
Moved 285.8325 214.2203 384.6102 -0.337453 -0.008718741
Moved 285.8483 205.9283 380.4642 -0.3566475 -0.01938235
Moved 285.8651 198.8267 376.296 -0.3730862 -0.03010298
Moved 285.8807 192.5201 372.1401 -0.3876849 -0.04079206
Moved 285.8944 187.9485 368.9656 -0.3982674 -0.04895669
Moved 285.9091 183.8026 367.6009 -0.4078642 -0.05246684
Moved 285.9277 180.9534 365.3022 -0.4144598 -0.05837907
Moved 285.94 178.1488 364.1489 -0.4209517 -0.06134559
Moved 285.9553 175.5333 362.7667 -0.4270062 -0.06490064
Moved 285.9701 174.3842 361.3842 -0.4296661 -0.06845631
Moved 285.9868 172.0099 361 -0.4351623 -0.06944452
Moved 286.0023 170.6152 361 -0.4383907 -0.06944452
Moved 286.0168 170.2254 360 -0.439293 -0.07201654
