come and see our new car
come and see our new car
Basic
0.6 0.6
432 388.8
Began 153.2059 250 215 -0.2546296 -0.4449589
Stationary 153.2213 250 215 -0.2546296 -0.4449589
Stationary 153.2355 250 215 -0.2546296 -0.4449589
Stationary 153.2526 250 215 -0.2546296 -0.4449589
Stationary 153.268 250 215 -0.2546296 -0.4449589
Moved 153.2819 256.0988 231.4211 -0.2405121 -0.4027234
Moved 153.2981 270.4317 248.5494 -0.207334 -0.3586693
Moved 153.3136 296.6589 285.8837 -0.1466229 -0.2626448
Moved 153.3302 334 329 -0.06018519 -0.151749
Moved 153.3457 359.1151 356.2917 -0.002048264 -0.0815543
Moved 153.3602 389.2365 386.2365 0.067677 -0.004535879
Moved 153.375 428.5 416.5 0.1585648 0.07330243
Moved 153.3911 457.465 438.7074 0.2256134 0.1304202
Moved 153.4065 471.7924 450.2339 0.2587788 0.1600667
Moved 153.4217 480.5058 454.5748 0.2789486 0.1712313
Moved 153.4371 486.0141 459.0141 0.2916993 0.1826493
Moved 153.4531 489.0808 460.027 0.2987983 0.1852545
Moved 153.4674 491.7993 461.3997 0.3050911 0.188785
Moved 153.4837 492.7606 462 0.3073163 0.1903292
Stationary 153.5005 493 462 0.3078704 0.1903292
Moved 153.5161 494.9814 462 0.312457 0.1903292
Moved 153.5293 496.8525 450.0643 0.3167883 0.1596304
Moved 153.5449 499.4442 415.0031 0.3227876 0.06945221
Moved 153.5602 499 386.5 0.3217593 -0.003858064
Moved 153.5757 499 358.6125 0.3217593 -0.07558524
Moved 153.5908 499 322.1365 0.3217593 -0.1694022
Moved 153.6076 499 301.966 0.3217593 -0.2212808
Moved 153.621 492.8451 283.6902 0.3075119 -0.2682864
Moved 153.6376 488.7227 262.9207 0.2979693 -0.3217062
Moved 153.6535 487.4966 249.9731 0.2951311 -0.3550074
Moved 153.668 486.1339 239.9375 0.2919767 -0.3808192
Moved 153.6836 484.1434 232.5018 0.2873689 -0.3999439
Moved 153.6987 481.4486 226.8971 0.281131 -0.4143594
Moved 153.7149 476.4237 220.4237 0.2694994 -0.4310091
Moved 153.73 470.9391 217.9847 0.2568036 -0.4372821
Moved 153.7458 462.7274 213.8636 0.2377948 -0.4478816
Moved 153.7608 448.7729 215 0.205493 -0.4449589
Moved 153.7757 428.3091 215 0.1581228 -0.4449589
Moved 153.7916 403.4691 235.6351 0.1006229 -0.391885
Moved 153.8071 379.179 250.3691 0.04439592 -0.3539888
Moved 153.8218 346.2491 276.316 -0.03183091 -0.2872531
Moved 153.8389 324.5019 296.2649 -0.08217156 -0.2359443
Moved 153.8539 304.4068 316.0047 -0.128688 -0.1851732
Moved 153.8692 276.7623 345.165 -0.1926798 -0.1101724
Moved 153.8838 248.3404 376.2938 -0.2584712 -0.03010848
Moved 153.8991 219.9949 410.132 -0.3240859 0.05692368
Moved 153.9158 205.3492 430.672 -0.357988 0.109753
Moved 153.9303 190.7107 452.9925 -0.3918732 0.1671616
Moved 153.9461 177.2402 473.1396 -0.423055 0.2189805
Ended 153.9613 173 482.5 -0.4328704 0.2430555
Candidates 154.098 12 china come bombs comes confess zone coins cover congress cuba films zones
Began 154.7428 396 360 0.08333336 -0.07201654
Stationary 154.7634 396 360 0.08333336 -0.07201654
Stationary 154.7771 396 360 0.08333336 -0.07201654
Stationary 154.7927 396 360 0.08333336 -0.07201654
Stationary 154.8066 396 360 0.08333336 -0.07201654
Moved 154.8224 378.0622 360 0.04181067 -0.07201654
Moved 154.8384 366.1356 360 0.0142027 -0.07201654
Moved 154.8554 354.5 360 -0.0127315 -0.07201654
Moved 154.8683 343.9115 364.8708 -0.03724183 -0.05948878
Moved 154.8844 331.2231 369.9504 -0.06661316 -0.04642384
Moved 154.9119 314.5292 374.6942 -0.1052565 -0.03422293
Moved 154.9244 307.3638 376.1273 -0.1218431 -0.03053696
Stationary 154.936 307.3638 376.1273 -0.1218431 -0.03053696
Moved 154.9472 302.0288 377.4928 -0.1341927 -0.02702477
Moved 154.9622 295.6932 378.8614 -0.1488584 -0.02350473
Moved 154.9793 292.1336 379.9554 -0.1570981 -0.02069081
Moved 154.9948 288.0663 380 -0.1665131 -0.02057613
Moved 155.0091 286.3202 380 -0.1705551 -0.02057613
Moved 155.0236 284.9544 381.0455 -0.1737166 -0.01788708
Moved 155.0395 283.5858 381 -0.1768848 -0.01800419
Ended 155.0561 284 381 -0.1759259 -0.01800419
Accept 155.0976 1 come
Began 155.2814 153 388 -0.4791667 -3.924585E-08
Stationary 155.3018 153 388 -0.4791667 -3.924585E-08
Stationary 155.3166 153 388 -0.4791667 -3.924585E-08
Stationary 155.3306 153 388 -0.4791667 -3.924585E-08
Stationary 155.3463 153 388 -0.4791667 -3.924585E-08
Moved 155.362 180.9334 375.692 -0.4145058 -0.03165641
Moved 155.3789 217.8502 358.5895 -0.3290505 -0.07564419
Moved 155.3933 260.4525 339.3763 -0.2304341 -0.1250609
Moved 155.4098 282.0158 330.6087 -0.180519 -0.1476114
Moved 155.4252 319.8907 304.3791 -0.09284565 -0.2150744
Moved 155.4405 337.7737 292.8175 -0.05144969 -0.244811
Moved 155.4561 352.5 282 -0.0173611 -0.2726338
Moved 155.4706 367.5638 271.8378 0.01750887 -0.2987712
Moved 155.4862 380.2399 264.7556 0.04685174 -0.3169866
Moved 155.503 388.6786 261.1607 0.06638557 -0.3262328
Moved 155.516 393.2336 259.2554 0.07692973 -0.3311331
Moved 155.5324 396.0643 257.9679 0.08348206 -0.3344448
Moved 155.5483 398.8014 258 0.08981805 -0.3343622
Moved 155.5625 399.7701 257 0.09206027 -0.3369342
Moved 155.5789 400.5 257 0.09374996 -0.3369342
Moved 155.5932 400 257 0.09259263 -0.3369342
Moved 155.609 400 263.0425 0.09259263 -0.3213929
Moved 155.6244 391.3669 268.9332 0.07260849 -0.3062418
Moved 155.6399 378.6476 283.5485 0.04316569 -0.2686511
Moved 155.6546 353.6236 304.4803 -0.0147602 -0.2148139
Moved 155.6712 328.0586 324.9537 -0.07393842 -0.1621561
Moved 155.6864 301.9868 346.9059 -0.1342899 -0.1056947
Moved 155.702 269.1967 372.136 -0.2101929 -0.04080243
Moved 155.7172 238.9647 395.5507 -0.2801743 0.01942054
Moved 155.7319 226.3035 405.7573 -0.3094828 0.04567189
Moved 155.7512 219.773 410.5816 -0.3245995 0.05808017
Moved 155.7634 213.437 415.6504 -0.3392662 0.07111721
Moved 155.7779 210.444 419.834 -0.3461944 0.08187745
Moved 155.7932 207.3545 422.6455 -0.3533461 0.08910869
Ended 155.8107 207 423 -0.3541667 0.09002049
Candidates 155.9766 12 and anna dana aand sand canada dance fans wanna dna anne save
Began 156.3905 382 284 0.05092591 -0.2674897
Stationary 156.4137 382 284 0.05092591 -0.2674897
Stationary 156.4277 382 284 0.05092591 -0.2674897
Stationary 156.4428 382 284 0.05092591 -0.2674897
Stationary 156.4585 382 284 0.05092591 -0.2674897
Stationary 156.4746 382 284 0.05092591 -0.2674897
Moved 156.4868 382 293.0622 0.05092591 -0.2441816
Moved 156.5043 382 295.8543 0.05092591 -0.2370003
Moved 156.5181 382 304.5181 0.05092591 -0.2147168
Moved 156.5337 389.5412 316.5412 0.06838252 -0.1837932
Moved 156.5501 393.4261 328.9174 0.07737518 -0.1519614
Moved 156.5652 396.7366 343.3675 0.08503835 -0.1147955
Moved 156.5797 399.8773 359.2642 0.09230872 -0.07390921
Moved 156.5966 402.6205 371.7921 0.09865851 -0.04168703
Moved 156.6113 402 378.0204 0.09722222 -0.02566773
Moved 156.6266 402 382.0857 0.09722222 -0.01521177
Moved 156.6415 402 386.1547 0.09722222 -0.004746197
Moved 156.6568 402 388.8333 0.09722222 0.002143255
Moved 156.6727 402 389.7842 0.09722222 0.004589057
