he is just like everyone else
he is just like everyone else
FixStart
0.6 0.6
432 388.8
Began 1830.965 329 401 -0.07175927 0.03343609
Stationary 1830.988 329 401 -0.07175927 0.03343609
Stationary 1831 329 401 -0.07175927 0.03343609
Stationary 1831.013 329 401 -0.07175927 0.03343609
Stationary 1831.031 329 401 -0.07175927 0.03343609
Stationary 1831.047 329 401 -0.07175927 0.03343609
Moved 1831.06 344.6995 401 -0.03541782 0.03343609
Moved 1831.077 351.1972 401 -0.02037679 0.03343609
Moved 1831.091 360.7982 401 0.001847545 0.03343609
Moved 1831.106 367.4837 396.1227 0.01732349 0.02089179
Moved 1831.122 373.5491 392.8627 0.03136377 0.01250699
Moved 1831.137 377.1463 392.4268 0.03969053 0.01138581
Moved 1831.153 379.0119 392 0.04400899 0.01028803
Moved 1831.168 380.4519 391 0.04734248 0.007715971
Moved 1831.187 381 391 0.04861106 0.007715971
Stationary 1831.201 381 391 0.04861106 0.007715971
Stationary 1831.214 381 391 0.04861106 0.007715971
Stationary 1831.229 381 391 0.04861106 0.007715971
Moved 1831.245 369.1149 391 0.02109935 0.007715971
Moved 1831.261 358.6366 404.0648 -0.003156116 0.04131898
Moved 1831.277 347.2718 411.0801 -0.02946352 0.05936238
Moved 1831.293 335.5 417.5 -0.05671298 0.0758744
Moved 1831.307 324.4315 425.379 -0.08233453 0.09613939
Moved 1831.322 310.3135 436.3492 -0.115015 0.1243548
Moved 1831.338 296.7167 445.6714 -0.1464892 0.1483317
Moved 1831.354 284.5336 454.311 -0.1746908 0.1705529
Moved 1831.371 273.1102 461.4311 -0.2011337 0.1888659
Moved 1831.386 262.492 471.5782 -0.225713 0.2149646
Moved 1831.399 253.8156 478.8204 -0.2457973 0.2335914
Moved 1831.416 244.8919 488.1082 -0.266454 0.2574797
Moved 1831.433 234.3379 495.7184 -0.2908844 0.2770534
Moved 1831.447 227.0889 501.5289 -0.3076646 0.291998
Moved 1831.462 221.5408 506.4592 -0.3205075 0.304679
Moved 1831.477 215.9292 510.803 -0.3334971 0.3158513
Moved 1831.494 213.5933 514.4067 -0.3389044 0.3251199
Moved 1831.509 211.8571 516.1429 -0.3429234 0.3295855
Moved 1831.523 210.8009 520.7964 -0.3453683 0.3415545
Ended 1831.537 210.8009 520.7964 -0.3453683 0.3415545
Candidates 1831.726 12 he her hee here e hr jew fe fee r jet free
Began 1832.197 405 317 0.1041667 -0.1826131
Stationary 1832.217 405 317 0.1041667 -0.1826131
Moved 1832.232 405 331.4221 0.1041667 -0.1455195
Moved 1832.248 405 357.3792 0.1041667 -0.07875741
Moved 1832.263 405 386.818 0.1041667 -0.003040141
Moved 1832.278 405 418.1141 0.1041667 0.07745385
Ended 1832.297 405 432.5 0.1041667 0.1144546
Accept 1832.352 0 he
Began 1832.676 378 323 0.04166663 -0.1671811
Stationary 1832.696 378 323 0.04166663 -0.1671811
Stationary 1832.709 378 323 0.04166663 -0.1671811
Moved 1832.725 400.4355 348.49 0.09360075 -0.1016205
Moved 1832.742 411.9811 362.9763 0.1203266 -0.06436139
Moved 1832.757 427.3423 384.2108 0.155885 -0.009745923
Moved 1832.771 438.9895 398.7369 0.1828462 0.02761558
Moved 1832.787 452.5 411.5 0.2141203 0.06044234
Moved 1832.803 463.0835 424.9919 0.2386192 0.09514365
Moved 1832.818 473.5522 436.9167 0.2628522 0.1258146
Moved 1832.833 481.7893 445.7893 0.2819197 0.148635
Moved 1832.849 489.22 454.464 0.2991204 0.1709464
Moved 1832.864 496.3975 462.3975 0.315735 0.1913516
Moved 1832.88 501.3519 467.3519 0.3272036 0.2040943
Moved 1832.894 507 473 0.3402778 0.2186213
Moved 1832.911 508.2666 475.8998 0.3432097 0.2260798
Moved 1832.928 511.1378 479.1378 0.3498559 0.2344078
Moved 1832.943 512.5 482 0.3530093 0.2417695
Moved 1832.955 512 483.8983 0.3518519 0.2466518
