the postal service is very slow
the postal service is very show
Basic
0.6 0.6
432 388.8
Began 3600.81 335 535 -0.05787035 0.3780863
Stationary 3600.823 335 535 -0.05787035 0.3780863
Stationary 3600.834 335 535 -0.05787035 0.3780863
Stationary 3600.844 335 535 -0.05787035 0.3780863
Stationary 3600.858 335 535 -0.05787035 0.3780863
Stationary 3600.874 335 535 -0.05787035 0.3780863
Stationary 3600.889 335 535 -0.05787035 0.3780863
Stationary 3600.904 335 535 -0.05787035 0.3780863
Stationary 3600.92 335 535 -0.05787035 0.3780863
Stationary 3600.936 335 535 -0.05787035 0.3780863
Stationary 3600.951 335 535 -0.05787035 0.3780863
Moved 3600.965 335 519.6087 -0.05787035 0.3384996
Moved 3600.983 343.4483 516.8276 -0.03831412 0.3313465
Moved 3600.997 346.3459 511.3082 -0.03160665 0.3171506
Moved 3601.012 348.2261 507.1608 -0.02725432 0.3064836
Moved 3601.029 351.1035 502.8447 -0.02059365 0.2953825
Moved 3601.043 353.2897 499.5655 -0.01553317 0.2869482
Moved 3601.059 356.2603 494.7397 -0.008656831 0.2745363
Moved 3601.075 359.1377 491.8623 -0.001996011 0.2671354
Moved 3601.089 360.4949 487.5154 0.001145502 0.2559551
Moved 3601.105 364.8141 483.1859 0.01114378 0.2448197
Moved 3601.121 367.7609 477.4783 0.01796494 0.2301395
Moved 3601.145 373.8416 466.2112 0.03204067 0.2011605
Moved 3601.158 378.1159 459.1402 0.04193485 0.1829737
Stationary 3601.169 378.1159 459.1402 0.04193485 0.1829737
Moved 3601.181 383.4272 452.7638 0.0542295 0.1665735
Moved 3601.198 388.9792 445.776 0.06708156 0.1486007
Moved 3601.213 393.0672 439.2437 0.07654448 0.1317995
Moved 3601.229 397.3766 431.2468 0.08651991 0.1112315
Moved 3601.243 403.25 422.6251 0.1001156 0.0890561
Moved 3601.259 407.2073 416.3212 0.1092761 0.07284246
Moved 3601.275 411.2323 410.6902 0.1185934 0.05835953
Moved 3601.291 414 406.5 0.125 0.04758226
Moved 3601.305 416.8982 403.1527 0.1317088 0.0389729
Moved 3601.321 418.3959 401.6041 0.1351757 0.03498996
Moved 3601.336 419.8324 398.3351 0.138501 0.02658216
Moved 3601.351 420 396.7289 0.1388889 0.02245083
Moved 3601.367 421.5 395.5 0.1423611 0.01929004
Moved 3601.383 421 393.3523 0.1412037 0.01376607
Moved 3601.398 421 391.7551 0.1412037 0.009658208
Moved 3601.413 407.4803 390.3101 0.109908 0.00594143
Moved 3601.429 391.4167 390 0.07272372 0.005143954
Moved 3601.443 371.249 396.8831 0.02603938 0.02284729
Moved 3601.459 348.6482 409.1642 -0.02627725 0.05443459
Moved 3601.478 331.6525 419.1194 -0.0656192 0.08003949
Moved 3601.491 320.2818 425.7523 -0.09194036 0.09709954
Moved 3601.505 301.2265 439.849 -0.1360498 0.1333564
Moved 3601.524 290.0535 448.1046 -0.1619131 0.1545901
Moved 3601.538 280.9099 455.2417 -0.1830789 0.1729467
Moved 3601.552 272.2213 463.7787 -0.2031915 0.1949041
