where can my little dog be
where can my little dog be
Basic
0.6 0.6
432 388.8
Began 4019.232 217 494 -0.3310185 0.2726337
Stationary 4019.252 217 494 -0.3310185 0.2726337
Stationary 4019.266 217 494 -0.3310185 0.2726337
Stationary 4019.285 217 494 -0.3310185 0.2726337
Stationary 4019.298 217 494 -0.3310185 0.2726337
Stationary 4019.314 217 494 -0.3310185 0.2726337
Stationary 4019.329 217 494 -0.3310185 0.2726337
Stationary 4019.344 217 494 -0.3310185 0.2726337
Stationary 4019.363 217 494 -0.3310185 0.2726337
Stationary 4019.375 217 494 -0.3310185 0.2726337
Stationary 4019.39 217 494 -0.3310185 0.2726337
Stationary 4019.405 217 494 -0.3310185 0.2726337
Stationary 4019.421 217 494 -0.3310185 0.2726337
Stationary 4019.436 217 494 -0.3310185 0.2726337
Stationary 4019.451 217 494 -0.3310185 0.2726337
Stationary 4019.466 217 494 -0.3310185 0.2726337
Stationary 4019.482 217 494 -0.3310185 0.2726337
Stationary 4019.497 217 494 -0.3310185 0.2726337
Stationary 4019.512 217 494 -0.3310185 0.2726337
Stationary 4019.527 217 494 -0.3310185 0.2726337
Stationary 4019.543 217 494 -0.3310185 0.2726337
Stationary 4019.559 217 494 -0.3310185 0.2726337
Stationary 4019.575 217 494 -0.3310185 0.2726337
Stationary 4019.593 217 494 -0.3310185 0.2726337
Stationary 4019.607 217 494 -0.3310185 0.2726337
Stationary 4019.621 217 494 -0.3310185 0.2726337
Stationary 4019.637 217 494 -0.3310185 0.2726337
Stationary 4019.652 217 494 -0.3310185 0.2726337
Stationary 4019.667 217 494 -0.3310185 0.2726337
Stationary 4019.683 217 494 -0.3310185 0.2726337
Moved 4019.698 229.3318 481.6682 -0.3024728 0.2409161
Moved 4019.714 240.36 470.64 -0.2769444 0.2125514
Moved 4019.73 250.8216 457.9436 -0.2527277 0.1798961
Moved 4019.744 260.3196 448.1271 -0.2307417 0.1546479
Moved 4019.761 268.9798 439.0202 -0.2106948 0.1312247
Moved 4019.777 276.1164 430.4603 -0.194175 0.1092086
Moved 4019.792 283.9457 422.618 -0.1760516 0.08903798
Moved 4019.806 293.0143 413.9858 -0.1550596 0.06683581
Moved 4019.822 300.1852 406.8148 -0.1384601 0.04839183
Moved 4019.837 307.4278 401.4578 -0.1216948 0.03461347
Moved 4019.852 314.6219 397.0269 -0.1050418 0.02321718
Moved 4019.868 320.0495 395.2376 -0.092478 0.01861525
Moved 4019.885 325.8075 393.7981 -0.07914931 0.01491276
Moved 4019.899 329.9006 391.5497 -0.06967445 0.009129803
Moved 4019.914 337.7158 390.2568 -0.05158374 0.005804541
Moved 4019.929 344.8924 390 -0.03497124 0.005143954
Moved 4019.945 354.0924 389 -0.01367499 0.002572016
Moved 4019.96 360.2253 387.9437 0.0005216399 -0.0001449742
Moved 4019.978 365.9814 388 0.01384576 -3.924585E-08
Moved 4019.99 369.7936 388 0.02267033 -3.924585E-08
Moved 4020.006 372.0034 388 0.0277858 -3.924585E-08
Moved 4020.023 373.4412 386.5588 0.03111382 -0.003706967
Moved 4020.038 374.8749 387 0.03443261 -0.002572055
Moved 4020.053 376.313 387 0.03776153 -0.002572055
Stationary 4020.068 376.313 387 0.03776153 -0.002572055
Moved 4020.083 378.1705 387 0.04206131 -0.002572055
Stationary 4020.099 378.1705 387 0.04206131 -0.002572055
Moved 4020.114 378.7953 387 0.04350771 -0.002572055
Moved 4020.13 379.5 387 0.0451389 -0.002572055
Stationary 4020.145 379.5 387 0.0451389 -0.002572055
Stationary 4020.16 379.5 387 0.0451389 -0.002572055
Stationary 4020.178 379.5 387 0.0451389 -0.002572055
Moved 4020.192 380.1244 387 0.04658421 -0.002572055
Stationary 4020.209 380.1244 387 0.04658421 -0.002572055
Stationary 4020.225 380.1244 387 0.04658421 -0.002572055
Stationary 4020.24 380.1244 387 0.04658421 -0.002572055
Moved 4020.252 381.0492 387 0.04872501 -0.002572055
Stationary 4020.268 381.0492 387 0.04872501 -0.002572055
Stationary 4020.283 381.0492 387 0.04872501 -0.002572055
Stationary 4020.299 381.0492 387 0.04872501 -0.002572055
Stationary 4020.314 381.0492 387 0.04872501 -0.002572055
Stationary 4020.33 381 387 0.04861106 -0.002572055
Stationary 4020.346 381 387 0.04861106 -0.002572055
Moved 4020.361 366.5266 399.3945 0.01510779 0.02930688
Moved 4020.378 355 408 -0.01157408 0.05144025
Moved 4020.392 344.3414 413.7866 -0.03624683 0.06632353
Moved 4020.406 334.2028 419.5984 -0.05971576 0.08127149
Moved 4020.423 325.9771 424.3486 -0.07875661 0.09348904
Moved 4020.438 318.6386 428.8168 -0.09574403 0.1049815
Moved 4020.453 311.0323 434.4055 -0.113351 0.1193555
Moved 4020.469 297.2993 444.0719 -0.1451404 0.1442177
Moved 4020.494 280.5067 456.7946 -0.1840123 0.1769408
Moved 4020.506 273.3041 462.5567 -0.2006849 0.1917609
Stationary 4020.517 273.3041 462.5567 -0.2006849 0.1917609
Moved 4020.53 268.2835 466.7166 -0.2123068 0.2024602
Moved 4020.546 262.9561 471.0329 -0.2246386 0.2135619
Moved 4020.562 259.8198 473.1201 -0.2318987 0.2189303
Moved 4020.577 255.5 477.5 -0.2418981 0.2301954
Moved 4020.593 252.1378 481.8622 -0.249681 0.2414152
Moved 4020.608 247.8217 486.1783 -0.259672 0.2525163
Moved 4020.624 245.3362 489.6638 -0.2654255 0.2614809
