did you have a good time
did you have a good time
Basic
0.6 0.6
432 388.8
Began 1674.176 282 279 -0.1805555 -0.2803498
Stationary 1674.19 282 279 -0.1805555 -0.2803498
Stationary 1674.204 282 279 -0.1805555 -0.2803498
Stationary 1674.219 282 279 -0.1805555 -0.2803498
Stationary 1674.234 282 279 -0.1805555 -0.2803498
Stationary 1674.25 282 279 -0.1805555 -0.2803498
Stationary 1674.27 282 279 -0.1805555 -0.2803498
Stationary 1674.281 282 279 -0.1805555 -0.2803498
Stationary 1674.296 282 279 -0.1805555 -0.2803498
Stationary 1674.31 282 279 -0.1805555 -0.2803498
Stationary 1674.326 282 279 -0.1805555 -0.2803498
Stationary 1674.341 282 279 -0.1805555 -0.2803498
Stationary 1674.357 282 279 -0.1805555 -0.2803498
Stationary 1674.373 282 279 -0.1805555 -0.2803498
Moved 1674.388 272.1063 290.1304 -0.2034576 -0.2517224
Moved 1674.403 272.3115 288.6885 -0.2029827 -0.2554309
Moved 1674.421 270.9768 289 -0.2060721 -0.2546296
Moved 1674.435 271 290.4578 -0.2060186 -0.2508801
Moved 1674.45 269.1018 290.8982 -0.2104125 -0.2497474
Moved 1674.467 267.6634 291 -0.2137422 -0.2494857
Moved 1674.481 266.2224 292 -0.2170777 -0.2469136
Moved 1674.498 266 293.217 -0.2175926 -0.2437834
Moved 1674.512 264.5 293 -0.2210648 -0.2443416
Moved 1674.527 263.5 294.5 -0.2233796 -0.2404836
Moved 1674.543 262.9116 295.0884 -0.2247417 -0.2389701
Stationary 1674.557 262.9116 295.0884 -0.2247417 -0.2389701
Moved 1674.573 260.9485 297.0515 -0.2292859 -0.2339211
Moved 1674.589 261 298.4946 -0.2291666 -0.2302093
Moved 1674.605 259.0679 298.9321 -0.233639 -0.2290842
Moved 1674.622 257.6331 300.3669 -0.2369605 -0.2253937
Moved 1674.636 258 301.3876 -0.2361111 -0.2227685
Moved 1674.65 256.0617 302.9383 -0.2405979 -0.2187801
Moved 1674.667 254.6235 304.3765 -0.243927 -0.2150812
Moved 1674.684 253.187 305.626 -0.2472523 -0.2118673
Moved 1674.697 251.7488 307.2512 -0.2505814 -0.2076873
Moved 1674.712 250.3121 308.6879 -0.2539073 -0.203992
Moved 1674.728 248.8742 311.2515 -0.2572356 -0.1973983
Moved 1674.743 249 312.1684 -0.2569445 -0.1950402
Moved 1674.758 247 314.671 -0.2615741 -0.1886036
Moved 1674.775 245.8884 316.1116 -0.2641472 -0.184898
Moved 1674.79 245 318.5475 -0.2662037 -0.1786331
Moved 1674.805 244.0138 320.9724 -0.2684866 -0.1723961
Moved 1674.822 244 323.8498 -0.2685185 -0.1649955
Moved 1674.834 243 328.4548 -0.2708333 -0.1531513
Moved 1674.851 243 331.8573 -0.2708333 -0.1444
Moved 1674.87 243 338.8294 -0.2708333 -0.1264676
Moved 1674.882 243 349.6834 -0.2708333 -0.09855097
Moved 1674.898 243 358.4431 -0.2708333 -0.07602095
Moved 1674.912 249.1581 372.4739 -0.2565784 -0.03993352
Moved 1674.927 254.2459 382.8608 -0.2448011 -0.01321816
Moved 1674.944 257.6852 391.3703 -0.23684 0.008668467
Moved 1674.959 260.5007 397.7516 -0.2303225 0.02508136
Moved 1674.976 263.2054 403.4108 -0.2240616 0.03963686
Moved 1674.99 267.5 409 -0.2141203 0.05401234
Moved 1675.006 270.9782 412.9673 -0.2060691 0.06421623
Moved 1675.022 273.8556 415.8556 -0.1994083 0.07164496
Moved 1675.036 275.7339 419.6009 -0.1950604 0.08127797
Moved 1675.052 278.6106 422.6106 -0.1884015 0.08901893
Moved 1675.067 279.5 423.5 -0.1863426 0.09130646
Moved 1675.082 281.6647 425.6647 -0.1813318 0.09687412
Moved 1675.097 284.5423 427.2712 -0.1746706 0.1010061
Moved 1675.118 288.8166 430.4083 -0.1647765 0.1090747
Moved 1675.129 294.5586 433.2793 -0.1514848 0.116459
Moved 1675.145 304.0516 438.3152 -0.1295103 0.1294114
Moved 1675.159 315.1639 443.0615 -0.1037872 0.1416189
Moved 1675.174 326.6731 445.9183 -0.0771457 0.1489667
Moved 1675.19 338.6941 450.3674 -0.04931917 0.16041
Moved 1675.206 354.2599 456.1039 -0.01328722 0.1751644
Moved 1675.223 374.6834 463.387 0.03398944 0.1938964
Moved 1675.237 390.9395 467.7349 0.07161925 0.2050793
Moved 1675.253 409.4614 472.0295 0.1144939 0.2161253
Moved 1675.268 422.8393 476.3518 0.1454614 0.2272422
Moved 1675.283 433.5833 480.6785 0.1703317 0.2383706
Moved 1675.298 439.4732 482.491 0.1839657 0.2430324
Moved 1675.313 449.7312 487.4925 0.2077111 0.2558962
Moved 1675.329 457.0375 492.83 0.2246239 0.2696244
Moved 1675.344 463.5545 496.9159 0.2397095 0.2801334
Moved 1675.359 468.2321 500.1547 0.2505372 0.2884637
Moved 1675.375 471.5032 503.0064 0.2581093 0.2957983
Moved 1675.39 473.9019 504.9509 0.2636617 0.3007997
Moved 1675.406 475.017 506.017 0.266243 0.3035415
Moved 1675.424 476.4619 507.4619 0.2695878 0.307258
Moved 1675.437 477.9007 508.9008 0.2729184 0.3109587
Moved 1675.452 479.3096 510.3096 0.2761796 0.3145823
Moved 1675.467 480 510.7782 0.2777778 0.3157875
Moved 1675.483 481.2135 511 0.2805869 0.3163579
Moved 1675.498 481 512.5 0.2800926 0.3202159
Stationary 1675.513 481 512.5 0.2800926 0.3202159
Moved 1675.529 482.3213 513.3212 0.2831511 0.3223282
Stationary 1675.543 482.3213 513.3212 0.2831511 0.3223282
Moved 1675.559 482 514.2487 0.2824074 0.3247137
Moved 1675.578 482 515.2609 0.2824074 0.3273171
Stationary 1675.589 482 515.2609 0.2824074 0.3273171
Stationary 1675.604 482 515 0.2824074 0.326646
Stationary 1675.621 482 515 0.2824074 0.326646
Stationary 1675.636 482 515 0.2824074 0.326646
Moved 1675.652 461.4912 515 0.2349334 0.326646
Moved 1675.667 445.569 500.7845 0.1980765 0.2900836
Moved 1675.683 430.3697 492.5653 0.1628928 0.2689436
Moved 1675.7 414.5574 483.9404 0.1262903 0.2467603
Moved 1675.713 403.221 476.4436 0.1000487 0.2274783
Moved 1675.728 389 468 0.06712963 0.2057612
Moved 1675.744 380.8514 461.2178 0.04826724 0.1883172
Moved 1675.759 370.1812 452.2982 0.02356758 0.1653758
Moved 1675.775 360.5 445.5 0.001157423 0.1478908
Moved 1675.79 349.977 436.9835 -0.0232015 0.1259864
Moved 1675.805 341.348 429.79 -0.04317587 0.1074846
Moved 1675.821 333.6999 423.5833 -0.06087983 0.09152067
Moved 1675.837 326.4072 416.4072 -0.07776121 0.07306366
Moved 1675.852 322.7252 411.4065 -0.08628438 0.06020177
Moved 1675.868 316.5436 406.4077 -0.1005935 0.04734483
Moved 1675.882 310.8049 402.1036 -0.1138776 0.03627475
Moved 1675.898 306.7935 398.529 -0.1231632 0.02708066
