if you were not so stupid
if you were not so stupid
Basic
0.6 0.6
432 388.8
Began 416.0056 519 502 0.3680556 0.2932098
Stationary 416.0237 519 502 0.3680556 0.2932098
Ended 416.0383 519 502 0.3680556 0.2932098
Candidates 416.0664 6 o p i u l k
Began 416.0979 516 508 0.3611111 0.3086419
Stationary 416.1147 516 508 0.3611111 0.3086419
Stationary 416.1295 516 508 0.3611111 0.3086419
Stationary 416.1452 516 508 0.3611111 0.3086419
Stationary 416.1597 516 508 0.3611111 0.3086419
Stationary 416.1749 516 508 0.3611111 0.3086419
Moved 416.191 507.2234 508 0.3407949 0.3086419
Moved 416.2072 503.3815 508 0.3319015 0.3086419
Moved 416.2235 501.2474 508 0.3269615 0.3086419
Moved 416.2393 498.6172 508 0.3208731 0.3086419
Moved 416.2535 494.7289 508 0.3118724 0.3086419
Moved 416.2698 491.8452 508 0.3051971 0.3086419
Moved 416.285 489.711 508 0.3002569 0.3086419
Moved 416.2993 486.7305 502.9219 0.2933576 0.2955808
Moved 416.3159 482.7944 498.9315 0.2842463 0.2853175
Moved 416.3329 478.4857 495.9904 0.2742724 0.2777531
Moved 416.3462 473.2368 492.1776 0.2621222 0.2679465
Moved 416.3609 467.4186 487.814 0.2486541 0.256723
Moved 416.3794 459.852 482.5112 0.231139 0.2430843
Moved 416.3936 455.2511 478.251 0.2204886 0.2321271
Moved 416.4089 448.1924 472.5539 0.2041491 0.217474
Moved 416.424 439.2106 465.0088 0.1833578 0.1980678
Moved 416.4378 431.8502 459.0802 0.1663199 0.1828194
Moved 416.4612 416.4082 445.5266 0.1305745 0.1479592
Stationary 416.4722 416.4082 445.5266 0.1305745 0.1479592
Moved 416.4838 407.2355 438.2355 0.1093413 0.1292064
Moved 416.4988 400.4119 432.1765 0.09354601 0.1136226
Moved 416.5149 392.1741 425.3118 0.0744772 0.09596644
Moved 416.5329 386.1119 419.6895 0.06044428 0.08150591
Moved 416.5468 380.9731 414.9731 0.04854878 0.0693751
Moved 416.5617 375.1588 409.1588 0.03508985 0.05442077
Moved 416.5779 371.3062 405.3062 0.0261717 0.04451175
Moved 416.5923 368.3267 402.3267 0.01927485 0.03684852
Moved 416.6075 365.8379 399.838 0.01351366 0.03044737
Moved 416.6236 364.1213 398.1213 0.009540121 0.02603221
Moved 416.6394 361.359 395.359 0.003145834 0.01892737
Moved 416.6539 361.2423 394.2423 0.002875825 0.01605528
Moved 416.67 359.8029 392.8029 -0.0004561246 0.01235314
Moved 416.6862 359 392.3613 -0.002314796 0.01121741
Moved 416.6998 357.9225 392 -0.004808902 0.01028803
Moved 416.7162 358 390.5 -0.004629641 0.006429962
Moved 416.734 357.4098 391 -0.005995879 0.007715971
Moved 416.7464 357 389.971 -0.006944438 0.005069387
Stationary 416.7607 357 389.971 -0.006944438 0.005069387
Moved 416.7766 355.626 390 -0.01012489 0.005143954
Moved 416.7962 356 388.8243 -0.009259283 0.002119983
Stationary 416.8112 356 388.8243 -0.009259283 0.002119983
Moved 416.8227 354.9208 389 -0.01175746 0.002572016
Stationary 416.8386 354.9208 389 -0.01175746 0.002572016
Stationary 416.8536 354.9208 389 -0.01175746 0.002572016
Stationary 416.8695 354.9208 389 -0.01175746 0.002572016
Stationary 416.8929 354.9208 389 -0.01175746 0.002572016
Stationary 416.9047 354.9208 389 -0.01175746 0.002572016
Stationary 416.9219 354.9208 389 -0.01175746 0.002572016
Stationary 416.9346 354.9208 389 -0.01175746 0.002572016
Stationary 416.9475 354.9208 389 -0.01175746 0.002572016
Stationary 416.9631 354.9208 389 -0.01175746 0.002572016
Stationary 416.9786 354.9208 389 -0.01175746 0.002572016
Stationary 416.9952 354.9208 389 -0.01175746 0.002572016
Stationary 417.0075 354.9208 389 -0.01175746 0.002572016
Stationary 417.0241 355 389 -0.01157408 0.002572016
Stationary 417.0401 355 389 -0.01157408 0.002572016
Stationary 417.0544 355 389 -0.01157408 0.002572016
Stationary 417.0694 355 389 -0.01157408 0.002572016
Stationary 417.0867 355 389 -0.01157408 0.002572016
Stationary 417.1007 355 389 -0.01157408 0.002572016
Stationary 417.1149 355 389 -0.01157408 0.002572016
Stationary 417.1309 355 389 -0.01157408 0.002572016
Stationary 417.1472 355 389 -0.01157408 0.002572016
Moved 417.1625 355 393.943 -0.01157408 0.01528536
Moved 417.1782 355 399.5 -0.01157408 0.02957815
Moved 417.1931 355 396 -0.01157408 0.02057605
Moved 417.2088 355 396.9265 -0.01157408 0.0229589
Stationary 417.2246 355 397 -0.01157408 0.02314815
Moved 417.2395 355 397.8068 -0.01157408 0.02522311
Stationary 417.2554 355 398 -0.01157408 0.02572008
Stationary 417.2699 355 398 -0.01157408 0.02572008
Moved 417.2872 355 399.3159 -0.01157408 0.02910453
Moved 417.3003 355 400.0955 -0.01157408 0.03110964
Stationary 417.3157 355 400.0955 -0.01157408 0.03110964
Moved 417.3323 355 401.375 -0.01157408 0.03440068
Moved 417.3472 355 402.2581 -0.01157408 0.03667203
Moved 417.363 355 403 -0.01157408 0.03858017
Moved 417.3794 355 404.3965 -0.01157408 0.04217195
Moved 417.3945 355 405.3883 -0.01157408 0.04472293
Moved 417.4085 355 406.5 -0.01157408 0.04758226
Moved 417.4262 355 407.1971 -0.01157408 0.04937517
Moved 417.4483 355 409.5 -0.01157408 0.05529835
Stationary 417.4594 355 409.5 -0.01157408 0.05529835
Moved 417.4708 355 410.7184 -0.01157408 0.05843221
Moved 417.4869 355 411.5 -0.01157408 0.06044234
Moved 417.5004 355 412.1031 -0.01157408 0.06199342
Stationary 417.5172 355 412.1031 -0.01157408 0.06199342
Moved 417.5344 355 413.3729 -0.01157408 0.06525938
Moved 417.5483 355 414.5547 -0.01157408 0.06829921
Moved 417.5636 355 415.5 -0.01157408 0.07073037
Moved 417.5794 355 416.2185 -0.01157408 0.07257834
Moved 417.5952 355 417.5 -0.01157408 0.0758744
Moved 417.6089 355 418.0064 -0.01157408 0.07717689
Stationary 417.6248 355 418.0064 -0.01157408 0.07717689
Moved 417.6404 355 419 -0.01157408 0.07973251
Moved 417.656 355 420.3357 -0.01157408 0.08316785
Stationary 417.6704 355 420.3357 -0.01157408 0.08316785
Moved 417.6877 355 421.0714 -0.01157408 0.08506013
Stationary 417.7012 355 421.0714 -0.01157408 0.08506013
Moved 417.717 364.614 421 0.01068056 0.08487643
Moved 417.7325 362 422.0884 0.004629592 0.08767591
Moved 417.7487 363.5 422 0.008101861 0.08744851
Ended 417.763 364.049 422 0.009372531 0.08744851
Accept 417.8097 1 p
Backspace 419.5949
Began 421.382 555 554 0.4513889 0.4269547
Stationary 421.4028 555 554 0.4513889 0.4269547
Stationary 421.4161 555 554 0.4513889 0.4269547
Stationary 421.4308 555 554 0.4513889 0.4269547
Stationary 421.4461 555 554 0.4513889 0.4269547
Moved 421.4613 543.4962 554 0.4247596 0.4269547
Moved 421.4771 538.0355 548.8121 0.4121192 0.4136114
Moved 421.4929 533.5367 546.1342 0.4017054 0.4067237
