the facts get in the way
the facts get in the way
Basic
0.6 0.6
432 388.8
Began 486.16 380 492 0.04629632 0.2674896
Stationary 486.1884 380 492 0.04629632 0.2674896
Stationary 486.1997 380 492 0.04629632 0.2674896
Stationary 486.209 380 492 0.04629632 0.2674896
Stationary 486.2256 380 492 0.04629632 0.2674896
Stationary 486.2378 380 492 0.04629632 0.2674896
Stationary 486.2526 380 492 0.04629632 0.2674896
Stationary 486.2686 380 492 0.04629632 0.2674896
Stationary 486.2841 380 492 0.04629632 0.2674896
Moved 486.299 369.7555 492 0.02258211 0.2674896
Moved 486.3137 369.1584 492 0.02120008 0.2674896
Moved 486.3286 367.7749 483.4241 0.01799742 0.2454322
Moved 486.3454 366.3984 482.3984 0.01481116 0.2427943
Moved 486.3597 366 481.0187 0.01388888 0.2392455
Moved 486.3758 364.6352 479.6352 0.01072953 0.2356872
Moved 486.3931 365 478.5 0.01157403 0.2327674
Moved 486.4059 364 478.219 0.009259283 0.2320447
Moved 486.4229 364 477.5 0.009259283 0.2301954
Moved 486.438 362.7324 476.7324 0.006324947 0.2282212
Moved 486.4527 363 476.087 0.006944438 0.2265611
Moved 486.4682 361.7107 476 0.003959934 0.2263374
Moved 486.4834 362 475 0.004629592 0.2237653
Stationary 486.5003 362 475 0.004629592 0.2237653
Moved 486.5146 362 473.9404 0.004629592 0.2210401
Stationary 486.5296 362 473.9404 0.004629592 0.2210401
Moved 486.5447 360.6419 474 0.001485844 0.2211934
Stationary 486.5605 360.6419 474 0.001485844 0.2211934
Moved 486.5756 359.7768 474 -0.0005166729 0.2211934
Moved 486.602 358.8557 474 -0.00264888 0.2211934
Stationary 486.6109 358.8557 474 -0.00264888 0.2211934
Stationary 486.6224 358.8557 474 -0.00264888 0.2211934
Moved 486.6375 357.6901 474 -0.005346934 0.2211934
Moved 486.6535 356.8669 474 -0.007252594 0.2211934
Moved 486.6694 356 474 -0.009259283 0.2211934
Moved 486.6844 354.9668 474 -0.01165102 0.2211934
Moved 486.6989 353.5792 474 -0.01486306 0.2211934
Moved 486.7144 352.194 474 -0.01806945 0.2211934
Moved 486.7313 351.5 474 -0.01967594 0.2211934
Moved 486.747 350.9054 474 -0.02105231 0.2211934
Moved 486.7607 348.3907 474 -0.0268735 0.2211934
Moved 486.7764 347.0077 474 -0.03007472 0.2211934
Moved 486.7938 342.8726 474 -0.03964672 0.2211934
Moved 486.8068 337.7136 474 -0.05158891 0.2211934
Moved 486.8224 332.4045 474 -0.0638785 0.2211934
Moved 486.8389 327 474 -0.07638887 0.2211934
Moved 486.8531 323.5963 481 -0.08426781 0.2391974
Moved 486.8699 320.0315 481.9895 -0.09251976 0.2417425
Moved 486.886 315.8578 482 -0.102181 0.2417695
Moved 486.9006 314.4757 482 -0.1053804 0.2417695
Moved 486.916 312.8605 483.1395 -0.1091191 0.2447002
Moved 486.9311 311.5 483 -0.1122685 0.2443414
Moved 486.9473 312 483 -0.1111111 0.2443414
