hands on experience with a job
hands on experience with a job
Basic
0.6 0.6
432 388.8
Began 736.7439 431 380 0.1643519 -0.02057613
Stationary 736.7598 431 380 0.1643519 -0.02057613
Stationary 736.7756 431 380 0.1643519 -0.02057613
Stationary 736.7935 431 380 0.1643519 -0.02057613
Stationary 736.8066 431 380 0.1643519 -0.02057613
Stationary 736.8209 431 380 0.1643519 -0.02057613
Stationary 736.8365 431 380 0.1643519 -0.02057613
Stationary 736.8542 431 380 0.1643519 -0.02057613
Stationary 736.8699 431 380 0.1643519 -0.02057613
Stationary 736.8849 431 380 0.1643519 -0.02057613
Stationary 736.9 431 380 0.1643519 -0.02057613
Stationary 736.9156 431 380 0.1643519 -0.02057613
Stationary 736.9312 431 380 0.1643519 -0.02057613
Stationary 736.946 431 380 0.1643519 -0.02057613
Stationary 736.9611 431 380 0.1643519 -0.02057613
Stationary 736.9763 431 380 0.1643519 -0.02057613
Stationary 736.9924 431 380 0.1643519 -0.02057613
Stationary 737.0073 431 380 0.1643519 -0.02057613
Stationary 737.0221 431 380 0.1643519 -0.02057613
Stationary 737.0419 431 380 0.1643519 -0.02057613
Moved 737.0538 425.693 375.8723 0.1520671 -0.03119268
Moved 737.0695 417.5 369.5 0.1331019 -0.04758238
Moved 737.0856 420.8211 373 0.1407896 -0.03858032
Moved 737.1005 418.3019 373 0.134958 -0.03858032
Moved 737.1163 417.1632 373 0.1323223 -0.03858032
Moved 737.1321 414.5594 373 0.1262948 -0.03858032
Moved 737.1477 410.7966 373 0.1175848 -0.03858032
Moved 737.1617 407.0541 373 0.1089216 -0.03858032
Moved 737.1776 402.9035 373 0.09931366 -0.03858032
Moved 737.1937 399.0308 378.9384 0.09034912 -0.0233067
Moved 737.209 392.0639 384.392 0.0742221 -0.009279879
Moved 737.2237 376.7775 390.926 0.0388369 0.007525707
Moved 737.241 359.6634 398.2574 -0.0007791321 0.02638208
Moved 737.2554 335.0177 404.7456 -0.05782947 0.04306989
Moved 737.2706 304.7627 410.3159 -0.1278641 0.05739667
Moved 737.2858 277.257 415.564 -0.1915346 0.07089489
Moved 737.3015 249.8729 421.0268 -0.2549239 0.08494537
Moved 737.3236 214.3415 427.9317 -0.3371724 0.1027049
Stationary 737.3353 214.3415 427.9317 -0.3371724 0.1027049
Moved 737.3487 195.944 429 -0.3797593 0.1054526
Moved 737.3627 183.288 430.1902 -0.4090554 0.1085139
Moved 737.3784 171.5 430 -0.4363426 0.1080246
Moved 737.3935 164.0083 431 -0.4536846 0.1105966
Moved 737.4089 156.7683 431 -0.4704438 0.1105966
Moved 737.4236 152.7339 431 -0.4797826 0.1105966
Moved 737.4398 149.6689 431 -0.4868776 0.1105966
Moved 737.4551 146.8168 431 -0.4934795 0.1105966
Moved 737.4708 144.0415 431 -0.4999039 0.1105966
Moved 737.4855 143.1358 431 -0.5020003 0.1105966
Moved 737.5015 141.7523 431 -0.505203 0.1105966
Moved 737.5168 140.5 431 -0.5081019 0.1105966
Moved 737.5322 141 431 -0.5069445 0.1105966
Moved 737.5475 139.5923 431 -0.5102031 0.1105966
Stationary 737.5619 139.5923 431 -0.5102031 0.1105966
Stationary 737.5771 139.5923 431 -0.5102031 0.1105966
Stationary 737.5967 139.5923 431 -0.5102031 0.1105966
Stationary 737.6094 140 431 -0.5092592 0.1105966
Stationary 737.6241 140 431 -0.5092592 0.1105966
