travel at the speed of light
travel at the speed of light
Basic
0.6 0.6
432 388.8
Began 669.3035 421 473 0.1412037 0.2186213
Stationary 669.3209 421 473 0.1412037 0.2186213
Stationary 669.3348 421 473 0.1412037 0.2186213
Stationary 669.3505 421 473 0.1412037 0.2186213
Stationary 669.3641 421 473 0.1412037 0.2186213
Stationary 669.3798 421 473 0.1412037 0.2186213
Stationary 669.397 421 473 0.1412037 0.2186213
Stationary 669.4124 421 473 0.1412037 0.2186213
Stationary 669.4285 421 473 0.1412037 0.2186213
Stationary 669.4437 421 473 0.1412037 0.2186213
Stationary 669.4575 421 473 0.1412037 0.2186213
Stationary 669.473 421 473 0.1412037 0.2186213
Moved 669.489 411.4686 482.5314 0.1191402 0.2431361
Moved 669.5045 409 485 0.113426 0.2494856
Moved 669.5201 408.0739 485.9261 0.1112822 0.2518675
Moved 669.5358 408 487.302 0.1111111 0.2554063
Moved 669.5532 406.7582 488.2418 0.1082367 0.2578234
Stationary 669.5662 406.7582 488.2418 0.1082367 0.2578234
Moved 669.5815 404.9265 490.0735 0.1039966 0.2625346
Moved 669.5969 403.5544 491.4456 0.1008205 0.2660635
Moved 669.6127 403.1766 492 0.09994587 0.2674896
Moved 669.6276 401.8042 493.1958 0.09676893 0.2705652
Stationary 669.6423 401.8042 493.1958 0.09676893 0.2705652
Moved 669.658 400.2727 494.7273 0.09322385 0.2745043
Moved 669.6747 398.9833 496.0167 0.09023905 0.2778207
Moved 669.6912 397.611 497.389 0.08706242 0.2813503
Moved 669.7047 396.2192 498.7808 0.08384079 0.2849298
Moved 669.7206 393.6762 500.1619 0.07795423 0.2884821
Moved 669.7358 391.9249 501.5375 0.07390033 0.2920204
Moved 669.7509 390.0838 502.9162 0.06963849 0.2955662
Moved 669.7662 388.704 504.296 0.06644448 0.299115
Moved 669.782 387.7508 505.2492 0.06423791 0.3015668
Moved 669.7973 385.2912 506.7087 0.05854448 0.3053208
Moved 669.8127 382.8287 508.0856 0.05284419 0.3088621
Moved 669.8278 380.0843 509.4578 0.04649152 0.3123914
Moved 669.8439 378.3297 510 0.04242977 0.3137859
Moved 669.8591 376.7887 511.2113 0.03886283 0.3169014
Moved 669.8745 373.8199 512 0.03199051 0.31893
Moved 669.8972 368.8482 514.0506 0.02048184 0.3242041
Stationary 669.9082 368.8482 514.0506 0.02048184 0.3242041
Moved 669.9201 364.7195 514 0.01092464 0.324074
Moved 669.9365 360.5712 515.8096 0.00132213 0.3287284
Moved 669.9518 356.448 517.184 -0.008222212 0.3322634
Moved 669.966 353.283 518 -0.01554862 0.3343621
Moved 669.9822 350.104 518.948 -0.02290731 0.3368003
Moved 669.9987 347.3524 520.3238 -0.02927681 0.3403389
Moved 670.0135 344.141 520 -0.0367106 0.3395061
Moved 670.0284 340.7285 520.7571 -0.04461 0.3414535
Moved 670.0441 337.7272 521 -0.05155747 0.3420781
Moved 670.0607 335 521 -0.05787035 0.3420781
Moved 670.0755 331.2247 521 -0.06660943 0.3420781
Moved 670.0898 328.4713 521 -0.07298306 0.3420781
Moved 670.1053 324.0786 521 -0.08315131 0.3420781
Moved 670.1214 320.7435 521 -0.09087145 0.3420781
Moved 670.1375 316.8766 521 -0.09982273 0.3420781
Moved 670.1528 311.331 521 -0.1126597 0.3420781
Moved 670.1677 307.6197 521 -0.1212507 0.3420781
Moved 670.1828 303.5011 521 -0.1307846 0.3420781
Moved 670.1993 299.5 521 -0.1400463 0.3420781
Moved 670.2154 294.325 521 -0.1520256 0.3420781
Moved 670.2293 290.1147 521 -0.1617714 0.3420781
Moved 670.2448 287.1666 521 -0.1685959 0.3420781
Moved 670.2598 282.7737 521 -0.1787647 0.3420781
Moved 670.2755 279.7574 521 -0.1857468 0.3420781
Moved 670.2925 275.5087 509.0233 -0.1955816 0.3112737
Moved 670.3062 271.3721 508.3721 -0.2051571 0.309599
Moved 670.322 265.9917 504.2438 -0.2176117 0.2989808
Moved 670.3366 262.0911 498.4548 -0.2266409 0.2840916
Moved 670.3521 257.9668 493.2085 -0.2361879 0.2705979
Moved 670.3672 253.8398 487.7864 -0.2457412 0.2566521
Moved 670.3825 249.6999 480.8333 -0.2553242 0.2387685
Moved 670.3987 245.56 475.9334 -0.2649073 0.2261661
Moved 670.4139 241.4206 470.2275 -0.2744893 0.2114903
Moved 670.429 235.6889 463.1111 -0.2877572 0.1931869
Moved 670.4459 231.1088 457.1451 -0.2983593 0.1778422
Moved 670.4611 225.6255 452.9691 -0.3110521 0.1671016
Moved 670.4756 224.3157 449.9735 -0.3140841 0.1593968
Moved 670.4922 217.7031 444.5273 -0.329391 0.145389
Moved 670.5067 213.4156 440.4156 -0.3393157 0.1348138
Moved 670.5221 208.2678 436.2678 -0.3512319 0.1241456
