a picture is worth many words
a picture is worth many words
FixStart
0.6 0.6
432 388.8
Began 1046.976 521 416 0.3726852 0.07201634
Stationary 1046.998 521 416 0.3726852 0.07201634
Moved 1047.011 511.6479 416 0.3510368 0.07201634
Moved 1047.027 500.0512 416 0.3241926 0.07201634
Moved 1047.042 479.3602 416 0.2762969 0.07201634
Moved 1047.057 453.7302 416 0.216968 0.07201634
Moved 1047.073 421.7629 416 0.1429696 0.07201634
Moved 1047.088 398 416 0.08796295 0.07201634
Moved 1047.104 378.2115 421.968 0.04215628 0.0873661
Moved 1047.119 361.1264 425.4789 0.002607306 0.09639633
Moved 1047.134 350.6312 426.6241 -0.021687 0.0993417
Moved 1047.15 340.9001 428.0143 -0.04421264 0.1029173
Moved 1047.164 336.8411 429.3863 -0.05360852 0.1064462
Moved 1047.18 332.4635 429.7682 -0.06374195 0.1074286
Moved 1047.197 329.7101 430 -0.07011543 0.1080246
Moved 1047.212 327.731 431.1345 -0.07469679 0.1109427
Moved 1047.226 326.43 431.57 -0.07770827 0.1120627
Ended 1047.243 326 432 -0.07870371 0.1131687
Candidates 1047.394 12 a as gas ass faa has aa da s fda had ga
Began 1047.737 434 325 0.1712963 -0.1620371
Stationary 1047.751 434 325 0.1712963 -0.1620371
Stationary 1047.765 434 325 0.1712963 -0.1620371
Stationary 1047.777 434 325 0.1712963 -0.1620371
Moved 1047.787 434 338.8563 0.1712963 -0.1263984
Stationary 1047.797 434 338.8563 0.1712963 -0.1263984
Moved 1047.812 434 350.3647 0.1712963 -0.09679873
Moved 1047.828 434 367.881 0.1712963 -0.05174636
Moved 1047.843 442.6898 384.8984 0.1914117 -0.00797727
Moved 1047.859 443.827 395.4429 0.194044 0.01914323
Moved 1047.873 445.1563 409.7186 0.1971209 0.05586039
Ended 1047.888 445.1563 409.7186 0.1971209 0.05586039
Accept 1047.932 0 a
Began 1048.086 413 356 0.1226852 -0.0823046
Stationary 1048.106 413 356 0.1226852 -0.0823046
Stationary 1048.121 413 356 0.1226852 -0.0823046
Stationary 1048.138 413 356 0.1226852 -0.0823046
Stationary 1048.15 413 356 0.1226852 -0.0823046
Moved 1048.166 436.3651 369.8907 0.1767712 -0.04657737
Moved 1048.183 452.3043 378.7491 0.2136675 -0.02379335
Moved 1048.2 471.7713 391.3292 0.2587298 0.008562778
Moved 1048.221 528.6546 425.0106 0.3904042 0.09519172
Stationary 1048.232 528.6546 425.0106 0.3904042 0.09519172
Moved 1048.244 549.9683 441.4037 0.4397415 0.1373551
Moved 1048.26 570.6328 456.664 0.4875758 0.1766049
Moved 1048.274 583.993 467.3689 0.5185023 0.204138
Moved 1048.289 595.0698 478.0698 0.5441429 0.2316608
Moved 1048.306 604.8807 485.0577 0.5668535 0.2496339
Moved 1048.32 609.9335 490.9335 0.5785497 0.2647465
Moved 1048.337 615.4642 496.4642 0.5913523 0.2789715
Moved 1048.352 618.4118 500.6177 0.5981754 0.2896547
Moved 1048.366 620.5922 503.5922 0.6032228 0.297305
Moved 1048.382 621 504.9758 0.6041667 0.3008635
Moved 1048.399 622.3557 506.3557 0.6073049 0.3044128
Moved 1048.412 622 507.745 0.6064814 0.307986
Moved 1048.428 622 508.8623 0.6064814 0.3108597
Moved 1048.444 622 510.2065 0.6064814 0.314317
Moved 1048.46 622 512.5955 0.6064814 0.3204616
Moved 1048.474 614.1497 514.9626 0.5883093 0.3265497
Moved 1048.489 609.8713 516.3762 0.5784059 0.3301857
Moved 1048.505 603.2173 517.7565 0.563003 0.3337359
Moved 1048.521 596.3281 519.1344 0.5470558 0.3372798
Moved 1048.536 586.5 519 0.5243056 0.3369341
Moved 1048.552 578.9968 520 0.5069369 0.3395061
Moved 1048.568 569.2849 520 0.4844558 0.3395061
Moved 1048.583 556.8138 520 0.4555875 0.3395061
Moved 1048.598 544.3878 520 0.4268237 0.3395061
Moved 1048.613 531.8795 520 0.3978692 0.3395061
Moved 1048.629 520.468 520.5046 0.3714538 0.3408039
Moved 1048.644 510.7489 521 0.3489558 0.3420781
Moved 1048.659 503.057 521 0.3311505 0.3420781
Moved 1048.675 496.1347 521 0.3151266 0.3420781
