are you sure you want this
are you sure you want this
Basic
0.6 0.6
432 388.8
Began 276.8486 201 338 -0.3680556 -0.1286009
Stationary 276.8672 201 338 -0.3680556 -0.1286009
Stationary 276.8818 201 338 -0.3680556 -0.1286009
Stationary 276.8961 201 338 -0.3680556 -0.1286009
Stationary 276.9117 201 338 -0.3680556 -0.1286009
Stationary 276.9268 201 338 -0.3680556 -0.1286009
Stationary 276.9436 201 338 -0.3680556 -0.1286009
Stationary 276.9618 201 338 -0.3680556 -0.1286009
Stationary 276.9731 201 338 -0.3680556 -0.1286009
Stationary 276.9889 201 338 -0.3680556 -0.1286009
Stationary 277.0042 201 338 -0.3680556 -0.1286009
Stationary 277.0198 201 338 -0.3680556 -0.1286009
Stationary 277.0353 201 338 -0.3680556 -0.1286009
Moved 277.0513 207.1744 350.4698 -0.3537629 -0.0965284
Moved 277.067 217.3042 359.3549 -0.3303143 -0.0736757
Moved 277.0825 226.0505 366.9192 -0.3100682 -0.05422027
Moved 277.0976 241.5089 385.5089 -0.274285 -0.006407357
Moved 277.1129 255.544 398.4896 -0.2417963 0.02697937
Moved 277.1286 266.9167 408.9167 -0.2154705 0.05379818
Moved 277.1449 277.4908 418.5635 -0.1909935 0.07860984
Moved 277.1591 288.9229 432.6536 -0.1645304 0.1148497
Moved 277.1741 297.8475 443.4634 -0.1438715 0.1426526
Moved 277.1906 305.4773 450.5519 -0.12621 0.1608846
Moved 277.2057 315.3347 459.0011 -0.103392 0.1826159
Moved 277.2213 320.9331 464.1465 -0.09043257 0.19585
Moved 277.237 326.8429 471.0536 -0.07675255 0.2136153
Moved 277.2518 333.6156 477.6156 -0.06107495 0.2304927
Moved 277.2666 338.2945 483.3926 -0.05024428 0.2453512
Moved 277.2812 341 489 -0.04398147 0.2597736
Moved 277.2968 342.7536 492.2609 -0.03992215 0.2681607
Moved 277.3131 344.1147 495.2294 -0.03677149 0.2757957
Moved 277.3286 345.5603 497.1207 -0.03342514 0.2806601
Moved 277.3444 346 498.9995 -0.03240739 0.2854925
Moved 277.3597 347.4374 500.4374 -0.02908016 0.2891907
Moved 277.3759 347 501.881 -0.0300926 0.2929038
Moved 277.3922 347 503.3228 -0.0300926 0.296612
Moved 277.4084 347 504.5 -0.0300926 0.2996398
Stationary 277.4213 347 504.5 -0.0300926 0.2996398
Moved 277.4384 347 505 -0.0300926 0.3009258
Moved 277.4525 341.7635 506 -0.04221414 0.3034978
Moved 277.4681 336.4296 507.1901 -0.0545611 0.3065589
Moved 277.4833 327.8769 507 -0.07435898 0.3060699
Moved 277.499 319.5731 507 -0.09358088 0.3060699
Moved 277.5136 308.1642 507 -0.1199904 0.3060699
Moved 277.5334 298.6925 507 -0.1419155 0.3060699
Moved 277.5479 288.5 507 -0.1655093 0.3060699
Moved 277.5587 282.5452 507 -0.1792935 0.3060699
Stationary 277.5756 282.5452 507 -0.1792935 0.3060699
Moved 277.5905 266.1212 499 -0.2173119 0.2854938
Moved 277.6068 259.6721 498 -0.2322405 0.2829217
Moved 277.622 253.582 498 -0.246338 0.2829217
Moved 277.6375 249.3228 498 -0.2561971 0.2829217
Moved 277.653 245.6585 498 -0.2646794 0.2829217
Moved 277.6677 243.9318 498 -0.2686763 0.2829217
Moved 277.6824 243 498 -0.2708333 0.2829217
Ended 277.6985 243 498 -0.2708333 0.2829217
Candidates 277.8972 12 after ate st date assure agree dr are at faster street says
Began 278.9722 405 347 0.1041667 -0.1054527
Stationary 278.9937 405 347 0.1041667 -0.1054527
Ended 279.0083 405 347 0.1041667 -0.1054527
NextCandidatePanel 279.0523
Began 280.0071 387 344 0.06250004 -0.1131688
Stationary 280.0257 387 344 0.06250004 -0.1131688
Stationary 280.0398 387 344 0.06250004 -0.1131688
Stationary 280.0537 387 344 0.06250004 -0.1131688
Ended 280.0701 387 344 0.06250004 -0.1131688
NextCandidatePanel 280.101
Began 280.5599 399 347 0.09027779 -0.1054527
Stationary 280.5784 399 347 0.09027779 -0.1054527
Ended 280.5956 399 347 0.09027779 -0.1054527
NextCandidatePanel 280.6394
Began 281.0072 380 332 0.04629632 -0.144033
Stationary 281.0254 380 332 0.04629632 -0.144033
Ended 281.0416 380 332 0.04629632 -0.144033
NextCandidatePanel 281.071
Began 281.4082 388 408 0.06481478 0.05144025
Stationary 281.4269 388 408 0.06481478 0.05144025
Stationary 281.4418 388 408 0.06481478 0.05144025
Moved 281.4573 388 398.9434 0.06481478 0.02814658
Moved 281.473 388 388.9427 0.06481478 0.002424491
Moved 281.4883 388 366.3993 0.06481478 -0.05555737
Moved 281.5034 388 353.0981 0.06481478 -0.08976845
Moved 281.5193 388 336.5 0.06481478 -0.1324588
Moved 281.5354 388 322.4805 0.06481478 -0.1685172
Moved 281.55 388 311.9362 0.06481478 -0.1956374
Moved 281.5645 388 303.2908 0.06481478 -0.2178735
Moved 281.5811 388 297.2953 0.06481478 -0.233294
Moved 281.5968 388 292.7519 0.06481478 -0.2449798
Moved 281.6112 388 289.8679 0.06481478 -0.2523975
Moved 281.627 388 288.5 0.06481478 -0.2559158
Moved 281.6444 395 286.3472 0.08101851 -0.2614527
Moved 281.6575 395 283.8047 0.08101851 -0.267992
Ended 281.6726 395 283.8047 0.08101851 -0.267992
Accept 281.6995 7 are
Began 282.1954 362 465 0.004629592 0.1980452
Stationary 282.2118 362 465 0.004629592 0.1980452
Stationary 282.2265 362 465 0.004629592 0.1980452
Stationary 282.2437 362 465 0.004629592 0.1980452
Stationary 282.26 362 465 0.004629592 0.1980452
Stationary 282.2828 362 465 0.004629592 0.1980452
Stationary 282.2933 362 465 0.004629592 0.1980452
Stationary 282.3053 362 465 0.004629592 0.1980452
Stationary 282.3196 362 465 0.004629592 0.1980452
Stationary 282.3349 362 465 0.004629592 0.1980452
Stationary 282.3496 362 465 0.004629592 0.1980452
Stationary 282.3663 362 465 0.004629592 0.1980452
Stationary 282.3807 362 465 0.004629592 0.1980452
Stationary 282.3962 362 465 0.004629592 0.1980452
Stationary 282.4109 362 465 0.004629592 0.1980452
Stationary 282.4277 362 465 0.004629592 0.1980452
Moved 282.4433 374.2892 473.4578 0.033077 0.2197989
Moved 282.4589 381.5012 474 0.04977136 0.2211934
Moved 282.4734 391.4039 475.3434 0.07269412 0.2246486
Moved 282.4904 403.7955 476 0.1013785 0.2263374
Moved 282.5063 416.9532 477.217 0.131836 0.2294676
Moved 282.5196 430.6239 477 0.1634811 0.2289094
Moved 282.5359 442.3626 477 0.1906541 0.2289094
Moved 282.5518 458.6304 477 0.228311 0.2289094
Moved 282.567 470.6035 477 0.2560265 0.2289094
Moved 282.5825 480.6813 478.0974 0.2793548 0.2317317
Moved 282.5979 488.2665 478.5444 0.2969132 0.2328816
Moved 282.6126 495.9736 479 0.3147538 0.2340534
Moved 282.6282 501.6538 480.4135 0.3279023 0.2376888
