this is a very good idea
this is a very good idea
Basic
0.6 0.6
432 388.8
Began 655.1662 397 499 0.0856481 0.2854938
Stationary 655.183 397 499 0.0856481 0.2854938
Stationary 655.1971 397 499 0.0856481 0.2854938
Stationary 655.2123 397 499 0.0856481 0.2854938
Stationary 655.2313 397 499 0.0856481 0.2854938
Stationary 655.2439 397 499 0.0856481 0.2854938
Stationary 655.2582 397 499 0.0856481 0.2854938
Stationary 655.2737 397 499 0.0856481 0.2854938
Moved 655.2887 389.4858 509.7346 0.06825407 0.3131033
Moved 655.3059 385.9506 514.0494 0.06007085 0.324201
Moved 655.3215 382.7664 519.4673 0.05269994 0.3381359
Moved 655.3353 378.8772 524.6843 0.04369716 0.3515541
Moved 655.3514 377.0056 527.9888 0.0393649 0.3600533
Moved 655.3673 372.6683 533.7756 0.02932469 0.3749372
Moved 655.3818 372.1139 534.8861 0.0280415 0.3777934
Moved 655.3988 369.9582 537.0417 0.0230514 0.3833377
Moved 655.4138 368.5397 538.4603 0.01976788 0.3869862
Moved 655.4288 368.0986 539.9014 0.01874666 0.3906929
Moved 655.4444 366.6571 540 0.01540999 0.3909464
Moved 655.459 366.2163 541 0.01438955 0.3935184
Moved 655.4745 365.5 541 0.01273145 0.3935184
Stationary 655.4901 365.5 541 0.01273145 0.3935184
Stationary 655.505 365.5 541 0.01273145 0.3935184
Moved 655.5278 372.6093 524.0517 0.02918809 0.3499271
Stationary 655.5376 372.6093 524.0517 0.02918809 0.3499271
Moved 655.5507 382.6067 508.8878 0.05233029 0.3109252
Moved 655.5671 390.6725 489.0516 0.07100106 0.2599064
Moved 655.5814 396.9369 473.1578 0.08550197 0.2190273
Moved 655.5974 402.703 457.3167 0.09884962 0.1782836
Moved 655.6122 405.5 447 0.1053241 0.1517489
Moved 655.6287 408.8629 438.5485 0.1131086 0.1300114
Moved 655.6444 411.7378 429.7865 0.1197635 0.1074754
Moved 655.6594 413.804 423.7839 0.1245464 0.09203663
Moved 655.6742 416.5101 419.2348 0.1308105 0.08033638
Moved 655.6909 417.7472 414.7585 0.1336739 0.06882329
