a good response to the question
a good response to the question
FixStart
0.6 0.6
432 388.8
Began 2114.835 340 414 -0.04629632 0.06687239
Stationary 2114.852 340 414 -0.04629632 0.06687239
Stationary 2114.867 340 414 -0.04629632 0.06687239
Stationary 2114.882 340 414 -0.04629632 0.06687239
Stationary 2114.898 340 414 -0.04629632 0.06687239
Stationary 2114.913 340 414 -0.04629632 0.06687239
Moved 2114.929 320.1379 414 -0.09227335 0.06687239
Moved 2114.946 307.4574 414 -0.1216265 0.06687239
Moved 2114.96 294.3981 414 -0.1518563 0.06687239
Moved 2114.976 272.9455 406.1621 -0.2015151 0.04671316
Moved 2114.995 255.5216 404.7101 -0.2418481 0.04297872
Moved 2115.007 239.0766 402 -0.2799152 0.03600815
Moved 2115.022 225.5616 399.6804 -0.3112 0.03004203
Moved 2115.038 213.8117 398.4017 -0.3383989 0.02675323
Moved 2115.052 201.6056 398 -0.3666538 0.02572008
Moved 2115.068 194.3376 396.9054 -0.3834779 0.02290482
Moved 2115.083 184.571 394.857 -0.4060856 0.01763618
Moved 2115.099 176.9391 394 -0.423752 0.01543206
Moved 2115.115 172.6499 392.55 -0.4336808 0.01170256
Moved 2115.129 168.2232 392.1116 -0.4439277 0.01057511
Moved 2115.146 163.9773 392 -0.4537562 0.01028803
Moved 2115.16 162.4404 392 -0.4573138 0.01028803
Moved 2115.175 161.0643 392 -0.4604993 0.01028803
Stationary 2115.19 161 392 -0.4606481 0.01028803
Ended 2115.205 161 392 -0.4606481 0.01028803
Candidates 2115.359 12 a as s has faa gas ass aa da fda ga had
Began 2115.713 338 303 -0.05092591 -0.2186215
Stationary 2115.731 338 303 -0.05092591 -0.2186215
Moved 2115.746 338 312.8322 -0.05092591 -0.193333
Moved 2115.761 338 326.3063 -0.05092591 -0.1586773
Moved 2115.777 338 340.5834 -0.05092591 -0.1219563
Moved 2115.793 338 353.5 -0.05092591 -0.08873464
Moved 2115.808 338 366.497 -0.05092591 -0.05530612
Moved 2115.823 338 378.063 -0.05092591 -0.02555808
Moved 2115.84 338 383.1827 -0.05092591 -0.01239031
Moved 2115.853 338 391.6 -0.05092591 0.009259313
Moved 2115.87 338 397.4781 -0.05092591 0.0243778
Ended 2115.886 338 406.5 -0.05092591 0.04758226
Accept 2115.943 0 a
Began 2116.842 350 275 -0.02314816 -0.2906379
Stationary 2116.854 350 275 -0.02314816 -0.2906379
Stationary 2116.87 350 275 -0.02314816 -0.2906379
Stationary 2116.884 350 275 -0.02314816 -0.2906379
Stationary 2116.9 350 275 -0.02314816 -0.2906379
Moved 2116.916 350 289.7042 -0.02314816 -0.2528184
Moved 2116.932 359.7416 299.5239 -0.000598083 -0.227562
Moved 2116.947 369.3123 316.9684 0.02155632 -0.1826943
Moved 2116.963 378.4417 329.0521 0.04268905 -0.1516151
Moved 2116.978 398.6249 353.1171 0.08940955 -0.0897194
Moved 2116.993 414.55 370.1607 0.126273 -0.04588304
