travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Began 551.5341 357 245 -0.006944438 -0.3677984
Stationary 551.5546 357 245 -0.006944438 -0.3677984
Stationary 551.5704 357 245 -0.006944438 -0.3677984
Stationary 551.5842 357 245 -0.006944438 -0.3677984
Moved 551.6 350.9302 254.4419 -0.02099489 -0.3435136
Moved 551.6153 343.7563 274.9139 -0.0376012 -0.2908594
Moved 551.6303 339.6671 292.776 -0.04706695 -0.2449178
Moved 551.649 336.5 315.5 -0.05439813 -0.1864713
Moved 551.6606 333.2078 331.7532 -0.06201898 -0.1446676
Moved 551.6774 329.1602 343.2395 -0.07138843 -0.1151247
Moved 551.6924 324.9957 350.6724 -0.08102839 -0.09600729
Moved 551.7085 320.8846 355.1154 -0.09054482 -0.08457992
Moved 551.7228 315.3103 357.8448 -0.1034484 -0.07755962
Moved 551.7391 308.1213 359.8131 -0.1200897 -0.07249714
Moved 551.7552 298.6618 360 -0.1419867 -0.07201654
Moved 551.769 288.2615 360 -0.1660613 -0.07201654
Moved 551.785 261.8625 342.1267 -0.22717 -0.1179869
Moved 551.8026 241.0754 330.0453 -0.2752883 -0.1490605
Moved 551.8166 225.9588 320.4283 -0.3102805 -0.1737954
Moved 551.8312 211.5052 307.5052 -0.3437379 -0.2070341
Moved 551.8478 202.1833 298.1833 -0.3653164 -0.2310099
Moved 551.8632 195.5 290 -0.3807871 -0.2520577
Moved 551.8779 191.2274 274.989 -0.3906773 -0.2906661
Moved 551.8923 188.0479 260.2632 -0.3980374 -0.3285413
Moved 551.9088 188 242.1812 -0.3981482 -0.3750485
Moved 551.9243 188 228.3253 -0.3981482 -0.410686
Moved 551.9397 198.0859 206.949 -0.3748012 -0.4656663
Moved 551.9548 204.5 192.5 -0.3599537 -0.5028292
Moved 551.9706 215.1429 177.2245 -0.3353173 -0.5421181
Moved 551.9852 227.2241 163.5288 -0.3073517 -0.5773436
Moved 552.0021 236.1781 156.064 -0.2866248 -0.5965433
Moved 552.0161 254.3696 141.4203 -0.2445147 -0.6342071
Moved 552.0317 270.9561 131.4423 -0.2061203 -0.6598707
Moved 552.0461 290.4901 123.2185 -0.1609026 -0.6810224
Moved 552.0618 305.2873 116.7784 -0.1266497 -0.6975864
Moved 552.0774 315.595 112.3164 -0.1027894 -0.7090628
Moved 552.092 322.4456 109.7772 -0.08693144 -0.7155936
Moved 552.1102 325.4673 108.2664 -0.07993668 -0.7194794
Moved 552.1246 329.0671 106.9777 -0.07160391 -0.7227941
Moved 552.1396 331.8119 107 -0.06525035 -0.7227365
Moved 552.1561 332 106 -0.06481484 -0.7253087
