reading week is just about here
reading week is just about here
FixStart
0.6 0.6
432 388.8
Began 183.4817 338 272 -0.05092591 -0.2983539
Stationary 183.5006 338 272 -0.05092591 -0.2983539
Stationary 183.5147 338 272 -0.05092591 -0.2983539
Stationary 183.5301 338 272 -0.05092591 -0.2983539
Stationary 183.5462 338 272 -0.05092591 -0.2983539
Stationary 183.5614 338 272 -0.05092591 -0.2983539
Moved 183.576 318.8269 298.4496 -0.09530808 -0.2303251
Moved 183.5984 303.3198 344.0407 -0.1312042 -0.1130641
Stationary 183.6094 303.3198 344.0407 -0.1312042 -0.1130641
Moved 183.6224 300.5248 366.0636 -0.137674 -0.05642078
Moved 183.6385 297.7755 380.01 -0.1440381 -0.02055054
Moved 183.6548 295 389.5 -0.150463 0.003857946
Moved 183.6699 290.4582 394.5418 -0.1609764 0.01682564
Moved 183.685 284.9015 398.8239 -0.1738391 0.02783909
Moved 183.6997 279.3642 400.6589 -0.1866568 0.03255895
Moved 183.7162 273.2836 401 -0.2007323 0.03343609
Moved 183.7312 265.459 401 -0.218845 0.03343609
Moved 183.7467 255.717 401 -0.2413959 0.03343609
Moved 183.7612 240.6913 393.3838 -0.2761776 0.01384715
Moved 183.7769 222.9762 382.1392 -0.3171849 -0.01507425
Moved 183.791 202.0251 367.5188 -0.3656827 -0.05267799
Moved 183.8086 180.1006 348.0942 -0.4164339 -0.1026383
Moved 183.8242 163.3072 331.3073 -0.4553073 -0.1458147
Moved 183.8392 154.9299 320.3159 -0.4746992 -0.1740846
Moved 183.8546 146.0222 305.6356 -0.495319 -0.2118427
Moved 183.8694 142.6456 294.5825 -0.5031351 -0.2402715
Moved 183.8849 141.5 282.5 -0.505787 -0.2713478
Moved 183.9008 149.4914 266.6993 -0.4872884 -0.3119874
Moved 183.916 159.2278 254.1357 -0.4647505 -0.3443011
Moved 183.9306 171.2628 244.8248 -0.4368916 -0.368249
Moved 183.9468 182.1912 239.7235 -0.4115944 -0.3813697
Moved 183.9618 210.1757 239 -0.3468156 -0.3832304
Moved 183.9772 250.5 249.5 -0.2534722 -0.3562243
Moved 183.9928 293.9238 263.1069 -0.1529543 -0.3212273
Moved 184.0086 322.7229 275.5753 -0.0862896 -0.2891581
Moved 184.0241 339.762 285.392 -0.04684721 -0.2639096
Moved 184.0391 360.8849 298.553 0.002048314 -0.2300591
Moved 184.0547 384.3041 315.1559 0.05625953 -0.1873563
Moved 184.0699 397.3959 327.6765 0.08656462 -0.1551532
Moved 184.0853 424.9076 355.0471 0.1502491 -0.08475543
Moved 184.101 443.185 371.9401 0.192558 -0.04130642
Moved 184.1171 451.7919 383.4238 0.2124812 -0.01176999
Moved 184.131 458.0566 390.0566 0.2269829 0.005289674
Moved 184.1458 460.8236 392.8236 0.2333879 0.01240632
Moved 184.1618 461.7945 394.7945 0.2356353 0.01747551
Moved 184.1766 462.5 395.5 0.2372685 0.01929004
Moved 184.192 462 395 0.2361111 0.01800408
Stationary 184.2101 462 395 0.2361111 0.01800408
Moved 184.2238 452.7875 366.3391 0.2147859 -0.05571239
Moved 184.2395 428.6369 318.2738 0.1588817 -0.1793369
Moved 184.255 400.0819 257.6776 0.09278229 -0.3351915
Moved 184.2703 382.5252 224.4629 0.05214164 -0.4206202
Moved 184.2858 371.5 202 0.02662033 -0.4783951
Moved 184.3009 365.7971 189.8949 0.01341929 -0.5095297
Moved 184.3159 356.8499 169.6248 -0.007291883 -0.5616647
Moved 184.3314 348.5787 147.5432 -0.02643824 -0.6184587
Moved 184.3472 346.4417 139.325 -0.03138507 -0.6395963
Moved 184.3625 343.6848 131.0542 -0.03776679 -0.6608689
Moved 184.3785 342.5 127.5 -0.04050925 -0.6700103
Moved 184.393 340.0883 127.0883 -0.04609192 -0.6710693
Moved 184.4088 338.0961 127 -0.05070354 -0.6712963
Moved 184.4242 334.0599 127 -0.06004651 -0.6712963
Moved 184.4397 325.177 147.335 -0.08060877 -0.6189944
Moved 184.4547 318.7068 168.0995 -0.09558613 -0.5655878
Moved 184.4701 317.5526 184.3683 -0.09825775 -0.5237442
Moved 184.4858 317 200.8378 -0.09953702 -0.4813843
Moved 184.5024 317 216.2784 -0.09953702 -0.4416707
Moved 184.518 317 227.5 -0.09953702 -0.4128087
Moved 184.5313 317 233.3125 -0.09953702 -0.3978589
Moved 184.5475 317 241.2909 -0.09953702 -0.3773383
Moved 184.5628 328.3515 249.5137 -0.07326046 -0.3561892
Moved 184.5777 329.2741 260.1853 -0.07112473 -0.3287415
Ended 184.6004 332 267 -0.06481484 -0.311214
Candidates 184.745 12 reading trading reasons heading washing taking freaking teaching reaching readings racing respond
