that is a very odd question
that is a very odd question
FixStart
0.6 0.6
432 388.8
Began 3206.577 379 281 0.04398147 -0.2752058
Stationary 3206.594 379 281 0.04398147 -0.2752058
Stationary 3206.608 379 281 0.04398147 -0.2752058
Stationary 3206.623 379 281 0.04398147 -0.2752058
Stationary 3206.638 379 281 0.04398147 -0.2752058
Stationary 3206.654 379 281 0.04398147 -0.2752058
Stationary 3206.67 379 281 0.04398147 -0.2752058
Moved 3206.686 379 295.9284 0.04398147 -0.2368097
Moved 3206.701 379 300.9395 0.04398147 -0.2239211
Moved 3206.717 379 313.2015 0.04398147 -0.1923831
Moved 3206.732 371.0077 326.2759 0.02548069 -0.1587555
Moved 3206.748 369.8423 337.2095 0.02278318 -0.1306339
Moved 3206.762 367.9938 348.0432 0.01850426 -0.1027696
Moved 3206.778 365.0961 361.0675 0.01179655 -0.0692709
Moved 3206.792 362.195 374.1226 0.005080998 -0.03569293
Moved 3206.809 360.9868 382.0927 0.002284149 -0.01519372
Moved 3206.825 358.0872 393.6511 -0.004427731 0.01453474
Moved 3206.84 356.1122 401.2148 -0.008999557 0.03398868
Moved 3206.855 354.6671 408.6642 -0.01234457 0.05314874
Moved 3206.87 353.2281 412.3157 -0.01567572 0.06254043
Moved 3206.886 353 415.4295 -0.01620372 0.07054902
Moved 3206.901 353 418.3096 -0.01620372 0.07795663
Moved 3206.917 352.1895 419.8105 -0.01807983 0.08181702
Moved 3206.932 352 421.1862 -0.01851852 0.08535545
Moved 3206.947 352 422.6291 -0.01851852 0.08906651
Moved 3206.963 352 424.0688 -0.01851852 0.09276955
Stationary 3206.979 352 424 -0.01851852 0.09259254
Stationary 3206.993 352 424 -0.01851852 0.09259254
Stationary 3207.008 352 424 -0.01851852 0.09259254
Moved 3207.024 369.4562 413.0245 0.02188931 0.06436332
Moved 3207.04 381.851 398.149 0.05058099 0.02610336
Moved 3207.055 398.9204 371.2093 0.09009361 -0.04318606
Moved 3207.071 407.0462 356.6351 0.1089033 -0.08067127
Moved 3207.086 417.1171 338.0682 0.1322156 -0.1284254
Moved 3207.102 423.6777 319.4379 0.1474022 -0.1763429
Moved 3207.117 429.697 304.2575 0.1613357 -0.2153871
Moved 3207.132 433.5 291 0.1701389 -0.2494857
Moved 3207.148 434.7234 282.4897 0.1729707 -0.2713743
Moved 3207.163 436.1596 275.3615 0.1762954 -0.289708
Moved 3207.178 436 271.1934 0.1759259 -0.3004284
Moved 3207.193 436 266.8702 0.1759259 -0.3115479
