players must know all the rules
players must know all the rules
Basic
0.6 0.6
432 388.8
Began 766.864 683 434 0.7476853 0.1183127
Stationary 766.8835 683 434 0.7476853 0.1183127
Stationary 766.8977 683 434 0.7476853 0.1183127
Stationary 766.9132 683 434 0.7476853 0.1183127
Stationary 766.9302 683 434 0.7476853 0.1183127
Stationary 766.9435 683 434 0.7476853 0.1183127
Stationary 766.9601 683 434 0.7476853 0.1183127
Stationary 766.9753 683 434 0.7476853 0.1183127
Stationary 766.9913 683 434 0.7476853 0.1183127
Moved 767.0065 672.5236 434 0.7234342 0.1183127
Moved 767.0218 672.5 434 0.7233797 0.1183127
Moved 767.0374 671.9125 434 0.7220196 0.1183127
Moved 767.0526 671.3566 427 0.7207329 0.1003086
Moved 767.0682 671 424.9169 0.7199074 0.09495076
Moved 767.0839 669.5 425 0.7164351 0.09516452
Moved 767.0983 669.3596 423.3596 0.7161101 0.09094533
Moved 767.1131 667.9197 420.8394 0.712777 0.08446328
Stationary 767.1298 667.9197 420.8394 0.712777 0.08446328
Moved 767.1446 667.0394 420 0.7107394 0.08230445
Moved 767.16 666.5995 419 0.7097211 0.07973251
Moved 767.1749 666 418.159 0.7083334 0.07756935
Moved 767.1914 666 417.5 0.7083334 0.0758744
Moved 767.2065 664.8434 418 0.705656 0.07716041
Stationary 767.2219 664.8434 418 0.705656 0.07716041
Moved 767.2372 662.7373 416.7373 0.7007807 0.0739127
Moved 767.2531 661.3083 417 0.6974729 0.0745884
Stationary 767.2678 661 417 0.6967592 0.0745884
Moved 767.2853 659.4297 417 0.6931242 0.0745884
Moved 767.2996 657.991 417 0.6897939 0.0745884
Moved 767.3147 656.8856 417 0.6872352 0.0745884
Moved 767.3304 654.3661 417 0.6814031 0.0745884
Moved 767.3456 651.8524 424.5167 0.6755842 0.09392153
Moved 767.3609 649 427 0.6689815 0.1003086
Moved 767.3765 645.1893 432.7476 0.6601604 0.1150915
Moved 767.3921 642.2228 438.5543 0.6532937 0.1300264
Moved 767.4068 637.3815 446.237 0.6420869 0.1497864
Moved 767.4227 634.1878 450.7496 0.634694 0.161393
Moved 767.4384 629.93 459.14 0.6248379 0.1829732
Moved 767.4544 626.6357 464.1524 0.6172122 0.1958652
Moved 767.4684 621.0876 471.1405 0.6043695 0.2138387
Moved 767.4842 614.3732 479.9402 0.5888269 0.2364716
Moved 767.5001 608.6259 487.4677 0.5755228 0.2558326
Moved 767.5146 603.39 493.1467 0.5634027 0.2704391
Moved 767.5304 599.8768 497.1232 0.5552704 0.2806665
Moved 767.545 594.8412 501.119 0.543614 0.2909439
Moved 767.5603 587.6652 503.9339 0.5270028 0.2981838
Moved 767.5771 580.4979 505.9004 0.5104119 0.3032416
Moved 767.5923 571.9163 506 0.4905469 0.3034978
Moved 767.6067 565.8906 506 0.4765986 0.3034978
Moved 767.6224 561.3395 506 0.4660637 0.3034978
Moved 767.6411 554.3238 506 0.4498236 0.3034978
Moved 767.6553 549.8961 506 0.4395742 0.3034978
Moved 767.6773 544.1417 506 0.4262539 0.3034978
Stationary 767.6875 544.1417 506 0.4262539 0.3034978
Moved 767.6992 541.3168 506 0.4197148 0.3034978
Moved 767.7146 539.2385 498.2385 0.4149039 0.2835353
Moved 767.7303 536.6322 498 0.4088709 0.2829217
Moved 767.7458 534 496.5 0.4027778 0.2790637
Moved 767.7615 531.6367 494.6367 0.3973071 0.2742712
Moved 767.777 529.8916 492.8916 0.3932676 0.2697829
Moved 767.7916 527.4525 490.4525 0.3876214 0.2635094
Moved 767.808 526.0182 489.0182 0.3843013 0.2598203
Moved 767.8234 524.5809 486.1617 0.3809742 0.2524735
Moved 767.8389 522.1437 482.431 0.3753327 0.2428781
Moved 767.8549 520.7092 475.546 0.372012 0.2251698
Moved 767.8693 521 467.7234 0.3726852 0.2050498
Moved 767.8853 519.1401 456.1205 0.3683798 0.175207
Moved 767.9007 519 444.6537 0.3680556 0.1457143
Moved 767.9166 518.2708 437.3538 0.3663675 0.1269388
Moved 767.9318 518 431.3316 0.3657407 0.1114495
Moved 767.9464 518 423.1852 0.3657407 0.09049693
Moved 767.9622 518 417.8301 0.3657407 0.07672349
Moved 767.9788 518 415.7758 0.3657407 0.07143986
Moved 767.9925 518 411.8069 0.3657407 0.06123158
Moved 768.0082 518 408.9543 0.3657407 0.05389488
Moved 768.0237 518 406.0699 0.3657407 0.04647596
Moved 768.0392 518 404.0984 0.3657407 0.0414054
Moved 768.0542 518 401.3166 0.3657407 0.03425045
Moved 768.0693 518 399.2319 0.3657407 0.02888868
Moved 768.0862 518 397.3015 0.3657407 0.02392337
Moved 768.1013 518 394.5645 0.3657407 0.016884
Moved 768.1169 518 391.6152 0.3657407 0.009298285
Moved 768.1312 518 388.734 0.3657407 0.001887804
Moved 768.1478 518 386.4299 0.3657407 -0.004038438
Moved 768.1623 516.9919 384.9919 0.3634072 -0.00773681
Moved 768.1793 515.5529 382.1058 0.3600761 -0.01516012
Moved 768.194 513.6606 380.6606 0.3556958 -0.01887718
Moved 768.2089 510.993 378.9965 0.3495209 -0.02315717
Moved 768.227 503.7873 377.5574 0.3328409 -0.02685845
Moved 768.2394 483.8231 376 0.2866274 -0.03086435
Moved 768.2555 450.1896 376 0.2087723 -0.03086435
Moved 768.2715 401.0979 388.5804 0.09513398 0.001492834
Moved 768.287 363.8675 397.2318 0.008952619 0.02374433
Moved 768.3024 339 403.5 -0.04861111 0.03986618
