a subject one can really enjoy
a subject one can really enjoy
FixStart
0.6 0.6
432 388.8
Began 571.856 462 449 0.2361111 0.156893
Stationary 571.8725 462 449 0.2361111 0.156893
Stationary 571.8875 462 449 0.2361111 0.156893
Stationary 571.9031 462 449 0.2361111 0.156893
Moved 571.9172 449.7721 449 0.2078058 0.156893
Moved 571.9333 442.1274 449 0.1901097 0.156893
Moved 571.949 430.4872 449 0.1631647 0.156893
Moved 571.9649 417.7367 449 0.1336498 0.156893
Moved 571.9803 408.8584 440.3343 0.1130981 0.1346046
Moved 571.9954 394.8582 441 0.08069029 0.1363167
Moved 572.01 383.3488 441 0.0540481 0.1363167
Moved 572.0262 368.913 441 0.02063205 0.1363167
Moved 572.0419 354.1784 439.9178 -0.01347586 0.1335334
Moved 572.0568 341.5 440 -0.04282405 0.1337448
Moved 572.072 330.254 438.0363 -0.06885643 0.1286941
Moved 572.0872 322.6097 438 -0.08655165 0.1286007
Moved 572.1022 308 436.5 -0.1203704 0.1247428
Moved 572.1181 298.3006 436.0501 -0.1428227 0.1235856
Moved 572.1334 288.2573 436 -0.1660712 0.1234567
Moved 572.1508 279.8427 436 -0.1855494 0.1234567
Moved 572.1651 273.9221 434.7305 -0.1992543 0.1201916
Moved 572.1801 268.1707 435 -0.2125679 0.1208847
Moved 572.1955 264.4557 434.1519 -0.2211673 0.1187034
Moved 572.2109 260.3017 434 -0.230783 0.1183127
Moved 572.2265 258.6508 434 -0.2346045 0.1183127
Moved 572.242 256.8824 434 -0.238698 0.1183127
Moved 572.2567 255.5 434 -0.2418981 0.1183127
Moved 572.2714 255 434 -0.2430556 0.1183127
Moved 572.2881 253.5624 434 -0.2463834 0.1183127
Moved 572.3032 253.3304 434 -0.2469204 0.1183127
Ended 572.3183 253 434 -0.2476852 0.1183127
Candidates 572.501 12 a as gas ass faa aa da fda ga aaa sa has
Began 572.9315 402 419 0.09722222 0.07973251
Stationary 572.9523 402 419 0.09722222 0.07973251
Stationary 572.9661 402 419 0.09722222 0.07973251
Stationary 572.9812 402 419 0.09722222 0.07973251
Moved 572.997 402 432.6036 0.09722222 0.1147212
Moved 573.0125 402 442.748 0.09722222 0.1408128
Moved 573.0277 402 456.8972 0.09722222 0.1772046
Moved 573.0435 402 471.4642 0.09722222 0.2146711
Moved 573.0587 402 488.0057 0.09722222 0.2572162
Moved 573.0743 402 504.1769 0.09722222 0.2988088
Moved 573.0894 402 517.6201 0.09722222 0.3333848
Moved 573.1054 402 527.7754 0.09722222 0.3595045
Moved 573.1203 402 539.0404 0.09722222 0.3884783
Moved 573.1356 402 545.1187 0.09722222 0.4041118
Moved 573.1518 402 551.5 0.09722222 0.4205247
Moved 573.1659 402 554.3623 0.09722222 0.4278865
Moved 573.1813 402 557.4651 0.09722222 0.435867
Moved 573.199 402 559.6748 0.09722222 0.4415503
Ended 573.212 402 561.1113 0.09722222 0.4452451
Accept 573.2703 0 a
Began 573.7502 481 468 0.2800926 0.2057612
Stationary 573.7672 481 468 0.2800926 0.2057612
Stationary 573.783 481 468 0.2800926 0.2057612
Stationary 573.7974 481 468 0.2800926 0.2057612
Stationary 573.813 481 468 0.2800926 0.2057612
Moved 573.8365 462.3779 468 0.2369859 0.2057612
Stationary 573.8469 462.3779 468 0.2369859 0.2057612
Moved 573.859 455.5 468 0.2210648 0.2057612
Moved 573.8747 448.39 468 0.2046066 0.2057612
Moved 573.8909 440.5453 468 0.1864475 0.2057612
Moved 573.907 432.3262 468 0.1674218 0.2057612
Moved 573.9222 425.1255 468 0.1507536 0.2057612
Moved 573.9373 415.1048 468 0.1275573 0.2057612
Moved 573.9522 411.5842 468 0.119408 0.2057612
Moved 573.9672 405.868 468 0.1061758 0.2057612
Moved 573.9834 401.8929 468 0.09697427 0.2057612
Moved 573.9996 396.72 468 0.08499999 0.2057612
Moved 574.0144 392.2422 468 0.07463466 0.2057612
Moved 574.0285 388.603 468 0.06621053 0.2057612
Moved 574.0452 384.5883 468 0.05691727 0.2057612
Moved 574.061 380.8513 468 0.04826695 0.2057612
Moved 574.0754 376.9292 468 0.03918797 0.2057612
Moved 574.0914 374.7639 468 0.03417581 0.2057612
Moved 574.1064 371.2105 468 0.02595027 0.2057612
Moved 574.1226 367.9424 468 0.01838525 0.2057612
Moved 574.1374 366.5281 468 0.01511147 0.2057612
Moved 574.1525 365.0932 468 0.0117898 0.2057612
Moved 574.1678 363.6471 468 0.008442302 0.2057612
Stationary 574.1826 363.6471 468 0.008442302 0.2057612
Stationary 574.1998 364 468 0.009259283 0.2057612
Moved 574.2149 362.8585 468 0.00661691 0.2057612
Stationary 574.2292 362.8585 468 0.00661691 0.2057612
Moved 574.2449 363 476.2079 0.006944438 0.2268721
Moved 574.2604 363 478.3095 0.006944438 0.2322775
Moved 574.2768 372.8226 482.2742 0.02968192 0.2424746
Moved 574.292 381 486.5 0.04861106 0.2533436
Moved 574.3072 390.4078 491.5599 0.07038851 0.2663578
Moved 574.3227 403.4624 497.185 0.1006075 0.2808255
Moved 574.338 417.8912 502.9565 0.1340075 0.2956698
Moved 574.3539 431.2844 507.7615 0.1650101 0.3080283
Moved 574.3681 442.9069 513.4534 0.1919141 0.3226683
Moved 574.3837 456.4267 520.0167 0.2232099 0.3395489
Moved 574.3994 467.8855 525.9427 0.2497349 0.354791
Moved 574.4153 478 529.5 0.2731481 0.3639403
Moved 574.4294 489.1328 535.9626 0.2989184 0.3805623
Moved 574.4475 499.5945 540.6833 0.3231356 0.3927041
Moved 574.4615 509.0661 545.033 0.3450604 0.4038914
Moved 574.4766 518.668 550.3817 0.3672871 0.4176483
Moved 574.4919 527.2927 556.1951 0.3872517 0.4326006
Moved 574.5071 534.9594 558.9919 0.4049985 0.4397938
Moved 574.5223 540.6906 563.2679 0.4182652 0.4507919
Moved 574.5376 544.5203 564.7601 0.4271304 0.4546299
Moved 574.5546 548.9041 566.9521 0.4372781 0.4602676
Moved 574.569 553.1723 568.3907 0.4471581 0.4639678
Moved 574.5845 555.6649 570.6649 0.452928 0.469817
Moved 574.6064 561.4238 572.7119 0.4662588 0.475082
Stationary 574.6177 561.4238 572.7119 0.4662588 0.475082
Moved 574.6293 563.1483 574.1483 0.4702505 0.4787762
Moved 574.6456 564.2192 574 0.4727296 0.478395
Moved 574.6638 565.5 575.5 0.4756944 0.482253
Moved 574.6765 566.0799 576.0799 0.4770368 0.4837445
Stationary 574.6919 566.0799 576.0799 0.4770368 0.4837445
Moved 574.7072 566 577 0.4768519 0.4861111
Stationary 574.7234 566 577 0.4768519 0.4861111
Stationary 574.7385 566 577 0.4768519 0.4861111
Moved 574.7536 566 578.0112 0.4768519 0.4887119
Stationary 574.7704 566 578 0.4768519 0.488683
Stationary 574.7855 566 578 0.4768519 0.488683
Moved 574.8004 555.1243 578 0.4516765 0.488683
Moved 574.8159 552.6053 578 0.4458455 0.488683
Moved 574.8322 548.2787 578 0.4358302 0.488683
Moved 574.847 541.6213 566.9456 0.4204198 0.4602509
Moved 574.8611 536.7128 561.7128 0.4090574 0.4467922
Moved 574.8764 528.8784 551.5045 0.3909221 0.420536
Moved 574.8922 521.2471 536.4943 0.3732572 0.3819296
Moved 574.9072 515.7921 523.4454 0.3606297 0.3483678
Moved 574.9227 509.4565 509.8839 0.345964 0.3134874
Moved 574.9385 506.1072 498.4287 0.338211 0.2840244
Moved 574.9543 501.833 484.1099 0.3283171 0.2471962
Moved 574.9703 500.3714 474.5995 0.3249337 0.2227353
Moved 574.9854 499.0613 463.5516 0.3219011 0.19432
Moved 575.0009 496.2469 456.1173 0.3153864 0.1751988
Moved 575.0153 495.1852 447.926 0.3129287 0.1541304
Moved 575.0314 493.746 440.7298 0.3095972 0.1356218
Moved 575.0485 493 434.2209 0.3078704 0.1188808
Moved 575.0626 491.8688 425.0818 0.305252 0.09537492
Moved 575.0775 492 420 0.3055556 0.08230445
Moved 575.0939 490.3395 414.358 0.3017119 0.06779321
Moved 575.1091 490 408.5486 0.300926 0.05285121
Moved 575.1241 489 404.3528 0.2986111 0.04205959
Moved 575.139 488.0109 400.0328 0.2963216 0.03094838
Moved 575.1543 488 395.7163 0.2962963 0.01984643
Moved 575.1703 487 392.2668 0.2939814 0.01097436
Moved 575.1858 487 390.6946 0.2939814 0.006930426
Moved 575.2024 486.5629 387.6887 0.2929696 -0.0008006547
Moved 575.2196 486 384.2709 0.2916667 -0.009591255
Moved 575.2317 486 381.3801 0.2916667 -0.0170265
Moved 575.2479 486 378.4833 0.2916667 -0.02447717
Moved 575.2632 486 375.6328 0.2916667 -0.03180869
Moved 575.2782 486 373.7455 0.2916667 -0.03666293
Moved 575.2939 486 371.9339 0.2916667 -0.04132235
Moved 575.3093 486 370.8715 0.2916667 -0.04405488
Moved 575.3245 486 369.5 0.2916667 -0.04758238
Moved 575.3398 486 368.9741 0.2916667 -0.0489351
Moved 575.355 486 367.5095 0.2916667 -0.05270185
Stationary 575.3699 486 367.5095 0.2916667 -0.05270185
Moved 575.3854 486 366.6271 0.2916667 -0.05497143
Stationary 575.4012 486 366.6271 0.2916667 -0.05497143
Moved 575.4159 486 365.7505 0.2916667 -0.05722603
Stationary 575.4317 486 365.7505 0.2916667 -0.05722603
Stationary 575.4463 486 365.7505 0.2916667 -0.05722603
Stationary 575.4614 486 366 0.2916667 -0.05658444
Stationary 575.4771 486 366 0.2916667 -0.05658444
Moved 575.4927 496.8025 387.8024 0.3166724 -0.0005081946
Moved 575.509 502 399 0.3287037 0.02829214
Moved 575.524 508.6117 415.2234 0.3440085 0.07001892
Moved 575.54 516.4306 433.0048 0.3621078 0.1157529
Moved 575.5568 520.5 441 0.3715278 0.1363167
Moved 575.5709 526.7634 452.5859 0.3860263 0.1661159
Moved 575.5861 532.5175 464.035 0.3993462 0.1955631
Moved 575.6017 537.4872 472.1453 0.4108499 0.216423
Moved 575.6176 543.2407 482.1712 0.4241683 0.2422098
Moved 575.6326 545 487.5 0.4282407 0.2559156
Moved 575.6482 547.681 491.5215 0.4344468 0.266259
Moved 575.6633 550.5378 497.0756 0.4410598 0.2805442
Moved 575.6791 552.7193 500.4385 0.4461095 0.2891937
Moved 575.6949 554.1506 502.1506 0.4494228 0.2935973
Moved 575.7095 555.5926 505.1851 0.4527607 0.3014019
Moved 575.731 557.029 507.029 0.4560856 0.3061445
Moved 575.7424 557 508.4804 0.4560185 0.3098775
Moved 575.7567 557.6135 508.6135 0.4574385 0.3102198
Moved 575.7715 558 510.058 0.4583333 0.3139351
Stationary 575.7883 558 510 0.4583333 0.3137859
Moved 575.8031 558.9373 511 0.460503 0.3163579
Moved 575.8167 559 512.3726 0.4606481 0.3198884
Stationary 575.8323 559 512.3726 0.4606481 0.3198884
Moved 575.85 559 514.2484 0.4606481 0.3247128
Stationary 575.864 559 514 0.4606481 0.324074
Moved 575.8795 559 515.5 0.4606481 0.327932
Moved 575.8948 559 516.119 0.4606481 0.3295241
Moved 575.9103 553.5862 517.6767 0.4481163 0.3335305
Moved 575.9251 547.6575 520.2283 0.4343923 0.3400934
Moved 575.9412 540.2036 524.6778 0.417138 0.3515375
Moved 575.9572 531.9971 531.0024 0.3981414 0.3678045
Moved 575.9722 525.6852 533.1049 0.3835306 0.3732122
Moved 575.9882 511 539 0.349537 0.3883744
Moved 576.0046 501.3847 544.8076 0.3272794 0.4033117
Moved 576.018 491.2639 550.5635 0.3038516 0.418116
Moved 576.0338 479.3973 556.3013 0.2763828 0.4328737
Moved 576.0493 467.8121 562.0939 0.2495649 0.4477724
Moved 576.0633 455.647 567.8235 0.2214051 0.4625091
Moved 576.0793 446.9476 572.4586 0.2012675 0.4744304
Moved 576.0956 437.1816 578.0391 0.1786612 0.4887835
Moved 576.1113 428.7848 581.4051 0.1592241 0.497441
Moved 576.1257 420.1811 585.4095 0.1393081 0.5077403
Moved 576.1411 411.5041 589.1653 0.1192224 0.5174003
Moved 576.1566 400.7908 593.0784 0.09442319 0.527465
Moved 576.1764 393.7582 594.4484 0.07814397 0.5309885
Moved 576.1895 388.0093 596.6636 0.06483644 0.5366861
Moved 576.2034 383.0439 597.989 0.05334228 0.5400951
Moved 576.2178 378.725 599.425 0.04334489 0.5437884
Moved 576.2334 376.1338 600.8662 0.03734678 0.5474953
Moved 576.2482 373.3818 601 0.03097643 0.5478393
Moved 576.264 372.253 602 0.02836347 0.5504114
Moved 576.2792 369.6286 603.1857 0.02228846 0.553461
Stationary 576.298 369.6286 603.1857 0.02228846 0.553461
Moved 576.3108 368.2388 603.7612 0.0190713 0.5549412
Stationary 576.3263 368 604 0.01851857 0.5555555
Moved 576.3422 366.5 604 0.0150463 0.5555555
Moved 576.3572 367 605.0402 0.01620372 0.5582308
