experience is hard to come by
experience is hard to come by
FixStart
0.6 0.6
432 388.8
Began 585.687 444 293 0.1944444 -0.2443416
Stationary 585.7056 444 293 0.1944444 -0.2443416
Stationary 585.7192 444 293 0.1944444 -0.2443416
Stationary 585.7342 444 293 0.1944444 -0.2443416
Stationary 585.752 444 293 0.1944444 -0.2443416
Stationary 585.7659 444 293 0.1944444 -0.2443416
Stationary 585.7816 444 293 0.1944444 -0.2443416
Moved 585.7993 428.1567 303.5622 0.1577701 -0.2171755
Moved 585.813 417.573 310.9417 0.1332707 -0.1981954
Moved 585.8281 403.0984 321.3311 0.09976476 -0.1714735
Moved 585.8434 388.9529 334.4162 0.06702065 -0.1378185
Moved 585.8589 372.9912 350.0088 0.03007214 -0.09771409
Moved 585.8742 365 358 0.01157403 -0.07716057
Moved 585.8898 353.3206 372.5191 -0.01546159 -0.03981712
Moved 585.9056 346.015 382.7789 -0.03237257 -0.01342875
Moved 585.922 341.3002 390.7197 -0.04328663 0.006995102
Moved 585.9363 335.2635 398.5609 -0.05726044 0.02716264
Moved 585.952 330.9003 405.8328 -0.0673604 0.04586624
Moved 585.9748 326.4105 412.3843 -0.07775355 0.06271664
Moved 585.9962 321.3224 423.0328 -0.0895315 0.09010495
Moved 586.0086 319.889 426.222 -0.09284957 0.09830761
Moved 586.0207 318.8196 429.5413 -0.09532507 0.1068447
Stationary 586.031 318.8196 429.5413 -0.09532507 0.1068447
Moved 586.0438 317.3252 432.3497 -0.09878432 0.114068
Moved 586.0594 317 435.2352 -0.09953702 0.1214896
Stationary 586.0743 317 435.2352 -0.09953702 0.1214896
Moved 586.09 315.9995 437.0005 -0.1018529 0.12603
Moved 586.1052 316 438.4434 -0.1018519 0.1297411
Moved 586.1202 316 438.8862 -0.1018519 0.1308801
Moved 586.1366 316 439.5 -0.1018519 0.1324588
Moved 586.1526 316 439 -0.1018519 0.1311728
Stationary 586.1667 316 439 -0.1018519 0.1311728
Moved 586.1815 316 419.5482 -0.1018519 0.08114229
Moved 586.2047 337.2599 374.5804 -0.05263919 -0.03451555
Stationary 586.215 337.2599 374.5804 -0.05263919 -0.03451555
Moved 586.228 343.1328 353.975 -0.03904442 -0.08751292
Moved 586.2457 349.0829 336.568 -0.02527118 -0.132284
Moved 586.2599 357.2616 313.4254 -0.006338805 -0.1918072
Moved 586.2766 360.9421 300.5264 0.002180735 -0.2249837
Moved 586.2907 365.2495 288.3347 0.0121516 -0.256341
Moved 586.3059 369.5 274 0.02199074 -0.2932099
Moved 586.321 372.9211 262.2762 0.02990991 -0.3233637
Moved 586.337 377.2585 247.8049 0.03995031 -0.360584
Moved 586.3522 380.912 240.9014 0.04840742 -0.3783401
Moved 586.3672 384.8563 231.3354 0.05753766 -0.4029438
Moved 586.3831 389.1845 222.6311 0.06755669 -0.4253316
