a very traditional way to dress
a very traditional way to dress
Basic
0.6 0.6
432 388.8
Began 245.8626 199 347 -0.3726852 -0.1054527
Stationary 245.8842 199 347 -0.3726852 -0.1054527
Stationary 245.9019 199 347 -0.3726852 -0.1054527
Stationary 245.9149 199 347 -0.3726852 -0.1054527
Stationary 245.9282 199 347 -0.3726852 -0.1054527
Stationary 245.9436 199 347 -0.3726852 -0.1054527
Stationary 245.9587 199 347 -0.3726852 -0.1054527
Ended 245.9747 199 347 -0.3726852 -0.1054527
Candidates 246.0351 5 a s d z x
Began 246.5869 436 283 0.1759259 -0.2700618
Stationary 246.6074 436 283 0.1759259 -0.2700618
Moved 246.6245 436 304.5844 0.1759259 -0.2145465
Moved 246.6379 448.0456 335.7048 0.2038091 -0.1345041
Moved 246.6525 461.4255 402.1999 0.2347813 0.03652227
Ended 246.6686 470 442.5 0.2546296 0.1401748
Accept 246.7268 0 a
Began 247.9318 383 205 0.05324075 -0.470679
Stationary 247.9487 383 205 0.05324075 -0.470679
Stationary 247.9616 383 205 0.05324075 -0.470679
Stationary 247.977 383 205 0.05324075 -0.470679
Stationary 247.9923 383 205 0.05324075 -0.470679
Stationary 248.0086 383 205 0.05324075 -0.470679
Moved 248.0231 383 220.2927 0.05324075 -0.4313459
Moved 248.0393 383 230 0.05324075 -0.4063786
Moved 248.0545 366.5424 251.7344 0.01514445 -0.3504774
Moved 248.0705 357.8882 271.9275 -0.004888326 -0.2985405
Moved 248.0857 350.0314 288.7308 -0.02307539 -0.2553219
Moved 248.1005 342.861 304.5058 -0.03967365 -0.2147485
Moved 248.1165 335.6213 322.1088 -0.05643209 -0.1694734
Moved 248.1322 328.3471 337.3058 -0.0732706 -0.1303864
Moved 248.1475 321.5 352.5 -0.08912037 -0.09130666
Moved 248.1621 312.2705 369.459 -0.110485 -0.04768772
Moved 248.1775 301.3714 387.9877 -0.1357143 -3.159291E-05
Moved 248.1955 294.5 402 -0.1516204 0.03600815
Moved 248.2082 285.1821 415.7086 -0.1731895 0.07126675
Moved 248.2237 278.0482 428.5132 -0.1897033 0.1042007
Moved 248.24 271.6422 439.7156 -0.204532 0.1330134
Moved 248.2542 265.9214 451.1573 -0.2177747 0.1624415
Moved 248.2695 263.0944 456.8113 -0.2243186 0.1769837
Moved 248.2875 259.4857 467.1904 -0.2326719 0.203679
Moved 248.3011 257.7231 475.6614 -0.2367521 0.2254666
Moved 248.3157 254.5647 484.306 -0.2440632 0.2477004
Moved 248.3316 252.8328 491.836 -0.2480722 0.2670678
Moved 248.3472 250.7967 498.0082 -0.2527853 0.2829428
Moved 248.3606 248.9596 504.1615 -0.2570379 0.2987692
Moved 248.3783 247.9116 507.2652 -0.2594639 0.306752
Moved 248.3951 245.4309 513.2762 -0.2652062 0.3222125
Moved 248.4144 242.5509 522.3474 -0.2718729 0.3455435
Stationary 248.4257 242.5509 522.3474 -0.2718729 0.3455435
Moved 248.4393 241 526.7681 -0.275463 0.3569137
Moved 248.4552 239.6813 529.6375 -0.2785156 0.3642938
Moved 248.4702 240 533.2644 -0.2777777 0.3736223
Moved 248.4859 240 534.9172 -0.2777777 0.3778734
Moved 248.5016 240 537.6849 -0.2777777 0.3849918
Moved 248.5171 240 542.3433 -0.2777777 0.3969735
Moved 248.5324 249.843 546.6911 -0.254993 0.408156
Moved 248.5479 252.6498 549.9873 -0.248496 0.4166339
Moved 248.5634 258.426 553.213 -0.235125 0.4249305
Moved 248.579 267.9156 555.0923 -0.2131584 0.4297642
Moved 248.5933 280.8761 556.7397 -0.1831571 0.4340011
Moved 248.6098 304.1406 557 -0.1293041 0.4346707
Moved 248.6251 331.4456 557 -0.06609817 0.4346707
Moved 248.6414 353.221 545.1948 -0.01569211 0.4043075
Moved 248.6549 374.833 540.8334 0.03433575 0.3930898
Moved 248.6705 388.3145 537.3371 0.06554276 0.3840975
Moved 248.6855 398.9103 534.4542 0.09007007 0.3766826
Moved 248.7007 407.5 533.5 0.1099537 0.3742283
Moved 248.7162 412.0855 532.2286 0.1205683 0.3709583
Moved 248.7322 416.6448 530.7851 0.1311222 0.3672455
Moved 248.7473 418.651 530.3489 0.1357663 0.3661237
Moved 248.7627 420.0914 530 0.1391005 0.3652262
Ended 248.7788 423 530 0.1458333 0.3652262
Candidates 248.8919 12 very betty bet better veto cry neo newt net beer ceo battery
Began 249.3139 431 303 0.1643519 -0.2186215
Stationary 249.3333 431 303 0.1643519 -0.2186215
Moved 249.3477 431 315.7676 0.1643519 -0.185783
Moved 249.3636 442.352 374.056 0.1906296 -0.03586427
Moved 249.3793 455.8288 444.7156 0.2218259 0.1458733
Ended 249.3956 466 481 0.2453704 0.2391974
Accept 249.4543 0 very
Began 250.3931 447 472 0.2013889 0.2160493
Stationary 250.4113 447 472 0.2013889 0.2160493
Stationary 250.4252 447 472 0.2013889 0.2160493
Stationary 250.4443 447 472 0.2013889 0.2160493
Stationary 250.4589 447 472 0.2013889 0.2160493
Stationary 250.4717 447 472 0.2013889 0.2160493
Stationary 250.4874 447 472 0.2013889 0.2160493
Stationary 250.5025 447 472 0.2013889 0.2160493
Stationary 250.5171 447 472 0.2013889 0.2160493
Stationary 250.5336 447 472 0.2013889 0.2160493
Moved 250.5645 435.2296 472 0.1741427 0.2160493
Moved 250.5803 433.7945 472 0.1708207 0.2160493
Moved 250.5968 431.3519 472 0.1651665 0.2160493
Moved 250.6112 429.9166 472 0.161844 0.2160493
Moved 250.6268 428.869 472 0.1594189 0.2160493
Moved 250.6416 425.773 472 0.1522523 0.2160493
