the collapse of the Roman empire
Direct
0.6 0.6
432 388.8
Began 1077.118 327 509 -0.07638887 0.3112139
Stationary 1077.149 327 509 -0.07638887 0.3112139
Moved 1077.18 327 494.0345 -0.07638887 0.2727224
Moved 1077.21 343.4634 474.2928 -0.03827919 0.2219464
Moved 1077.241 374.9624 415.0752 0.03463516 0.06963777
Moved 1077.272 390.3288 389.1746 0.07020562 0.003020989
Moved 1077.303 399.1311 373.1149 0.09058117 -0.03828488
Moved 1077.333 400.9325 366.2026 0.09475111 -0.05606325
Moved 1077.364 401 364.9122 0.09490739 -0.0593822
Stationary 1077.395 401 365 0.09490739 -0.05915646
Moved 1077.426 352.5648 404.4352 -0.01721114 0.04227151
Moved 1077.456 308.2063 441.3453 -0.1198928 0.1372049
Moved 1077.487 282.1888 460.59 -0.1801184 0.1867025
Moved 1077.518 262.3779 472.311 -0.225977 0.2168493
Ended 1077.549 252.3974 478.6027 -0.2490802 0.2330315
Began 1078.778 295 248 -0.150463 -0.3600824
Stationary 1078.809 295 248 -0.150463 -0.3600824
Stationary 1078.84 295 248 -0.150463 -0.3600824
Stationary 1078.871 295 248 -0.150463 -0.3600824
Moved 1078.901 305.5 270.5 -0.1261574 -0.302212
Moved 1078.932 356.1818 335.8873 -0.008838376 -0.1340349
Moved 1078.963 396.1233 388.6747 0.08361876 0.001735373
Moved 1078.994 426.9032 441.7312 0.1548686 0.1381974
Moved 1079.024 442 472 0.1898148 0.2160493
Moved 1079.055 445.8812 482.5248 0.1987991 0.2431192
Moved 1079.086 448.4369 489.3106 0.2047149 0.2605725
Moved 1079.117 449 489 0.2060185 0.2597736
Moved 1079.147 454.7476 473.8883 0.2193231 0.2209061
Moved 1079.178 460.3068 449.7729 0.2321917 0.1588808
Moved 1079.209 467.654 413.7301 0.2491991 0.06617813
Moved 1079.24 476.6023 385.0605 0.2699127 -0.0075604
Moved 1079.27 482.853 368.4409 0.284382 -0.05030651
Moved 1079.301 485.6917 362.9249 0.290953 -0.06449358
Moved 1079.332 487.2491 359.751 0.294558 -0.07265703
Moved 1079.363 487 357.1895 0.2939814 -0.07924515
Moved 1079.393 487 357 0.2939814 -0.07973259
Stationary 1079.424 487 357 0.2939814 -0.07973259
Moved 1079.455 464.5725 365.1102 0.2420661 -0.05887286
Moved 1079.485 434.8174 374.8254 0.1731884 -0.03388526
Moved 1079.516 399.1079 385.0379 0.09052764 -0.007618562
Moved 1079.547 355.6107 391.5523 -0.01016051 0.009136513
Moved 1079.578 313.0321 393 -0.1087219 0.01285996
Moved 1079.608 275.5886 394 -0.1953968 0.01543206
Moved 1079.639 245.6464 394 -0.2647074 0.01543206
Moved 1079.67 217.6053 394 -0.3296173 0.01543206
Moved 1079.701 208.9327 394 -0.3496929 0.01543206
Moved 1079.731 197.7267 394 -0.3756326 0.01543206
Moved 1079.762 186.5727 394 -0.4014522 0.01543206
Moved 1079.793 178.7067 394 -0.4196604 0.01543206
Moved 1079.824 171.84 394 -0.4355556 0.01543206
Moved 1079.854 168.2839 394 -0.4437872 0.01543206
Moved 1079.885 167.5 394 -0.4456018 0.01543206
Moved 1079.916 165.7522 394 -0.4496478 0.01543206
Stationary 1079.947 166 394 -0.4490741 0.01543206
Stationary 1079.977 166 394 -0.4490741 0.01543206
Moved 1080.008 198.792 400.5352 -0.3731667 0.03224055
Moved 1080.039 269.0603 408.3384 -0.2105086 0.0523106
Moved 1080.07 318.8936 411 -0.09515376 0.05915629
Moved 1080.1 371.9831 415.8305 0.02773861 0.07158044
Moved 1080.131 443.3459 442.7954 0.1929304 0.1409346
Moved 1080.162 467.3821 456.2548 0.2485697 0.1755523
Moved 1080.193 495.0727 470.4701 0.3126683 0.2121143
Moved 1080.223 502.8295 474.4147 0.3306239 0.2222601
Moved 1080.254 514.0515 482.3677 0.3566006 0.2427151
Moved 1080.285 519.8826 484.9413 0.3700985 0.2493345
Moved 1080.316 522.4994 486 0.376156 0.2520575
Stationary 1080.346 522 486 0.375 0.2520575
Moved 1080.377 495.4538 468.0336 0.3135505 0.2058478
Moved 1080.408 430.1821 430.5911 0.1624586 0.1095448
Moved 1080.438 368.7404 399.1792 0.0202324 0.028753
Moved 1080.469 313.6985 375.7077 -0.1071793 -0.03161599
Moved 1080.5 268.0626 361.1985 -0.2128181 -0.06893385
