he is just like everyone else
Direct
0.6 0.6
432 388.8
Began 234.2176 393 374 0.07638891 -0.03600823
Stationary 234.2484 393 374 0.07638891 -0.03600823
Stationary 234.2791 393 374 0.07638891 -0.03600823
Moved 234.3098 362 412 0.004629592 0.06172835
Moved 234.3405 322.0002 463.8458 -0.0879624 0.1950766
Moved 234.3713 301.3207 492.019 -0.1358318 0.2675384
Moved 234.402 295 500.5 -0.150463 0.2893518
Moved 234.4328 293.0729 504.8542 -0.1549239 0.3005508
Ended 234.4635 292.5 506 -0.15625 0.3034978
Began 235.0782 448 499 0.2037037 0.2854938
Stationary 235.109 448 499 0.2037037 0.2854938
Moved 235.1397 396.9082 453.7136 0.08543561 0.1690164
Moved 235.1704 365.9045 429.9284 0.01366784 0.1078404
Moved 235.2012 348.9494 420.3052 -0.02558018 0.08308936
Moved 235.2319 333.6028 410.4521 -0.06110475 0.05774706
Moved 235.2627 325.2067 404.4711 -0.08053998 0.04236398
Ended 235.2934 323.0804 402.0804 -0.08546208 0.0362149
Began 236.0004 442 393 0.1898148 0.01285996
Stationary 236.0311 442 393 0.1898148 0.01285996
Moved 236.0618 442 424.4998 0.1898148 0.09387785
Moved 236.0926 422.4298 470.6217 0.1445135 0.2125043
Moved 236.1234 409.6471 499.8675 0.1149239 0.2877249
Moved 236.154 404.5617 510.8766 0.1031521 0.3160405
Moved 236.1848 401.3711 515.2578 0.09576649 0.327309
Moved 236.2155 397.9188 517 0.087775 0.33179
Moved 236.2463 376.219 506.9314 0.03754397 0.3058934
Moved 236.277 320.2084 461.3215 -0.09211009 0.1885841
Moved 236.3078 288.3734 433.3423 -0.1658023 0.116621
Moved 236.3385 262.9658 410.3451 -0.2246162 0.05747186
Moved 236.3692 250 397.5 -0.2546296 0.02443408
Moved 236.3999 241.1227 387.1227 -0.275179 -0.002256558
Moved 236.4307 236.3129 383.3129 -0.2863126 -0.01205531
Moved 236.4614 235.5 382.5 -0.2881945 -0.01414617
Moved 236.4921 236 383 -0.287037 -0.01286016
Moved 236.523 278.609 431.9042 -0.1884052 0.1129222
Moved 236.5537 309.2996 461.5996 -0.1173621 0.1892994
Moved 236.5844 320.4362 473.5452 -0.09158288 0.2200237
Ended 236.6151 330.5 481 -0.06828706 0.2391974
Began 237.1377 511 389 0.349537 0.002572016
Stationary 237.1685 511 389 0.349537 0.002572016
Moved 237.1992 497.382 410.4453 0.3180138 0.05772971
Moved 237.2299 468.2414 452.1379 0.2505589 0.1649636
Moved 237.2607 450.5 488.5 0.2094908 0.2584876
Moved 237.2914 447.2273 499.636 0.2019151 0.2871296
Moved 237.3221 446 509.7479 0.199074 0.3131376
Moved 237.3529 446 514.1815 0.199074 0.3245409
Moved 237.3836 446 516 0.199074 0.329218
Moved 237.4143 458.2469 491.6194 0.2274235 0.2665109
Moved 237.4451 474.5995 437.6017 0.2652767 0.1275764
Moved 237.4758 483.7675 401.1624 0.2864988 0.03385371
Moved 237.5065 486.3256 379.3953 0.2924204 -0.0221316
Moved 237.5373 486 371.8278 0.2916667 -0.04159519
Moved 237.568 455.6096 372 0.2213184 -0.04115226
Moved 237.5988 382.8875 417.1638 0.05298018 0.07500962
Moved 237.6295 330.4603 460.1345 -0.06837899 0.185531
Moved 237.6603 310.0279 480.7151 -0.1156761 0.2384647
Moved 237.691 294.5343 494.4658 -0.151541 0.2738316
Moved 237.7217 288.3428 501.3143 -0.1658731 0.2914462
Ended 237.7524 288 502 -0.1666667 0.2932098
Began 238.5517 276 514 -0.1944444 0.324074
Moved 238.5824 287.982 481.5631 -0.1667084 0.2406458
Moved 238.6131 308.3998 412.3605 -0.1194448 0.06265566
Moved 238.6438 324.5474 344.4088 -0.08206616 -0.1121173
Moved 238.6747 334.9908 304.0369 -0.05789171 -0.2159546
Moved 238.7054 340.1569 279.5884 -0.04593318 -0.2788365
Moved 238.7361 342 267.1926 -0.04166668 -0.3107187
Moved 238.7668 343 260.0867 -0.03935183 -0.3289953
Moved 238.7976 343 256.9171 -0.03935183 -0.3371476
Moved 238.8283 343 254.3882 -0.03935183 -0.3436518
Moved 238.8591 343 251.5 -0.03935183 -0.3510802
Moved 238.8898 343 250.9408 -0.03935183 -0.3525186
Moved 238.9205 343 250 -0.03935183 -0.3549383
Stationary 238.9513 343 250 -0.03935183 -0.3549383
