come and see our new car
Direct
0.6 0.6
432 388.8
Began 937.4919 335 270 -0.05787035 -0.303498
Stationary 937.5227 335 270 -0.05787035 -0.303498
Moved 937.5535 348.5211 292.2817 -0.0265714 -0.246189
Moved 937.5842 388.724 350.7002 0.06649067 -0.09593578
Moved 937.6149 433.1467 408.176 0.1693211 0.05189306
Moved 937.6456 477.9266 460.1407 0.2729782 0.1855469
Moved 937.6763 492.3805 473.2854 0.3064364 0.2193554
Moved 937.707 497.9381 476.9691 0.3193012 0.2288298
Moved 937.7378 501.4807 451.8279 0.3275017 0.1641663
Moved 937.7686 488.9337 371.4695 0.2984577 -0.04251676
Moved 937.7993 489 334.4952 0.2986111 -0.1376154
Moved 937.83 488 314.1223 0.2962963 -0.1900148
Moved 937.8607 485.3345 301.0034 0.2901261 -0.2237567
Moved 937.8915 481.4661 294.4661 0.2811716 -0.2405707
Moved 937.9222 476.1699 292 0.2689117 -0.2469136
Moved 937.9529 463.4952 291 0.2395721 -0.2494857
Moved 937.9837 416.0694 335.6705 0.1297903 -0.1345925
Moved 938.0144 352.8181 397.4918 -0.01662468 0.02441292
Moved 938.0452 311 439 -0.113426 0.1311728
Moved 938.0759 293.4426 456.5574 -0.154068 0.1763306
Moved 938.1066 285.9762 466.0357 -0.1713514 0.200709
Ended 938.1373 286 473 -0.1712963 0.2186213
Began 938.8442 213 380 -0.3402778 -0.02057613
Moved 938.8749 217.6134 380 -0.3295986 -0.02057613
Moved 938.9057 261.3053 358.1551 -0.2284599 -0.07676167
Moved 938.9364 341.6422 331.8745 -0.04249493 -0.1443557
Moved 938.9672 388.2603 314.8699 0.0654173 -0.1880919
Moved 938.9979 413.2213 299.0672 0.1231975 -0.2287367
Moved 939.0286 420.5304 293.4696 0.1401166 -0.2431337
Moved 939.0593 421 291.5 0.1412037 -0.2481996
Moved 939.09 376.1213 307.1844 0.03731787 -0.207859
Moved 939.1208 299.7301 356.2872 -0.1395137 -0.08156583
Moved 939.1515 266.3456 383.9476 -0.2167927 -0.01042276
Moved 939.1823 254.4953 393.5046 -0.2442238 0.01415798
Ended 939.213 252 396 -0.25 0.02057605
Began 940.2887 249 388 -0.2569445 -3.924585E-08
Stationary 940.3193 249 388 -0.2569445 -3.924585E-08
Stationary 940.3502 249 388 -0.2569445 -3.924585E-08
Moved 940.3809 249 406.6144 -0.2569445 0.04787645
Moved 940.4116 253.1635 426.1635 -0.2473067 0.09815714
Moved 940.4423 262.7711 447.3134 -0.2250668 0.1525548
Moved 940.4731 266.5401 459.0801 -0.2163424 0.1828192
Moved 940.5038 271.4439 467.2585 -0.2049909 0.2038542
Ended 940.5345 273.5 470 -0.2002315 0.2109053
Began 941.0877 527 520 0.3865741 0.3395061
Moved 941.1184 504.3212 514.3212 0.3340769 0.3249002
Moved 941.1491 472.7079 501.236 0.2608978 0.2912447
Moved 941.1798 452.2785 498.0348 0.2136077 0.2830112
Moved 941.2106 433.8581 496 0.1709679 0.2777777
Moved 941.2413 420.205 494.3013 0.1393634 0.2734085
Moved 941.2721 406.7213 492 0.1081512 0.2674896
Moved 941.3029 395.4966 491 0.08216798 0.2649176
Moved 941.3336 382.9839 490 0.0532035 0.2623456
Moved 941.3643 374.3586 490 0.03323764 0.2623456
Moved 941.395 369 490 0.02083332 0.2623456
Moved 941.4258 362.4471 490 0.005664627 0.2623456
Moved 941.4565 357.6989 490 -0.005326669 0.2623456
Moved 941.4872 353.9699 490 -0.01395861 0.2623456
Moved 941.5179 351.3893 490 -0.01993209 0.2623456
Ended 941.5487 349.954 490 -0.02325455 0.2623456
Began 942.4399 420 301 0.1388889 -0.2237656
Moved 942.4707 404.5628 320.2914 0.1031547 -0.1741476
Moved 942.5014 388.0342 346.1268 0.06489396 -0.1076986
Moved 942.5321 358.6975 384.4033 -0.003015101 -0.009250797
Moved 942.5629 316.7859 436.7934 -0.1000325 0.1254974
Moved 942.5936 294.7906 461.6679 -0.1509477 0.189475
Moved 942.6244 283.6759 470.993 -0.1766762 0.2134594
Moved 942.6551 275.6349 476.6826 -0.1952896 0.2280929
Moved 942.6859 265.413 480.7174 -0.2189515 0.2384706
Moved 942.7166 242.6816 481 -0.2715704 0.2391974
Ended 942.7473 232 481 -0.2962963 0.2391974
Began 943.2083 309 269 -0.1180555 -0.30607
Stationary 943.2391 309 269 -0.1180555 -0.30607
Moved 943.2698 275.8536 295.2579 -0.1947833 -0.2385343
Moved 943.3005 215.1192 338.5872 -0.3353722 -0.1270906
Moved 943.3312 191.6653 356.6122 -0.3896636 -0.0807299
Moved 943.3619 182.7966 364.8051 -0.410193 -0.05965778
Moved 943.3927 179.5231 388.7233 -0.4177707 0.001860214
Moved 943.4235 204.4557 440.5659 -0.3600562 0.1352002
Moved 943.4542 245.3475 496.839 -0.2653994 0.2799356
Moved 943.4849 270.2923 524.0483 -0.2076567 0.3499185
Ended 943.5156 281.6162 538.0202 -0.181444 0.3858543
PhraseEnd 944.4376
