a subject one can really enjoy
Direct
0.6 0.6
432 388.8
Began 806.7578 187 373 -0.4004629 -0.03858032
Stationary 806.7885 187 373 -0.4004629 -0.03858032
Stationary 806.8192 187 373 -0.4004629 -0.03858032
Stationary 806.85 187 373 -0.4004629 -0.03858032
Stationary 806.8806 187 373 -0.4004629 -0.03858032
Stationary 806.9114 187 373 -0.4004629 -0.03858032
Stationary 806.9421 187 373 -0.4004629 -0.03858032
Stationary 806.9728 187 373 -0.4004629 -0.03858032
Stationary 807.0036 187 373 -0.4004629 -0.03858032
Stationary 807.0343 187 373 -0.4004629 -0.03858032
Stationary 807.0651 187 373 -0.4004629 -0.03858032
Stationary 807.0958 187 373 -0.4004629 -0.03858032
Stationary 807.1265 187 373 -0.4004629 -0.03858032
Stationary 807.1572 187 373 -0.4004629 -0.03858032
Stationary 807.188 187 373 -0.4004629 -0.03858032
Stationary 807.2188 187 373 -0.4004629 -0.03858032
Ended 807.2495 187 373 -0.4004629 -0.03858032
Began 807.9871 240 360 -0.2777777 -0.07201654
Stationary 808.0178 240 360 -0.2777777 -0.07201654
Stationary 808.0485 240 360 -0.2777777 -0.07201654
Stationary 808.0793 240 360 -0.2777777 -0.07201654
Stationary 808.11 240 360 -0.2777777 -0.07201654
Moved 808.1407 249.8522 376.8522 -0.2549718 -0.02867247
Moved 808.1715 265.8943 390.4119 -0.2178372 0.006203396
Moved 808.2022 285.5074 405.2921 -0.1724365 0.0444756
Moved 808.233 305.0013 418.6675 -0.1273117 0.0788773
Moved 808.2637 322.5549 430.7032 -0.08667857 0.1098334
Moved 808.2944 340.191 441.6806 -0.04585415 0.1380673
Moved 808.3251 356.8253 453.7573 -0.007348855 0.1691288
Moved 808.3559 373.0595 462.0298 0.03023038 0.1904058
Moved 808.3866 389.5845 471.2922 0.06848256 0.2142289
Moved 808.4174 404.2469 479.5482 0.1024233 0.2354633
Moved 808.4481 414.9174 484.4587 0.1271237 0.2480933
Moved 808.4788 424.1746 488.0582 0.1485523 0.2573512
Moved 808.5096 432.4722 491.8241 0.1677598 0.2670373
Moved 808.5403 438.174 494 0.1809583 0.2726337
Moved 808.571 440.5 495.5 0.1863426 0.2764916
Moved 808.6018 441.1924 495 0.1879455 0.2752057
Stationary 808.6325 441 495 0.1875 0.2752057
Stationary 808.6633 441 495 0.1875 0.2752057
Moved 808.694 441 477.3513 0.1875 0.2298129
Moved 808.7247 431 449 0.1643519 0.156893
Moved 808.7554 420.4672 392.6425 0.1399703 0.01194036
Moved 808.7862 408.5831 338.9156 0.112461 -0.126246
Moved 808.8169 402 306 0.09722222 -0.2109054
Moved 808.8477 398.4431 285.0511 0.08898874 -0.2647864
Moved 808.8784 393.963 264.7781 0.07861812 -0.3169289
Moved 808.9091 391.6708 253.3539 0.07331202 -0.3463121
Moved 808.9398 389.7887 244.366 0.06895522 -0.3694292
Moved 808.9706 389 238.0723 0.06712963 -0.3856166
Moved 809.0013 389 235.5 0.06712963 -0.3922326
Moved 809.032 388 233.8141 0.06481478 -0.3965688
Stationary 809.0628 388 233.8141 0.06481478 -0.3965688
Moved 809.0935 388 233 0.06481478 -0.3986626
Stationary 809.1243 388 233 0.06481478 -0.3986626
Stationary 809.155 388 233 0.06481478 -0.3986626
Stationary 809.1857 388 233 0.06481478 -0.3986626
Stationary 809.2164 388 233 0.06481478 -0.3986626
Stationary 809.2473 388 233 0.06481478 -0.3986626
Stationary 809.2779 388 233 0.06481478 -0.3986626
Stationary 809.3087 388 233 0.06481478 -0.3986626
Stationary 809.3394 388 233 0.06481478 -0.3986626
Stationary 809.3701 388 233 0.06481478 -0.3986626
Stationary 809.4009 388 233 0.06481478 -0.3986626
Stationary 809.4316 388 233 0.06481478 -0.3986626
Moved 809.4623 388 241.8571 0.06481478 -0.375882
Moved 809.4931 388 246.6746 0.06481478 -0.3634913
Moved 809.5238 395.7335 253.2096 0.08271635 -0.3466831
Moved 809.5546 397.8798 259.7595 0.08768459 -0.3298367
Moved 809.5853 400.5 267.5 0.09374996 -0.309928
Moved 809.616 403.0941 275.2822 0.09975474 -0.2899121
Moved 809.6467 408.7249 287.4498 0.1127892 -0.2586167
Moved 809.6775 412.6117 300.0583 0.1217863 -0.2261876
Moved 809.7083 417.0332 313.1161 0.1320213 -0.1926025
