the five boxing wizards jump quickly
Direct
0.6 0.6
432 388.8
Began 400.1466 339 484 -0.04861111 0.2469135
Stationary 400.1774 339 484 -0.04861111 0.2469135
Stationary 400.2081 339 484 -0.04861111 0.2469135
Stationary 400.2388 339 484 -0.04861111 0.2469135
Moved 400.2695 348.1443 462.162 -0.02744362 0.1907458
Moved 400.3003 357.2059 441.5881 -0.00646775 0.1378295
Moved 400.331 367.1775 419.0563 0.0166146 0.07987721
Moved 400.3618 375.5909 399.4243 0.03609001 0.02938333
Moved 400.3925 384.0335 377.8826 0.05563319 -0.02602212
Moved 400.4232 389.5553 361.3342 0.068415 -0.06858504
Moved 400.4539 393.5423 349.3732 0.07764409 -0.09934892
Moved 400.4846 396.9804 343.0392 0.0856028 -0.11564
Moved 400.5154 398.7365 338.527 0.08966773 -0.1272454
Moved 400.5461 399 337 0.09027779 -0.1311728
Stationary 400.5768 399 337 0.09027779 -0.1311728
Moved 400.6076 381.9 355.7375 0.05069454 -0.08297971
Moved 400.6383 350.6555 392.108 -0.02163083 0.01056593
Moved 400.669 341.0173 401.9827 -0.04394144 0.03596372
Moved 400.6998 328.2477 417.4404 -0.07350072 0.07572107
Moved 400.7305 314.2615 429.3908 -0.1058761 0.1064577
Moved 400.7612 296.5244 445.3805 -0.1469342 0.1475835
Moved 400.7919 284.6124 455.5407 -0.1745083 0.1737157
Moved 400.8227 274.2228 464.7772 -0.1985583 0.197472
Moved 400.8534 261.8656 475.1008 -0.2271629 0.2240245
Moved 400.8841 254.6635 481.3365 -0.2438345 0.2400629
Moved 400.9149 250.4768 485.0464 -0.2535259 0.2496048
Moved 400.9456 248.0195 487 -0.2592141 0.2546296
Moved 400.9763 246.2739 489 -0.2632548 0.2597736
Moved 401.007 246 492.9458 -0.2638889 0.2699222
Ended 401.0378 246 493 -0.2638889 0.2700616
Began 401.7753 327 346 -0.07638887 -0.1080248
Stationary 401.806 327 346 -0.07638887 -0.1080248
Stationary 401.8367 327 346 -0.07638887 -0.1080248
Stationary 401.8675 327 346 -0.07638887 -0.1080248
Stationary 401.8982 327 346 -0.07638887 -0.1080248
Stationary 401.9289 327 346 -0.07638887 -0.1080248
Moved 401.9596 343.3452 368.5867 -0.03855273 -0.04993132
Moved 401.9904 370.5321 397.5322 0.02437999 0.02451685
Moved 402.0211 393.4906 419.4907 0.07752458 0.08099441
Moved 402.0518 412.5219 440.5219 0.1215785 0.1350872
Moved 402.0826 426.3446 454.3446 0.1535754 0.1706393
Moved 402.1133 437.2452 465.2452 0.1788085 0.1986759
Moved 402.144 446.5128 473.5128 0.2002611 0.2199402
Moved 402.1747 453.8052 481.8052 0.2171416 0.2412684
Moved 402.2054 457.0172 488.0345 0.224577 0.2572903
Moved 402.2361 459.3814 492.7629 0.2300496 0.2694517
Moved 402.2669 460 497.5011 0.2314815 0.2816386
Moved 402.2976 461 500.0169 0.2337964 0.2881092
Moved 402.3283 462 502.7716 0.2361111 0.2951944
Moved 402.3591 462 504 0.2361111 0.2983539
Moved 402.3898 462 505.5 0.2361111 0.3022119
Moved 402.4206 462 506 0.2361111 0.3034978
Stationary 402.4513 462 506 0.2361111 0.3034978
Moved 402.482 451.3044 498.8116 0.2113527 0.2850091
Moved 402.5128 441.6686 486.336 0.1890476 0.2529217
Moved 402.5435 425.4271 459.7119 0.1514516 0.1844439
Moved 402.5742 408.6529 427.3057 0.1126224 0.1010949
Moved 402.6049 389.1729 386.0703 0.06752998 -0.004963384
Moved 402.6357 377.434 352.9105 0.04035652 -0.09025071
Moved 402.6664 369.6865 327.5891 0.02242238 -0.155378
Moved 402.6971 363.8492 309.3967 0.0089101 -0.2021689
Moved 402.7278 359.659 294.295 -0.0007893642 -0.2410109
Moved 402.7586 355.8921 280.5685 -0.009508978 -0.2763158
Moved 402.7893 353.1368 270.5474 -0.01588692 -0.3020901
Moved 402.82 350.6721 260.6887 -0.02159223 -0.3274468
Moved 402.8508 347.906 251.718 -0.02799536 -0.3505195
Moved 402.8815 346 245.2756 -0.03240739 -0.3670895
Moved 402.9122 345 243.5 -0.03472224 -0.3716564
Moved 402.9429 341.8704 244 -0.04196664 -0.3703704
Moved 402.9737 326.4967 264.9421 -0.07755399 -0.316507
Moved 403.0044 309.1038 298.2358 -0.1178153 -0.230875
