my watch fell in the water
Direct
0.6 0.6
432 388.8
Began 860.451 486 250 0.2916667 -0.3549383
Stationary 860.4818 486 250 0.2916667 -0.3549383
Stationary 860.5125 486 250 0.2916667 -0.3549383
Stationary 860.5432 486 250 0.2916667 -0.3549383
Moved 860.574 479.9719 275.0281 0.2777127 -0.2905657
Moved 860.6047 472.1279 297.9923 0.2595553 -0.2315012
Moved 860.6354 462.5231 327.4308 0.237322 -0.155785
Moved 860.6662 455.4274 351.5755 0.2208967 -0.09368449
Moved 860.6969 443.3391 376.8754 0.1929146 -0.02861266
Moved 860.7277 433.0066 397.9868 0.1689968 0.02568621
Moved 860.7584 421.9867 416.02 0.1434878 0.07206779
Moved 860.7891 414.1087 432.0797 0.1252516 0.1133735
Moved 860.8199 402.3389 449.9916 0.09800683 0.1594433
Moved 860.8506 395.1452 462.6371 0.08135457 0.1919678
Moved 860.8813 389.6223 471.7553 0.06857027 0.2154199
Moved 860.912 385.8625 479.4125 0.05986691 0.2351145
Moved 860.9428 382.1026 486.6922 0.05116343 0.2538379
Moved 860.9735 381 490.6655 0.04861106 0.2640572
Moved 861.0043 380 493.4257 0.04629632 0.2711565
Moved 861.035 378.5 495.5 0.04282405 0.2764916
Moved 861.0657 378 496.614 0.04166663 0.2793569
Moved 861.0964 378 498.1866 0.04166663 0.2834018
Stationary 861.1272 378 498 0.04166663 0.2829217
Moved 861.158 377 499 0.03935188 0.2854938
Stationary 861.1887 377 499 0.03935188 0.2854938
Moved 861.2194 377 500 0.03935188 0.2880658
Stationary 861.2501 377 500 0.03935188 0.2880658
Moved 861.2809 375.6724 500 0.03627867 0.2880658
Moved 861.3116 376 501 0.03703703 0.2906378
Stationary 861.3423 376 501 0.03703703 0.2906378
Stationary 861.3731 376 501 0.03703703 0.2906378
Moved 861.4038 376 502 0.03703703 0.2932098
Ended 861.4345 376 502 0.03703703 0.2932098
Began 862.8483 244 525 -0.2685185 0.3523662
Stationary 862.8791 244 525 -0.2685185 0.3523662
Stationary 862.9098 244 525 -0.2685185 0.3523662
Stationary 862.9406 244 525 -0.2685185 0.3523662
Stationary 862.9713 244 525 -0.2685185 0.3523662
Moved 863.002 234.6479 508.2957 -0.290167 0.3094025
Moved 863.0328 229.18 493.36 -0.3028241 0.2709875
Moved 863.0635 224.4756 479.4267 -0.3137139 0.2351509
Moved 863.0942 219.7971 464.3914 -0.3245437 0.1964798
Moved 863.125 217.1307 453.5226 -0.3307161 0.1685253
Moved 863.1557 215.3621 442.4484 -0.33481 0.140042
Moved 863.1865 213.8968 429.3806 -0.3382019 0.1064315
Moved 863.2172 212.1447 415.5789 -0.3422576 0.07093335
Moved 863.2479 211 405.1783 -0.3449074 0.04418295
Moved 863.2787 210 395.8778 -0.3472222 0.02026173
Moved 863.3094 208.1778 386.7112 -0.3514403 -0.003314862
Moved 863.3401 206 376.728 -0.3564815 -0.02899178
Moved 863.3708 203.6775 368.0325 -0.3618576 -0.05135665
Moved 863.4016 202.2076 360.6229 -0.3652601 -0.07041436
Moved 863.4323 201 353.5719 -0.3680556 -0.08854972
Moved 863.4631 199 347.5596 -0.3726852 -0.1040134
Moved 863.4938 197.0106 344.0106 -0.3772902 -0.1131414
Moved 863.5245 197 340.6626 -0.3773148 -0.1217526
Moved 863.5552 196 336.7902 -0.3796296 -0.1317125
Moved 863.586 195 333.0466 -0.3819444 -0.1413412
Moved 863.6167 195 331.6409 -0.3819444 -0.1449565
Stationary 863.6475 195 332 -0.3819444 -0.144033
Stationary 863.6782 195 332 -0.3819444 -0.144033
Stationary 863.7089 195 332 -0.3819444 -0.144033
Moved 863.7397 195 341.1472 -0.3819444 -0.1205064
Moved 863.7704 206.8297 347.8297 -0.3545608 -0.1033187
Moved 863.8011 212.3519 356.0278 -0.3417781 -0.08223325
Moved 863.8318 218.869 365.3035 -0.3266921 -0.05837569
Moved 863.8626 227.474 379.2636 -0.3067731 -0.02247022
Moved 863.8933 240.0287 397.2402 -0.2777112 0.02376592
Moved 863.9241 252.7567 414.4594 -0.2482483 0.06805396
Moved 863.9548 270.6243 435.7283 -0.2068882 0.122758
Moved 863.9856 284.0286 451.0286 -0.1758597 0.1621106
Moved 864.0163 299.3063 465.045 -0.1404948 0.1981611
Moved 864.047 313.0685 477.0685 -0.1086376 0.2290857
