want to join us for lunch
Direct
0.6 0.6
432 388.8
Began 1040.411 202 510 -0.3657407 0.3137859
Stationary 1040.442 202 510 -0.3657407 0.3137859
Stationary 1040.472 202 510 -0.3657407 0.3137859
Stationary 1040.503 202 510 -0.3657407 0.3137859
Stationary 1040.534 202 510 -0.3657407 0.3137859
Moved 1040.565 202 482.5937 -0.3657407 0.2432965
Moved 1040.595 202 462.5 -0.3657407 0.1916151
Moved 1040.626 189.992 446.976 -0.393537 0.1516872
Moved 1040.657 181.3781 427.8821 -0.4134767 0.1025775
Moved 1040.688 174.7491 410.4981 -0.4288216 0.0578655
Moved 1040.718 168.7465 395.8663 -0.4427164 0.02023218
Moved 1040.749 163.645 384.29 -0.4545255 -0.009542119
Moved 1040.78 159.9457 373.8371 -0.4630887 -0.0364273
Moved 1040.81 157.0771 366.1542 -0.469729 -0.05618782
Moved 1040.841 157 363.5 -0.4699074 -0.06301456
Moved 1040.872 156 360.6948 -0.4722222 -0.07022952
Moved 1040.903 156 358.822 -0.4722222 -0.07504647
Moved 1040.933 156 357.9654 -0.4722222 -0.07724958
Stationary 1040.964 156 358 -0.4722222 -0.07716057
Moved 1040.995 156 356.9841 -0.4722222 -0.07977332
Stationary 1041.026 156 357 -0.4722222 -0.07973259
Stationary 1041.056 156 357 -0.4722222 -0.07973259
Stationary 1041.087 156 357 -0.4722222 -0.07973259
Stationary 1041.118 156 357 -0.4722222 -0.07973259
Moved 1041.148 167 357 -0.4467593 -0.07973259
Moved 1041.179 170.0191 357 -0.4397707 -0.07973259
Moved 1041.21 173.8872 365 -0.4308166 -0.05915646
Moved 1041.241 181.0225 369.5113 -0.4142996 -0.04755326
Moved 1041.271 196.085 379.8138 -0.3794329 -0.02105517
Moved 1041.302 220.2419 393.1209 -0.3235143 0.01317099
Moved 1041.333 253.5828 408.2332 -0.246336 0.05203997
Moved 1041.364 282.3441 416.8542 -0.1797589 0.07421356
Moved 1041.394 309.5 420.5 -0.1168982 0.08359041
Moved 1041.425 333.2798 420 -0.06185243 0.08230445
Moved 1041.456 354.3568 411.6431 -0.01306285 0.06081047
Moved 1041.486 369.3399 402.6602 0.0216201 0.03770604
Moved 1041.517 381.2051 389.1539 0.04908592 0.002967693
Moved 1041.548 391.5507 367.8648 0.07303397 -0.05178813
Moved 1041.579 397.78 346.49 0.08745372 -0.1067645
Moved 1041.609 400.2565 321.6912 0.09318639 -0.1705473
Moved 1041.64 402.7988 303.4082 0.09907135 -0.2175716
Moved 1041.671 406.3512 285.2707 0.1072945 -0.2642215
Moved 1041.702 412.0933 266.7202 0.1205864 -0.3119338
Moved 1041.732 417.0734 252.8164 0.1321144 -0.3476945
Moved 1041.763 423.8667 239.2666 0.1478397 -0.3825448
Moved 1041.794 429.6145 232.3855 0.1611447 -0.4002431
Moved 1041.825 435.3763 229.3119 0.1744822 -0.4081485
Moved 1041.855 437 229 0.1782407 -0.4089506
Moved 1041.886 438 252.3701 0.1805556 -0.3488424
Moved 1041.917 419.227 323.2433 0.1370996 -0.1665554
Moved 1041.948 394.7865 378.1842 0.08052438 -0.02524639
Moved 1041.978 371.5045 417.2781 0.02663076 0.07530361
Moved 1042.009 353.6767 455.6316 -0.01463726 0.1739495
Moved 1042.04 349.6886 465.7266 -0.02386893 0.1999139
Moved 1042.07 346.3188 487.7682 -0.03166939 0.2566055
Moved 1042.101 346 503.6644 -0.03240739 0.2974908
Moved 1042.132 346 509.8582 -0.03240739 0.3134212
Moved 1042.163 346 512.5 -0.03240739 0.3202159
Moved 1042.193 346 513 -0.03240739 0.321502
Ended 1042.224 346 513 -0.03240739 0.321502
Began 1042.962 330 486 -0.06944443 0.2520575
Stationary 1042.992 330 486 -0.06944443 0.2520575
Stationary 1043.023 330 486 -0.06944443 0.2520575
Stationary 1043.054 330 486 -0.06944443 0.2520575
Moved 1043.084 341.0509 486 -0.0438637 0.2520575
Moved 1043.115 368.0201 477.2178 0.01856496 0.2294695
Moved 1043.146 393.8971 474.2336 0.07846544 0.2217942
Moved 1043.177 419.4641 472 0.1376483 0.2160493
Moved 1043.207 449.347 472 0.2068218 0.2160493
Moved 1043.238 459.3944 472 0.2300797 0.2160493
Moved 1043.269 479.5035 472 0.2766285 0.2160493
Moved 1043.3 492.5 472 0.306713 0.2160493
