travel at the speed of light
Direct
0.6 0.6
432 388.8
Began 1074.585 362 476 0.004629592 0.2263374
Stationary 1074.616 362 476 0.004629592 0.2263374
Stationary 1074.647 362 476 0.004629592 0.2263374
Stationary 1074.678 362 476 0.004629592 0.2263374
Stationary 1074.708 362 476 0.004629592 0.2263374
Moved 1074.739 349.2853 476 -0.02480254 0.2263374
Moved 1074.77 338.7805 476 -0.04911919 0.2263374
Moved 1074.801 329.8643 483.3167 -0.06975859 0.2451559
Moved 1074.831 321.2042 484.9319 -0.08980518 0.2493105
Moved 1074.862 315.3887 485 -0.1032668 0.2494856
Moved 1074.893 310.6393 485 -0.1142608 0.2494856
Moved 1074.924 303.3114 485 -0.1312235 0.2494856
Moved 1074.954 287.2555 465.4682 -0.1683901 0.1992494
Moved 1074.985 259.1275 443.1021 -0.2335011 0.1417233
Moved 1075.016 226.6608 416.9286 -0.3086556 0.07440488
Moved 1075.047 200.3453 395.7245 -0.3695711 0.01986766
Moved 1075.077 182.4681 381.9788 -0.4109533 -0.01548681
Moved 1075.108 176.7438 376.8719 -0.4242041 -0.02862176
Moved 1075.139 174.3 376 -0.429861 -0.03086435
Moved 1075.169 173 376 -0.4328704 -0.03086435
Stationary 1075.2 173 376 -0.4328704 -0.03086435
Moved 1075.231 173 388.2874 -0.4328704 0.0007392349
Moved 1075.262 186.5577 398.5577 -0.4014869 0.02715444
Moved 1075.292 202.6312 413.6312 -0.3642796 0.06592385
Moved 1075.323 217.4333 424.825 -0.3300155 0.0947143
Moved 1075.354 228.4142 431.2485 -0.3045967 0.1112359
Moved 1075.385 242.9242 438.9697 -0.2710088 0.1310947
Moved 1075.415 253.578 443.8593 -0.2463472 0.143671
Moved 1075.446 262.1926 445.7308 -0.2264061 0.1484845
Moved 1075.477 267.5645 446 -0.2139709 0.1491768
Moved 1075.507 273.3018 446 -0.2006902 0.1491768
Moved 1075.538 283.1309 435.6728 -0.1779379 0.1226152
Moved 1075.569 295.3204 421.3514 -0.1497212 0.08578029
Moved 1075.6 312.0518 397.7171 -0.1109912 0.02499247
Moved 1075.63 327.4584 369.3748 -0.07532771 -0.04790435
Moved 1075.661 336.5098 341.1308 -0.05437548 -0.1205484
Moved 1075.692 344.2088 314.3735 -0.03655364 -0.1893685
Moved 1075.723 352.23 288.6949 -0.0179861 -0.2554142
Moved 1075.753 356.9902 272.0294 -0.006967137 -0.2982785
Moved 1075.784 358.362 262.9139 -0.0037916 -0.3217236
Moved 1075.815 359 255.2039 -0.002314796 -0.3415539
Moved 1075.846 360 251.2299 0 -0.3517751
Moved 1075.876 360 249.6787 0 -0.3557646
Stationary 1075.907 360 249.6787 0 -0.3557646
Moved 1075.938 349.8612 265.2082 -0.02346943 -0.3158226
Moved 1075.969 328.6668 301.5712 -0.07253061 -0.2222964
Moved 1075.999 312.2855 338.0005 -0.1104503 -0.1285994
Moved 1076.03 297.6952 380.5851 -0.144224 -0.01907129
Moved 1076.061 282.7834 416.8388 -0.1787422 0.0741738
Moved 1076.091 268.7147 448.7133 -0.2113086 0.1561555
Moved 1076.122 261.2966 476.3304 -0.22848 0.2271873
Moved 1076.153 256.0643 496.8072 -0.240592 0.2798538
Moved 1076.184 255 509.9965 -0.2430556 0.3137768
Moved 1076.214 255 514.2129 -0.2430556 0.3246215
Moved 1076.245 255 515 -0.2430556 0.326646
Stationary 1076.276 255 515 -0.2430556 0.326646
Moved 1076.307 265.2056 511.2602 -0.2194316 0.3170272
Moved 1076.337 286.617 496.9905 -0.169868 0.2803254
Moved 1076.368 320.3255 482.2891 -0.09183913 0.2425129
Moved 1076.399 363.0438 464.2172 0.007045865 0.1960319
Moved 1076.429 405.1387 445.7821 0.1044877 0.1486164
Moved 1076.46 439.885 433.3716 0.1849189 0.1166966
Moved 1076.491 480.0686 416.5421 0.2779365 0.07341055
Moved 1076.522 504.6081 406.147 0.3347409 0.04667419
Moved 1076.552 520.3248 398.3376 0.3711222 0.0265884
Moved 1076.583 530.5333 394.6167 0.3947529 0.01701822
Moved 1076.614 536.4962 390.752 0.4085559 0.007078029
Moved 1076.645 540.126 388.874 0.4169585 0.002247846
Moved 1076.675 543.7389 386.2611 0.4253215 -0.004472536
Moved 1076.706 546.5239 382.9523 0.4317682 -0.01298269
Ended 1076.737 547.5 381 0.4340278 -0.01800419
