traveling requires a lot of fuel
Direct
0.6 0.6
432 388.8
Began 505.3426 296 509 -0.1481481 0.3112139
Stationary 505.3733 296 509 -0.1481481 0.3112139
Stationary 505.4041 296 509 -0.1481481 0.3112139
Stationary 505.4348 296 509 -0.1481481 0.3112139
Stationary 505.4655 296 509 -0.1481481 0.3112139
Stationary 505.4962 296 509 -0.1481481 0.3112139
Stationary 505.5269 296 509 -0.1481481 0.3112139
Stationary 505.5577 296 509 -0.1481481 0.3112139
Stationary 505.5884 296 509 -0.1481481 0.3112139
Stationary 505.6191 296 509 -0.1481481 0.3112139
Stationary 505.6498 296 509 -0.1481481 0.3112139
Stationary 505.6806 296 509 -0.1481481 0.3112139
Stationary 505.7113 296 509 -0.1481481 0.3112139
Stationary 505.7421 296 509 -0.1481481 0.3112139
Stationary 505.7728 296 509 -0.1481481 0.3112139
Stationary 505.8036 296 509 -0.1481481 0.3112139
Stationary 505.8343 296 509 -0.1481481 0.3112139
Stationary 505.865 296 509 -0.1481481 0.3112139
Stationary 505.8958 296 509 -0.1481481 0.3112139
Stationary 505.9265 296 509 -0.1481481 0.3112139
Stationary 505.9572 296 509 -0.1481481 0.3112139
Stationary 505.9879 296 509 -0.1481481 0.3112139
Stationary 506.0187 296 509 -0.1481481 0.3112139
Stationary 506.0494 296 509 -0.1481481 0.3112139
Stationary 506.0801 296 509 -0.1481481 0.3112139
Stationary 506.1108 296 509 -0.1481481 0.3112139
Stationary 506.1416 296 509 -0.1481481 0.3112139
Stationary 506.1723 296 509 -0.1481481 0.3112139
Stationary 506.2031 296 509 -0.1481481 0.3112139
Stationary 506.2338 296 509 -0.1481481 0.3112139
Stationary 506.2645 296 509 -0.1481481 0.3112139
Stationary 506.2953 296 509 -0.1481481 0.3112139
Moved 506.326 305.8877 509 -0.12526 0.3112139
Moved 506.3567 306 509 -0.125 0.3112139
Stationary 506.3875 306 509 -0.125 0.3112139
Moved 506.4181 307 509 -0.1226852 0.3112139
Stationary 506.4488 307 509 -0.1226852 0.3112139
Stationary 506.4797 307 509 -0.1226852 0.3112139
Stationary 506.5104 307 509 -0.1226852 0.3112139
Stationary 506.5411 307 509 -0.1226852 0.3112139
Moved 506.5719 298.6513 501.6949 -0.1420109 0.292425
Moved 506.6026 292.9349 497.9783 -0.1552433 0.2828659
Moved 506.6333 290.1036 496.1036 -0.1617972 0.2780443
Moved 506.664 287.6746 494.6746 -0.1674199 0.2743688
Moved 506.6948 285.5 493.5 -0.1724537 0.2713476
Moved 506.7255 283.9024 494 -0.1761518 0.2726337
Stationary 506.7562 283.9024 494 -0.1761518 0.2726337
Moved 506.787 282.9685 494 -0.1783136 0.2726337
Stationary 506.8177 282.9685 494 -0.1783136 0.2726337
Stationary 506.8484 283 494 -0.1782407 0.2726337
Moved 506.8792 281.5 494 -0.181713 0.2726337
Stationary 506.9099 281.5 494 -0.181713 0.2726337
Stationary 506.9406 281.5 494 -0.181713 0.2726337
Moved 506.9713 282 494 -0.1805555 0.2726337
Stationary 507.0021 282 494 -0.1805555 0.2726337
Stationary 507.0328 282 494 -0.1805555 0.2726337
Stationary 507.0636 282 494 -0.1805555 0.2726337
Stationary 507.0943 282 494 -0.1805555 0.2726337
Stationary 507.125 282 494 -0.1805555 0.2726337
Stationary 507.1558 282 494 -0.1805555 0.2726337
Stationary 507.1865 282 494 -0.1805555 0.2726337
Stationary 507.2172 282 494 -0.1805555 0.2726337
Stationary 507.248 282 494 -0.1805555 0.2726337
Stationary 507.2787 282 494 -0.1805555 0.2726337
Stationary 507.3094 282 494 -0.1805555 0.2726337
Stationary 507.3402 282 494 -0.1805555 0.2726337
Stationary 507.3709 282 494 -0.1805555 0.2726337
Moved 507.4016 290.7477 494 -0.1603063 0.2726337
Moved 507.4324 290.2492 494 -0.1614602 0.2726337
Moved 507.4631 291.1194 494 -0.1594459 0.2726337
Moved 507.4938 292.0946 494 -0.1571883 0.2726337
Moved 507.5246 293.0526 494 -0.1549707 0.2726337
Moved 507.5553 294.027 494 -0.1527152 0.2726337
Stationary 507.586 294.027 494 -0.1527152 0.2726337
Moved 507.6168 295 494 -0.150463 0.2726337
Stationary 507.6475 295 494 -0.150463 0.2726337
Moved 507.6782 296.0517 494 -0.1480285 0.2726337
Stationary 507.709 296.0517 494 -0.1480285 0.2726337
