why do you ask silly questions
Direct
0.6 0.6
432 388.8
Began 661.8918 154 497 -0.4768519 0.2803498
Stationary 661.9225 154 497 -0.4768519 0.2803498
Moved 661.9532 177.3759 497 -0.4227409 0.2803498
Moved 661.9839 295.236 475.5031 -0.1499167 0.2250594
Moved 662.0147 338.6151 449.5146 -0.04950206 0.1582164
Moved 662.0455 378.6416 386.7169 0.04315178 -0.003300341
Moved 662.0762 397.3669 351.6608 0.08649737 -0.09346518
Moved 662.107 409.7235 331.3456 0.1151007 -0.1457161
Moved 662.1378 413.1753 325.6494 0.1230909 -0.1603668
Moved 662.1685 415 348.0515 0.1273148 -0.1027484
Moved 662.1992 397.6125 438.3407 0.08706589 0.129477
Moved 662.23 376.7813 487.4375 0.03884544 0.2557549
Moved 662.2607 367.6849 503.5515 0.0177891 0.2972001
Ended 662.2915 363 514 0.006944438 0.324074
Began 662.9066 251 387 -0.2523148 -0.002572055
Stationary 662.9373 251 387 -0.2523148 -0.002572055
Moved 662.9681 280.1816 387 -0.1847648 -0.002572055
Moved 662.9988 338.8928 413.942 -0.04885922 0.06672306
Moved 663.0295 397 449.5 0.0856481 0.158179
Moved 663.0602 434.5721 476.3066 0.1726206 0.2271261
Moved 663.091 460.479 500.479 0.2325902 0.2892978
Moved 663.1218 476.948 521.6475 0.270713 0.3437434
Ended 663.1525 483.617 533.1107 0.2861505 0.3732269
Began 663.5215 380 479 0.04629632 0.2340534
Stationary 663.5523 380 479 0.04629632 0.2340534
Moved 663.5831 415.5914 479 0.1286837 0.2340534
Moved 663.6138 467.957 479 0.2499004 0.2340534
Moved 663.6446 496.9435 479 0.3169988 0.2340534
Moved 663.6754 514.2277 487.8713 0.3570085 0.2568705
Moved 663.7061 520.8511 495.7023 0.3723406 0.2770121
Moved 663.7368 505.1711 511.8931 0.3360441 0.318655
Moved 663.7676 492.6743 515.6977 0.3071165 0.3284405
Moved 663.7983 468.7145 515 0.2516539 0.326646
Moved 663.829 452.2614 515 0.213568 0.326646
Ended 663.8599 450 508 0.2083333 0.3086419
Began 664.9053 148 383 -0.4907407 -0.01286016
Stationary 664.9361 148 383 -0.4907407 -0.01286016
Moved 664.9669 171.3847 372.9615 -0.4366096 -0.0386793
Moved 664.9976 224.6735 363.3878 -0.3132558 -0.06330309
Moved 665.0283 274.1526 354.3889 -0.1987207 -0.08644825
Moved 665.0591 307.765 354 -0.1209142 -0.08744855
Moved 665.0898 335.473 353 -0.05677556 -0.09002065
Moved 665.1206 354.9938 353 -0.01158834 -0.09002065
Moved 665.1514 364.4105 353 0.01020948 -0.09002065
Moved 665.1821 369.5934 353 0.022207 -0.09002065
Moved 665.2128 372.8477 353 0.02974013 -0.09002065
Moved 665.2436 389.5104 353 0.06831119 -0.09002065
Moved 665.2744 422.2863 358.0003 0.1441812 -0.07715978
Moved 665.3051 454.9409 364.4852 0.2197707 -0.06048037
Moved 665.3358 487.1382 374.1415 0.2943015 -0.0356445
Moved 665.3661 502.557 378.2595 0.3299932 -0.02505275
Moved 665.3973 507 380.5 0.3402778 -0.0192902
Moved 665.4281 510.0835 382.0834 0.3474154 -0.01521758
Moved 665.4589 510 386.5236 0.3472221 -0.003797311
Moved 665.4896 499.4413 394.5587 0.3227807 0.01686908
Moved 665.5203 493 397.5 0.3078704 0.02443408
Moved 665.5511 480.1269 401.9746 0.2780714 0.03594285
Moved 665.5819 464.5 406 0.2418981 0.04629618
Moved 665.6126 446.541 406 0.2003262 0.04629618
Ended 665.6434 446.541 406 0.2003262 0.04629618
Began 666.6274 233 374 -0.2939815 -0.03600823
Stationary 666.658 233 374 -0.2939815 -0.03600823
Moved 666.6888 273.2719 391.0314 -0.2007596 0.007796777
Moved 666.7195 345.8869 424.6758 -0.03266925 0.09433075
Moved 666.7504 408.7101 458.0579 0.1127548 0.1801901
Moved 666.7811 442.8734 482.5682 0.1918366 0.2432308
Moved 666.8119 464.2691 500.2691 0.2413637 0.2887579
Moved 666.8426 475.5077 512.2615 0.2673789 0.3196025
Moved 666.8734 479.3036 519.6073 0.2761659 0.3384961
Moved 666.9041 480.5 522.5 0.2789353 0.3459361
Moved 666.9349 480 524.0405 0.2777778 0.3498982
Stationary 666.9656 480 524 0.2777778 0.3497942
Moved 666.9963 480 512.356 0.2777778 0.3198455
