the bathroom is good for reading
Direct
0.6 0.6
432 388.8
Began 672.8082 336 519 -0.05555556 0.3369341
Stationary 672.8389 336 519 -0.05555556 0.3369341
Moved 672.8698 354.0175 486.2106 -0.01384849 0.2525993
Moved 672.9005 387.0513 429.6263 0.06261885 0.1070634
Moved 672.9313 409.3462 390.3076 0.1142273 0.00593519
Moved 672.962 421.1502 368.2662 0.1415513 -0.05075564
Moved 672.9927 425.2629 355.9482 0.1510716 -0.08243788
Moved 673.0235 426 351.1901 0.1527777 -0.09467576
Moved 673.0543 406.2748 351 0.1071177 -0.09516476
Moved 673.085 360.2644 394.2095 0.0006121396 0.0159709
Moved 673.1157 326.5685 422.0575 -0.07738783 0.08759639
Moved 673.1464 297.5039 450.4962 -0.1446669 0.160741
Moved 673.1772 279.1581 466.8616 -0.187134 0.2028334
Ended 673.208 268 481 -0.212963 0.2391974
Began 673.9153 394 233 0.07870366 -0.3986626
Stationary 673.946 394 233 0.07870366 -0.3986626
Moved 673.9768 358.7207 250.4453 -0.002961258 -0.353793
Moved 674.0076 292.5499 288.1259 -0.1561344 -0.2568778
Moved 674.0383 239.7906 312.7432 -0.2782625 -0.1935617
Moved 674.069 199.7462 333.7979 -0.3709579 -0.1394089
Moved 674.0999 179.045 345.6367 -0.4188773 -0.1089592
Moved 674.1306 169.4117 353.5883 -0.4411766 -0.08850741
Moved 674.1613 169 360.4108 -0.4421296 -0.07095996
Moved 674.1921 244.0499 406.0228 -0.2684031 0.04635497
Moved 674.2228 288.0657 422.1741 -0.1665145 0.08789619
Moved 674.2535 312.7961 433.4976 -0.1092683 0.1170203
Moved 674.2844 325.2253 444.2253 -0.08049701 0.1446123
Moved 674.3151 329 458.1704 -0.07175927 0.1804793
Moved 674.3458 329 480.8115 -0.07175927 0.2387125
Moved 674.3765 317.0872 495.8255 -0.09933507 0.2773289
Moved 674.4073 313.6426 502.3574 -0.1073087 0.294129
Moved 674.4381 314 505.5 -0.1064815 0.3022119
Moved 674.4688 314 505 -0.1064815 0.3009258
Moved 674.4996 332.7661 479.1594 -0.06304149 0.2344633
Moved 674.5303 369.1002 420.9854 0.02106528 0.08483894
Moved 674.5611 379.1061 407.6174 0.04422714 0.05045616
Moved 674.5918 393.7459 388.0676 0.07811557 0.0001738984
Moved 674.6226 401.4599 377.0801 0.09597202 -0.02808606
Ended 674.6533 404 375 0.1018518 -0.03343629
Began 675.0531 293 494 -0.1550926 0.2726337
Stationary 675.0839 293 494 -0.1550926 0.2726337
Moved 675.1146 307.1076 494 -0.1224361 0.2726337
Moved 675.1454 324.5526 487.348 -0.08205409 0.2555245
Moved 675.1761 341.6475 484.7941 -0.04248267 0.2489559
Moved 675.2069 355.0019 485 -0.01156961 0.2494856
Moved 675.2376 361.5891 484 0.003678501 0.2469135
Ended 675.2683 361.5891 484 0.003678501 0.2469135
Backspace 675.7912
Began 676.6522 335 528 -0.05787035 0.3600822
Stationary 676.683 335 528 -0.05787035 0.3600822
Stationary 676.7137 335 528 -0.05787035 0.3600822
Moved 676.7444 369.8513 478.1945 0.02280394 0.2319816
Moved 676.7751 400.6139 430.3533 0.0940137 0.1089333
Moved 676.8059 420.1384 386.7231 0.1392093 -0.003284171
Moved 676.8366 429.6781 364.1917 0.161292 -0.06123539
Moved 676.8674 433 355.4376 0.1689814 -0.08375105
Moved 676.8979 433 353.9287 0.1689814 -0.08763199
Stationary 676.9289 433 354 0.1689814 -0.08744855
Moved 676.9597 424.3046 354 0.1488533 -0.08744855
Moved 676.9904 403.5922 371.5599 0.1009079 -0.04228435
Moved 677.0212 368.5223 398.5876 0.01972755 0.02723152
Moved 677.0519 325.5 436.5 -0.07986113 0.1247428
Moved 677.0827 288.1289 485.1977 -0.1663682 0.249994
Moved 677.1135 270.9934 512.4118 -0.2060337 0.3199891
Moved 677.1442 262.5469 528.5417 -0.225586 0.3614754
Ended 677.1749 262 530 -0.2268519 0.3652262
Began 678.0359 398 264 0.08796295 -0.31893
Stationary 678.0667 398 264 0.08796295 -0.31893
Moved 678.0975 398 271.3615 0.08796295 -0.2999962
Moved 678.1282 398 285.9254 0.08796295 -0.2625377
Moved 678.159 410.2741 297.5483 0.1163753 -0.2326433
Moved 678.1898 416.54 308.9001 0.1308797 -0.2034464
Moved 678.2205 421.434 319.3019 0.1422083 -0.1766926
