where did you get that tie
Direct
0.6 0.6
432 388.8
Began 974.5246 194 492 -0.3842593 0.2674896
Stationary 974.5554 194 492 -0.3842593 0.2674896
Stationary 974.586 194 492 -0.3842593 0.2674896
Stationary 974.6168 194 492 -0.3842593 0.2674896
Moved 974.6475 215.8766 482.9981 -0.3336189 0.2443366
Moved 974.6782 242.0215 465.7544 -0.2730985 0.1999855
Moved 974.7089 285.2608 439.8696 -0.1730073 0.1334093
Moved 974.7396 340.0027 418.8491 -0.04628996 0.07934425
Moved 974.7704 378.857 403.039 0.04365057 0.03868052
Moved 974.8011 404.9087 391.4092 0.1039554 0.008768545
Moved 974.8318 420.946 383.527 0.1410786 -0.01150461
Moved 974.8626 430.211 379.3945 0.1625255 -0.02213348
Moved 974.8933 434.1097 376.8903 0.1715502 -0.02857444
Moved 974.924 436.9778 376.0222 0.1781893 -0.03080705
Moved 974.9547 438.845 375 0.1825116 -0.03343629
Moved 974.9854 440 373.5 0.1851852 -0.03729432
Moved 975.0161 441.3197 374 0.18824 -0.03600823
Moved 975.0469 442.1288 373 0.190113 -0.03858032
Stationary 975.0776 442.1288 373 0.190113 -0.03858032
Moved 975.1083 442 371.8928 0.1898148 -0.041428
Stationary 975.139 442 371.8928 0.1898148 -0.041428
Stationary 975.1697 442 371.8928 0.1898148 -0.041428
Stationary 975.2005 442 372 0.1898148 -0.04115226
Moved 975.2313 427.5263 372 0.1563109 -0.04115226
Moved 975.2619 404.4735 386.3948 0.1029481 -0.004128586
Moved 975.2925 372.7167 407.5222 0.02943675 0.05021138
Moved 975.3234 328.081 432.6893 -0.07388666 0.1149415
Moved 975.3541 309.1516 444.7705 -0.1177047 0.1460146
Moved 975.3848 276.5079 469.0494 -0.1932686 0.2084602
Moved 975.4155 260.2284 482.7715 -0.2309527 0.2437538
Moved 975.4463 254.806 488.194 -0.2435047 0.2577007
Moved 975.4769 251 490.5 -0.2523148 0.2636316
Moved 975.5077 252 491.8331 -0.25 0.2670604
Moved 975.5385 273 495.5 -0.2013889 0.2764916
Moved 975.5692 292.763 497.2519 -0.1556411 0.2809976
Moved 975.5999 303.3728 497 -0.1310815 0.2803498
Moved 975.6306 307.9918 498 -0.1203895 0.2829217
Moved 975.6613 310 498 -0.1157407 0.2829217
Stationary 975.6921 310 498 -0.1157407 0.2829217
Moved 975.7227 290.7213 498 -0.1603674 0.2829217
Moved 975.7535 276.4106 498 -0.193494 0.2829217
Moved 975.7842 265.909 498 -0.2178033 0.2829217
Ended 975.8149 263 498 -0.2245371 0.2829217
Began 977.0131 261 366 -0.2291666 -0.05658444
Stationary 977.0438 261 366 -0.2291666 -0.05658444
Moved 977.0745 275.7792 377.6122 -0.1949556 -0.02671756
Moved 977.1052 325.0791 411.4302 -0.08083542 0.06026291
Moved 977.1359 407.992 468.1245 0.1110926 0.2060815
Moved 977.1667 436.007 488.3392 0.1759422 0.2580739
Moved 977.1974 461.6005 506.0003 0.2351864 0.3034986
Moved 977.2281 473.8099 513.405 0.2634487 0.3225436
Moved 977.2589 479 516.5715 0.275463 0.3306879
Stationary 977.2896 479 517 0.275463 0.33179
Moved 977.3203 446.4542 489.4329 0.2001255 0.260887
Moved 977.351 373.7845 427.6519 0.03190845 0.1019852
Moved 977.3817 331.6604 390.876 -0.06560097 0.007396941
Moved 977.4124 304.7201 370.3315 -0.1279627 -0.04544364
Moved 977.4432 290.5367 362.8147 -0.1607946 -0.06477701
Moved 977.4739 283.9914 359 -0.1759458 -0.07458848
Ended 977.5046 284 358 -0.1759259 -0.07716057
Began 978.6414 377 482 0.03935188 0.2417695
Stationary 978.6721 377 482 0.03935188 0.2417695
Stationary 978.7028 377 482 0.03935188 0.2417695
Stationary 978.7322 377 482 0.03935188 0.2417695
Moved 978.7642 433.5429 482 0.1702381 0.2417695
Moved 978.7949 470.0778 482 0.2548098 0.2417695
Moved 978.8256 487.9149 482 0.2960994 0.2417695
Moved 978.8564 496.1468 482 0.3151545 0.2417695
Moved 978.8871 499.5 482 0.3229167 0.2417695
Moved 978.9177 500 482 0.324074 0.2417695
Moved 978.9485 482.5382 482 0.2836533 0.2417695
Moved 978.9792 457.1448 474 0.2248721 0.2211934
Moved 979.0099 434.2534 473 0.1718828 0.2186213
Moved 979.0407 419.2698 473 0.1371987 0.2186213
