players must know all the rules
Direct
0.6 0.6
432 388.8
Began 1198.654 576 533 0.5000001 0.3729423
Stationary 1198.685 576 533 0.5000001 0.3729423
Stationary 1198.716 576 533 0.5000001 0.3729423
Stationary 1198.746 576 533 0.5000001 0.3729423
Moved 1198.777 576 518.566 0.5000001 0.335818
Moved 1198.808 564.7228 497.1684 0.4738953 0.2807828
Moved 1198.839 557.3868 471.5472 0.4569138 0.2148848
Moved 1198.869 553.3044 454.9131 0.4474639 0.1721015
Moved 1198.9 548.564 433.9739 0.4364907 0.1182455
Moved 1198.931 545 413.4027 0.4282407 0.06533615
Moved 1198.961 544 398.9312 0.4259259 0.02811518
Moved 1198.992 543 394.2609 0.4236111 0.01610301
Moved 1199.023 542 388.5361 0.4212962 0.001378746
Moved 1199.054 541 385.3915 0.4189815 -0.006709275
Moved 1199.084 539.8848 382.8848 0.4164 -0.01315639
Moved 1199.115 538.9722 381 0.4142876 -0.01800419
Moved 1199.146 538 378.0959 0.4120371 -0.02547354
Moved 1199.176 536.6266 376.6266 0.4088579 -0.02925268
Moved 1199.207 536 374.7039 0.4074074 -0.0341979
Moved 1199.238 532.8316 372.8316 0.4000732 -0.03901336
Moved 1199.269 528.908 372 0.3909908 -0.04115226
Moved 1199.299 520.4822 370.2964 0.3714865 -0.0455339
Moved 1199.33 496.5637 367.5071 0.3161196 -0.05270813
Moved 1199.361 469.3484 365.6348 0.2531212 -0.05752359
Moved 1199.391 440.5976 362.7598 0.1865686 -0.06491829
Moved 1199.422 410.3165 363 0.1164734 -0.06430049
Moved 1199.453 377.4187 363 0.04032115 -0.06430049
Moved 1199.484 346.6494 363 -0.03090406 -0.06430049
Moved 1199.514 316.9896 363 -0.09956121 -0.06430049
Moved 1199.545 294.6161 363 -0.1513516 -0.06430049
Moved 1199.576 268.2161 370.7784 -0.2124627 -0.04429429
Moved 1199.606 245.4292 372.653 -0.2652101 -0.03947293
Moved 1199.637 227.9559 375.1492 -0.3056577 -0.03305262
Moved 1199.668 212.6863 378.0784 -0.3410039 -0.02551852
Moved 1199.698 202.1622 379 -0.3653652 -0.02314815
Moved 1199.729 195.3635 379 -0.381103 -0.02314815
Moved 1199.76 191.6638 379 -0.3896672 -0.02314815
Moved 1199.791 189.7909 380 -0.3940025 -0.02057613
Moved 1199.821 190 382.0453 -0.3935185 -0.01531569
Moved 1199.852 190 385.741 -0.3935185 -0.00581031
Moved 1199.883 190 390.0784 -0.3935185 0.005345521
Moved 1199.913 202.2253 398.2253 -0.3652193 0.02629959
Moved 1199.944 213.1001 406.8251 -0.340046 0.04841832
Moved 1199.975 233.795 424.3463 -0.2921411 0.09348304
Moved 1200.006 269.2887 449.5258 -0.20998 0.1582452
Moved 1200.036 303.5948 471.3569 -0.1305676 0.2143952
Moved 1200.067 325.9835 484.7048 -0.078742 0.2487263
Moved 1200.098 342.6447 493.8224 -0.04017428 0.2721769
Moved 1200.128 356.8692 501.4346 -0.007247131 0.2917556
Moved 1200.159 371.7359 509.368 0.02716641 0.3121603
Moved 1200.19 380.5239 514.3492 0.04750898 0.3249723
Moved 1200.22 387.1121 518.1121 0.06275952 0.3346504
Moved 1200.251 391.9788 520 0.07402489 0.3395061
Moved 1200.282 393.858 521 0.07837494 0.3420781
Moved 1200.313 394 522 0.07870366 0.3446501
Moved 1200.343 395 522 0.08101851 0.3446501
Stationary 1200.374 395 522 0.08101851 0.3446501
Moved 1200.405 383.1543 522 0.05359789 0.3446501
Moved 1200.436 357.8385 522 -0.005003562 0.3446501
Moved 1200.466 332.368 512.092 -0.06396294 0.3191665
Moved 1200.497 311.7347 506.3528 -0.1117252 0.3044052
Moved 1200.528 292.2924 501.4308 -0.1567305 0.291746
Moved 1200.558 274.3326 496.5331 -0.1983041 0.2791488
Moved 1200.589 265.1732 494.3911 -0.2195064 0.2736394
Moved 1200.62 260.5191 493 -0.2302798 0.2700616
Moved 1200.65 260 493 -0.2314815 0.2700616
Stationary 1200.681 260 493 -0.2314815 0.2700616
Stationary 1200.712 260 493 -0.2314815 0.2700616
Moved 1200.743 270.9531 493 -0.2061271 0.2700616
Moved 1200.773 280.6565 493 -0.1836655 0.2700616
Moved 1200.804 291.1141 501.038 -0.1594581 0.2907356
Moved 1200.835 299.7301 503 -0.1395136 0.2957818
