reading week is just about here
Direct
0.6 0.6
432 388.8
Began 1258.52 316 494 -0.1018519 0.2726337
Stationary 1258.55 316 494 -0.1018519 0.2726337
Stationary 1258.581 316 494 -0.1018519 0.2726337
Stationary 1258.612 316 494 -0.1018519 0.2726337
Stationary 1258.642 316 494 -0.1018519 0.2726337
Moved 1258.673 298.0298 494 -0.1434496 0.2726337
Moved 1258.704 287.988 494 -0.1666944 0.2726337
Moved 1258.734 281.6839 494 -0.1812872 0.2726337
Moved 1258.765 275.8388 494 -0.1948175 0.2726337
Moved 1258.796 271.0897 494 -0.205811 0.2726337
Moved 1258.827 266.3398 494 -0.216806 0.2726337
Moved 1258.857 258.6209 494 -0.2346739 0.2726337
Moved 1258.888 243.6832 469.4637 -0.2692519 0.2095259
Moved 1258.919 232.7755 454.7007 -0.2945012 0.1715552
Moved 1258.95 221.3849 440.6619 -0.3208683 0.1354471
Moved 1258.98 204.1539 415.2565 -0.3607549 0.07010401
Moved 1259.011 201.2259 408.0649 -0.3675326 0.05160712
Moved 1259.042 197.7507 399.2521 -0.3755771 0.0289406
Moved 1259.072 197 395.4476 -0.3773148 0.01915523
Moved 1259.103 202.2391 391.3451 -0.3651873 0.008603633
Moved 1259.134 218.1348 386.4775 -0.3283916 -0.003915795
Moved 1259.165 230.6104 382.5974 -0.2995129 -0.01389554
Moved 1259.195 239.932 380.017 -0.2779352 -0.02053241
Moved 1259.226 250.5365 377.1545 -0.2533876 -0.02789493
Moved 1259.257 260.1825 374.2725 -0.2310589 -0.0353073
Moved 1259.287 265.3982 373 -0.2189856 -0.03858032
Moved 1259.318 270.2685 373 -0.2077119 -0.03858032
Moved 1259.349 277.0453 373 -0.1920248 -0.03858032
Moved 1259.38 303.6138 403.6138 -0.1305235 0.04015891
Moved 1259.41 342.4918 442.8861 -0.04052828 0.141168
Moved 1259.441 378.5528 470.7329 0.04294624 0.2127904
Moved 1259.472 425.9397 504.4921 0.1526381 0.2996195
Moved 1259.503 448.4228 521.6481 0.2046825 0.3437451
Moved 1259.533 464.2679 532.7009 0.2413609 0.3721731
Moved 1259.564 472.3426 539.3426 0.2600524 0.3892555
Moved 1259.595 475.3191 541.319 0.2669423 0.394339
Moved 1259.625 479.2732 530.7704 0.2760955 0.3672078
Moved 1259.656 479 511.3957 0.275463 0.3173757
Moved 1259.687 471.896 452.2 0.2590185 0.1651234
Moved 1259.718 453.7152 387.4039 0.2169334 -0.0015331
Moved 1259.748 439.876 341.5042 0.1848983 -0.119588
Moved 1259.779 434.1588 311.7148 0.1716639 -0.1962067
Moved 1259.81 431.2023 295.0117 0.1648203 -0.2391676
Moved 1259.84 428.7594 287.2782 0.1591653 -0.2590581
Moved 1259.871 428 281.5713 0.1574074 -0.2737364
Moved 1259.902 426.5 279.5 0.1539352 -0.2790638
Moved 1259.933 418.2675 286.6254 0.1348785 -0.2607372
Moved 1259.963 395.4987 314.8517 0.08217295 -0.1881387
Moved 1259.994 375.0624 346.9064 0.03486673 -0.1056936
Moved 1260.025 365.5934 361.6099 0.01294762 -0.06787579
Moved 1260.055 362.1858 368.6285 0.00505964 -0.04982403
Moved 1260.086 361 373.2683 0.002314846 -0.03789014
Ended 1260.117 361 375.0677 0.002314846 -0.03326204
Began 1261.131 209 485 -0.349537 0.2494856
Stationary 1261.161 209 485 -0.349537 0.2494856
Stationary 1261.192 209 485 -0.349537 0.2494856
Stationary 1261.223 209 485 -0.349537 0.2494856
Stationary 1261.254 209 485 -0.349537 0.2494856
Moved 1261.284 221.7362 491.3845 -0.3200551 0.2659065
Moved 1261.315 229.3777 495.5851 -0.3023664 0.2767107
Moved 1261.346 237.5 498.5 -0.2835648 0.2842077
Moved 1261.376 245.714 503.476 -0.2645509 0.2970062
Moved 1261.407 251.232 507.232 -0.2517779 0.3066665
Moved 1261.438 255.9919 508.9919 -0.2407596 0.311193
Moved 1261.469 258.5337 510.5336 -0.2348758 0.3151585
Moved 1261.499 261.4107 512.4108 -0.2282159 0.3199865
Moved 1261.53 263.2842 513.2842 -0.2238791 0.3222329
Moved 1261.561 264.3734 513 -0.2213578 0.321502
Moved 1261.591 265 514 -0.2199074 0.324074
Moved 1261.622 266.1071 514 -0.2173446 0.324074
Moved 1261.653 267 515.4171 -0.2152778 0.3277187
Moved 1261.684 268 515 -0.212963 0.326646
