that is a very nasty cut
Direct
0.6 0.6
432 388.8
Began 815.0552 365 543 0.01157403 0.3986624
Moved 815.086 365 529.5557 0.01157403 0.3640834
Moved 815.1167 387.8754 485.4988 0.06452649 0.2507686
Moved 815.1475 404.0054 443.9846 0.1018644 0.1439932
Moved 815.1781 414.5249 411.9169 0.1262151 0.06151458
Moved 815.2089 420.5682 386.4431 0.1402042 -0.004004451
Moved 815.2396 420 367.7029 0.1388889 -0.0522046
Moved 815.2703 390.6472 352.2218 0.07094274 -0.09202219
Moved 815.301 331.3 344.3875 -0.06643523 -0.112172
Moved 815.3318 261.6546 344 -0.2276513 -0.1131688
Moved 815.3624 217.6049 342.6403 -0.3296184 -0.1166659
Moved 815.3932 193.8496 341 -0.3846075 -0.1208849
Moved 815.424 177.8976 341 -0.4215334 -0.1208849
Moved 815.4547 171.7087 341 -0.4358595 -0.1208849
Moved 815.4854 168.5 341 -0.4432871 -0.1208849
Moved 815.5161 182.2206 377.2545 -0.4115265 -0.02763764
Moved 815.5468 254.9633 455.1969 -0.2431404 0.1728315
Moved 815.5775 326.2739 507.9297 -0.07806961 0.3084613
Moved 815.6082 442.0134 582.8834 0.1898459 0.5012432
Ended 815.639 510.5 609 0.3483796 0.5684156
Began 817.6053 509 531 0.3449074 0.3677982
Stationary 817.636 509 531 0.3449074 0.3677982
Moved 817.6667 442.4652 489.5325 0.1908917 0.2611431
Moved 817.6974 376 447.5 0.03703703 0.1530349
Moved 817.7281 317.1333 402.8811 -0.09922846 0.03827432
Moved 817.7588 257.0872 360.0623 -0.2382242 -0.07185642
Ended 817.7896 216.4996 338.3033 -0.3321768 -0.1278207
Began 818.4962 193 387 -0.3865741 -0.002572055
Stationary 818.5269 193 387 -0.3865741 -0.002572055
Stationary 818.5577 193 387 -0.3865741 -0.002572055
Ended 818.5884 193 387 -0.3865741 -0.002572055
Began 819.9094 357 233 -0.006944438 -0.3986626
Stationary 819.9402 357 233 -0.006944438 -0.3986626
Stationary 819.9709 357 233 -0.006944438 -0.3986626
Moved 820.0016 349.1926 246.6149 -0.02501721 -0.363645
Moved 820.0323 344.429 252.571 -0.03604407 -0.3483256
Moved 820.063 338.504 261.744 -0.0497592 -0.3247327
Moved 820.0938 333.7687 268.3469 -0.06072059 -0.3077497
Moved 820.1245 331.0073 271.9927 -0.06711274 -0.2983727
Moved 820.1552 327.9395 277.0605 -0.07421409 -0.2853384
Moved 820.186 324.5894 282.8213 -0.0819691 -0.2705214
Moved 820.2167 320.4412 287.5588 -0.09157126 -0.2583365
Moved 820.2474 318.1585 291.683 -0.09685531 -0.2477291
Moved 820.2781 314.7105 298.9342 -0.1048368 -0.2290788
Moved 820.3088 310.9459 306.1082 -0.1135511 -0.2106272
Moved 820.3396 306.2022 315.1967 -0.1245318 -0.1872515
Moved 820.3702 303.0467 326.7664 -0.1318363 -0.1574938
Moved 820.4009 296.3502 341.2996 -0.1473375 -0.1201141
Moved 820.4317 290.8923 354.5129 -0.1599716 -0.0861295
Moved 820.4625 284 373.5 -0.1759259 -0.03729432
Moved 820.4931 275.6942 389.5097 -0.1951524 0.003882906
Moved 820.5239 266.0914 411.7867 -0.217381 0.06117977
Moved 820.5545 255.6374 434.7252 -0.2415801 0.120178
Moved 820.5853 247.0797 452.8406 -0.2613896 0.166771
Moved 820.6161 238.1674 468.3876 -0.2820198 0.2067581
Moved 820.6468 231.7066 480.5869 -0.2969756 0.238135
Moved 820.6775 229 487.0275 -0.3032407 0.2547002
Moved 820.7081 228 491.0989 -0.3055556 0.2651721
Moved 820.7389 228 498.2618 -0.3055556 0.2835951
Moved 820.7697 241.4375 507.15 -0.2744502 0.3064558
Moved 820.8004 261.7667 514.6917 -0.2273919 0.325853
Moved 820.8311 286.2662 520.3165 -0.1706801 0.3403202
Moved 820.8619 303.6637 523.5327 -0.1304082 0.3485923
Moved 820.8926 316.6146 525.4037 -0.1004291 0.3534045
Moved 820.9233 320.9524 525 -0.0903879 0.3523662
Moved 820.954 323 525 -0.08564815 0.3523662
Moved 820.9847 324.7001 525 -0.0817128 0.3523662
Moved 821.0154 326.5 525 -0.07754628 0.3523662
Moved 821.0461 326 513.9091 -0.07870371 0.3238401
Moved 821.0768 326 511.0367 -0.07870371 0.3164523
Moved 821.1075 327.3959 509.6041 -0.07547249 0.3127677
