want to join us for lunch
Direct
0.6 0.6
432 388.8
Began 943.9063 224 530 -0.3148148 0.3652262
Stationary 943.937 224 530 -0.3148148 0.3652262
Stationary 943.9677 224 530 -0.3148148 0.3652262
Moved 943.9985 237.0388 502.338 -0.2846325 0.294079
Moved 944.0292 251.1711 480.7433 -0.2519187 0.2385373
Moved 944.0599 271.5015 452.3732 -0.2048577 0.1655688
Moved 944.0906 294.9624 427.0376 -0.15055 0.1004053
Moved 944.1213 315.9625 405.0328 -0.1019387 0.04380869
Moved 944.152 341.9513 385.7866 -0.04177943 -0.005693082
Moved 944.1828 366.8506 373.0747 0.01585782 -0.0383881
Moved 944.2135 397.3299 361.4772 0.08641183 -0.06821723
Moved 944.2443 405.6879 358.7707 0.1057589 -0.07517834
Moved 944.275 420.9342 353.0164 0.1410515 -0.08997842
Moved 944.3057 431.5883 350.1373 0.1657135 -0.09738364
Moved 944.3364 438.1325 348.4338 0.1808622 -0.101765
Moved 944.3671 442.3033 348 0.1905168 -0.1028807
Moved 944.3979 446.1758 346.8242 0.199481 -0.1059049
Moved 944.4286 448.5 347 0.2048611 -0.1054527
Moved 944.4593 449.2432 347 0.2065815 -0.1054527
Moved 944.4901 450.0051 347 0.2083452 -0.1054527
Stationary 944.5207 450 347 0.2083333 -0.1054527
Moved 944.5515 450 354.4764 0.2083333 -0.0862233
Moved 944.5822 450 356.7109 0.2083333 -0.08047614
Moved 944.613 442.4194 360.5806 0.1907856 -0.07052331
Moved 944.6437 438.5477 363.4523 0.1818233 -0.06313701
Moved 944.6744 436.0053 366 0.1759383 -0.05658444
Moved 944.7051 432.1271 369.8729 0.166961 -0.04662337
Moved 944.7358 430.2542 371.7458 0.1626254 -0.0418061
Moved 944.7665 428.8245 373.1755 0.1593161 -0.038129
Moved 944.7972 426.859 374 0.1547663 -0.03600823
Moved 944.828 427 375.5 0.1550926 -0.03215028
Moved 944.8588 426 376.5 0.1527777 -0.02957819
Moved 944.8895 424.5 376 0.1493056 -0.03086435
Moved 944.9202 425 377 0.150463 -0.02829226
Moved 944.9509 423.8017 378 0.1476892 -0.02572024
Moved 944.9816 422.9328 379 0.1456777 -0.02314815
Stationary 945.0124 422.9328 379 0.1456777 -0.02314815
Moved 945.0431 421.97 380 0.143449 -0.02057613
Moved 945.0738 420.5 381 0.1400463 -0.01800419
Moved 945.1045 419.7513 381 0.1383132 -0.01800419
Moved 945.1352 418.7864 382.2136 0.1360797 -0.01488273
Moved 945.166 417.5 382 0.1331019 -0.01543218
Moved 945.1967 415.5404 382 0.1285657 -0.01543218
Moved 945.2274 413.9922 382 0.1249821 -0.01543218
Moved 945.2582 412.1187 382 0.1206453 -0.01543218
Moved 945.2889 410.2433 382 0.116304 -0.01543218
Moved 945.3196 408.685 382 0.1126967 -0.01543218
Moved 945.3503 406.8493 373.8493 0.1084476 -0.0363959
Moved 945.381 406 371.9791 0.1064815 -0.04120595
Moved 945.4118 405 369.1083 0.1041667 -0.04858974
Moved 945.4424 402.5 365.5 0.09837966 -0.05787045
Moved 945.4732 402 359.3433 0.09722222 -0.07370544
Moved 945.5039 399.7982 352.5964 0.09212554 -0.09105862
Moved 945.5347 399 344.7595 0.09027779 -0.1112154
Moved 945.5654 399 338.7675 0.09027779 -0.1266268
Moved 945.5961 399 329.5341 0.09027779 -0.1503754
Moved 945.6268 399 319.9176 0.09027779 -0.1751091
Moved 945.6575 399 310.0598 0.09027779 -0.2004637
Moved 945.6883 399 301.0282 0.09027779 -0.223693
Moved 945.719 399 292.1494 0.09027779 -0.2465293
Moved 945.7497 399 284.5663 0.09027779 -0.2660331
Moved 945.7805 406.1359 277.9418 0.106796 -0.2830715
Moved 945.8112 407 270.207 0.1087963 -0.3029655
Moved 945.8419 408.77 263.46 0.1128935 -0.3203189
Moved 945.8726 409.6429 259.3571 0.1149141 -0.3308717
Moved 945.9033 410 257 0.1157407 -0.3369342
Moved 945.934 410 254.9678 0.1157407 -0.3421611
Stationary 945.9648 410 255 0.1157407 -0.3420782
Moved 945.9955 392.5869 285.8263 0.07543256 -0.2627924
Moved 946.0262 362.1112 374.7271 0.004886985 -0.03413817
Moved 946.0569 344.6586 436.6948 -0.03551245 0.1252436
Moved 946.0877 333.8145 495.7624 -0.06061465 0.2771666
