did you have a good time
Direct
0.6 0.6
432 388.8
Began 1117.071 257 338 -0.2384259 -0.1286009
Stationary 1117.101 257 338 -0.2384259 -0.1286009
Stationary 1117.132 257 338 -0.2384259 -0.1286009
Stationary 1117.163 257 338 -0.2384259 -0.1286009
Moved 1117.194 279.6896 360.3586 -0.1859036 -0.07109426
Moved 1117.224 330.4782 416.5633 -0.06833747 0.07346521
Moved 1117.255 390.7444 475.1548 0.07116774 0.2241635
Moved 1117.286 424.3279 508.4399 0.1489071 0.3097732
Moved 1117.317 451.6 535.6 0.212037 0.3796295
Moved 1117.347 466.6711 552.3388 0.2469238 0.422682
Moved 1117.378 477.0941 562.0941 0.2710512 0.4477728
Moved 1117.409 483.183 566.0915 0.2851458 0.4580542
Moved 1117.439 486.9666 569.9666 0.2939041 0.468021
Moved 1117.47 487 571.3976 0.2939814 0.4717015
Stationary 1117.501 487 571 0.2939814 0.4706789
Moved 1117.532 443.4418 530.6817 0.1931522 0.3669795
Moved 1117.563 389.3397 476.1025 0.06791592 0.226601
Moved 1117.593 359.0801 440.1102 -0.002129376 0.1340282
Moved 1117.624 337.0383 411.7745 -0.05315199 0.06114838
Moved 1117.655 317.9101 385.5859 -0.09743035 -0.006209244
Moved 1117.686 304.4268 366.7975 -0.1286416 -0.05453306
Moved 1117.716 292.4299 350.0499 -0.1564122 -0.09760828
Moved 1117.747 283.5467 339.82 -0.1769753 -0.1239197
Moved 1117.778 277.7983 332.7983 -0.1902818 -0.1419798
Moved 1117.808 276 329.5186 -0.1944444 -0.1504151
Stationary 1117.839 276 329.5186 -0.1944444 -0.1504151
Ended 1117.87 276 330 -0.1944444 -0.149177
Began 1118.7 346 471 -0.03240739 0.2134772
Stationary 1118.731 346 471 -0.03240739 0.2134772
Stationary 1118.761 346 471 -0.03240739 0.2134772
Stationary 1118.792 346 471 -0.03240739 0.2134772
Moved 1118.823 381.1602 478.2961 0.0489821 0.232243
Moved 1118.854 418.217 488.0543 0.1347615 0.2573411
Moved 1118.884 453.6061 496.6818 0.2166807 0.2795314
Moved 1118.915 483.3676 505.3103 0.2855732 0.3017239
Moved 1118.946 500.7798 509.9119 0.3258792 0.3135594
Moved 1118.976 514.4993 512.8331 0.3576372 0.3210726
Moved 1119.007 524.1504 515 0.3799778 0.326646
Moved 1119.038 525.218 515 0.3824489 0.326646
Moved 1119.069 528.1602 515 0.3892598 0.326646
Moved 1119.099 529.5 515 0.3923611 0.326646
Moved 1119.13 530 515 0.3935185 0.326646
Moved 1119.161 531.0084 515 0.3958527 0.326646
Stationary 1119.192 531 515 0.3958333 0.326646
Moved 1119.222 511.8295 502.4147 0.3514572 0.2942765
Moved 1119.253 493.78 496.445 0.3096758 0.2789223
Moved 1119.284 470.9306 487.8373 0.2567838 0.2567832
Moved 1119.315 451.8049 483.0871 0.2125113 0.2445654
Moved 1119.345 437.3639 479.6728 0.179083 0.2357838
Moved 1119.376 429.3725 477.1241 0.1605844 0.2292287
Moved 1119.407 425.237 477 0.1510115 0.2289094
Ended 1119.438 425 477 0.150463 0.2289094
Began 1120.575 403 419 0.09953707 0.07973251
Stationary 1120.606 403 419 0.09953707 0.07973251
Stationary 1120.636 403 419 0.09953707 0.07973251
Stationary 1120.667 403 419 0.09953707 0.07973251
Stationary 1120.698 403 419 0.09953707 0.07973251
Stationary 1120.729 403 419 0.09953707 0.07973251
Stationary 1120.759 403 419 0.09953707 0.07973251
Stationary 1120.79 403 419 0.09953707 0.07973251
Stationary 1120.821 403 419 0.09953707 0.07973251
Moved 1120.852 391.3087 419 0.07247379 0.07973251
Moved 1120.882 391.3885 411.3884 0.07265846 0.06015538
Moved 1120.913 386.5293 407.6862 0.06141037 0.05063308
Moved 1120.944 377.8488 403.9395 0.04131665 0.04099665
Moved 1120.974 353.8588 396.2863 -0.01421576 0.02131227
Moved 1121.005 320.5 389.5 -0.09143516 0.003857946
Moved 1121.036 280.0872 381.441 -0.1849834 -0.01686983
Moved 1121.067 249.4158 378 -0.2559819 -0.02572024
Moved 1121.097 225.7483 375 -0.3107679 -0.03343629
Moved 1121.128 209.9152 373 -0.3474185 -0.03858032
Moved 1121.159 198.1826 372 -0.3745773 -0.04115226
Moved 1121.19 192.3393 372 -0.3881035 -0.04115226
Moved 1121.22 189.5 372 -0.3946759 -0.04115226
