a picture is worth many words
Direct
0.6 0.6
432 388.8
Began 1385.594 177 374 -0.4236111 -0.03600823
Stationary 1385.625 177 374 -0.4236111 -0.03600823
Stationary 1385.656 177 374 -0.4236111 -0.03600823
Stationary 1385.686 177 374 -0.4236111 -0.03600823
Ended 1385.717 177 374 -0.4236111 -0.03600823
Began 1386.486 561 488 0.4652777 0.2572016
Stationary 1386.516 561 488 0.4652777 0.2572016
Stationary 1386.547 561 488 0.4652777 0.2572016
Stationary 1386.578 561 488 0.4652777 0.2572016
Stationary 1386.609 561 488 0.4652777 0.2572016
Stationary 1386.639 561 488 0.4652777 0.2572016
Stationary 1386.67 561 488 0.4652777 0.2572016
Stationary 1386.701 561 488 0.4652777 0.2572016
Stationary 1386.731 561 488 0.4652777 0.2572016
Stationary 1386.762 561 488 0.4652777 0.2572016
Stationary 1386.793 561 488 0.4652777 0.2572016
Moved 1386.824 549.8409 488 0.4394465 0.2572016
Moved 1386.854 538.2681 496.2809 0.4126576 0.2785002
Moved 1386.885 522.6849 497 0.3765855 0.2803498
Moved 1386.916 509.2281 498 0.3454354 0.2829217
Moved 1386.947 498.2148 499.4463 0.3199417 0.2866416
Moved 1386.977 487.7217 499 0.2956521 0.2854938
Moved 1387.008 481.6048 500 0.2814927 0.2880658
Moved 1387.039 476.3841 501 0.2694075 0.2906378
Moved 1387.07 472.3823 501.6177 0.2601442 0.2922266
Moved 1387.1 468.0067 502 0.2500156 0.2932098
Moved 1387.131 464.2776 502 0.2413833 0.2932098
Moved 1387.162 461.1213 502 0.2340771 0.2932098
Moved 1387.193 455.4838 502 0.2210272 0.2932098
Moved 1387.223 450.7361 502 0.2100371 0.2932098
Moved 1387.254 445 502 0.1967593 0.2932098
Moved 1387.285 435.6106 488.6106 0.1750246 0.2587721
Moved 1387.315 421.2262 471.3167 0.1417273 0.2142919
Moved 1387.346 403.0427 449.3902 0.09963581 0.1578965
Moved 1387.377 386.3621 425.2701 0.06102333 0.09585918
Moved 1387.408 364.5497 392.8246 0.01053174 0.01240887
Moved 1387.438 345.2933 360.8222 -0.03404329 -0.06990173
Moved 1387.469 329.0444 334.074 -0.07165646 -0.1386985
Moved 1387.5 312.521 303.5377 -0.1099051 -0.2172384
Moved 1387.531 298.1258 279.0013 -0.1432273 -0.2803466
Moved 1387.561 288.2959 255.3572 -0.1659816 -0.3411596
Moved 1387.592 282.2954 241.7385 -0.1798718 -0.376187
Moved 1387.623 277.3282 230.9847 -0.1913698 -0.4038459
Moved 1387.653 274.4564 224.4564 -0.1980175 -0.4206368
Moved 1387.684 272.5801 220.5802 -0.2023608 -0.4306065
Moved 1387.715 272 217.5 -0.2037037 -0.4385288
Moved 1387.746 270.8104 216.8104 -0.2064575 -0.4403024
Moved 1387.776 271 215.6261 -0.2060186 -0.4433486
Stationary 1387.807 271 215.6261 -0.2060186 -0.4433486
Stationary 1387.838 271 216 -0.2060186 -0.4423869
Moved 1387.869 271 237.1499 -0.2060186 -0.387989
Moved 1387.899 271 263.6827 -0.2060186 -0.319746
Moved 1387.93 280.3091 291.9584 -0.1844698 -0.2470207
Moved 1387.961 283.3015 332.6174 -0.1775429 -0.142445
Moved 1387.992 289.3604 367.3422 -0.1635177 -0.05313222
Moved 1388.022 296.1961 398.7842 -0.1476942 0.02773724
Moved 1388.053 301.5624 424.9367 -0.1352723 0.09500177
Moved 1388.084 306.8807 447.0826 -0.1229613 0.1519613
Moved 1388.115 312.6072 466.4289 -0.1097055 0.2017204
Moved 1388.145 320.6656 485.1082 -0.09105185 0.2497639
Moved 1388.176 329.1757 505.3513 -0.07135262 0.3018295
Moved 1388.207 335.2002 518.4003 -0.05740702 0.3353918
Moved 1388.237 339.9483 526.4224 -0.04641602 0.3560247
Moved 1388.268 340 530.9949 -0.04629632 0.3677851
Moved 1388.299 340 532.8703 -0.04629632 0.3726087
Moved 1388.33 340 534 -0.04629632 0.3755144
Moved 1388.36 340 535.1879 -0.04629632 0.3785697
Moved 1388.391 343.3682 536 -0.03849953 0.3806583
Moved 1388.422 351.245 536 -0.02026622 0.3806583
Moved 1388.453 361.7577 536 0.004068812 0.3806583
Moved 1388.483 370.0865 536 0.02334833 0.3806583
Moved 1388.514 380.0535 536 0.0464201 0.3806583
Moved 1388.545 386.465 527.7675 0.06126155 0.3594843
