healthy food is good for you
Direct
0.6 0.6
432 388.8
Began 1423.092 407 358 0.1087963 -0.07716057
Stationary 1423.123 407 358 0.1087963 -0.07716057
Stationary 1423.153 407 358 0.1087963 -0.07716057
Stationary 1423.184 407 358 0.1087963 -0.07716057
Stationary 1423.215 407 358 0.1087963 -0.07716057
Moved 1423.246 395.931 358 0.08317352 -0.07716057
Moved 1423.276 386.2996 365.4008 0.06087879 -0.05812562
Moved 1423.307 374 372 0.03240744 -0.04115226
Moved 1423.338 352.4891 386.5693 -0.01738637 -0.00367977
Moved 1423.369 331.4725 402.1456 -0.06603588 0.03638268
Moved 1423.399 303.0099 422.4918 -0.1319216 0.08871329
Moved 1423.43 292.518 429.8417 -0.1562083 0.1076174
Moved 1423.461 272 445.5 -0.2037037 0.1478908
Moved 1423.492 254.0384 460.9616 -0.2452815 0.1876584
Moved 1423.522 240.6872 470.7877 -0.2761871 0.2129311
Moved 1423.553 231.6112 481.3889 -0.2971964 0.2401976
Moved 1423.584 222.9644 492.0356 -0.317212 0.2675812
Moved 1423.615 217.9103 500.0897 -0.3289113 0.2882963
Moved 1423.645 214.9628 504.0743 -0.3357342 0.298545
Moved 1423.676 213.085 505 -0.340081 0.3009258
Moved 1423.707 211.6483 505 -0.3434067 0.3009258
Moved 1423.737 210.9266 505 -0.3450773 0.3009258
Moved 1423.768 208.7828 505 -0.3500398 0.3009258
Moved 1423.799 206.9126 494.1262 -0.3543689 0.2729582
Moved 1423.83 204.0432 479.3026 -0.361011 0.2348316
Moved 1423.86 203 457.7345 -0.3634259 0.1793582
Moved 1423.891 203 432.8923 -0.3634259 0.1154638
Moved 1423.922 203 409.4426 -0.3634259 0.05515074
Moved 1423.953 203 391.3012 -0.3634259 0.008490644
Moved 1423.983 210.6537 373.4242 -0.3457091 -0.03748929
Moved 1424.014 213.523 355.3849 -0.3390671 -0.0838866
Moved 1424.045 217.7965 342.407 -0.3291748 -0.1172659
Moved 1424.076 221.525 330.95 -0.3205439 -0.1467338
Moved 1424.106 223.8023 323.5931 -0.3152725 -0.1656556
Moved 1424.137 226.6779 317.6442 -0.3086159 -0.1809564
Moved 1424.168 228.5511 314.4489 -0.3042798 -0.1891748
Moved 1424.198 231.0398 311.9602 -0.298519 -0.1955756
Moved 1424.229 232.9316 311 -0.2941398 -0.1980453
Moved 1424.26 235.8064 310 -0.2874851 -0.2006174
Moved 1424.291 239.6848 310 -0.2785074 -0.2006174
Moved 1424.321 242.2331 310 -0.2726086 -0.2006174
Moved 1424.352 246.2228 310 -0.2633732 -0.2006174
Moved 1424.383 247.5 310 -0.2604167 -0.2006174
Moved 1424.414 250.6379 314.465 -0.2531531 -0.1891332
Moved 1424.444 253.3648 318.3648 -0.2468407 -0.1791029
Moved 1424.475 255 320.2505 -0.2430556 -0.174253
Moved 1424.506 258.1175 321.1175 -0.2358391 -0.172023
Moved 1424.537 260.6957 322.6957 -0.229871 -0.1679637
Moved 1424.567 266.1472 325 -0.2172519 -0.1620371
Moved 1424.598 275.7984 328.4496 -0.1949111 -0.1531647
Moved 1424.629 290.9525 331.3254 -0.1598321 -0.1457679
Moved 1424.66 309.91 333.8638 -0.1159491 -0.1392393
Moved 1424.69 330.2023 336 -0.06897623 -0.1337449
Moved 1424.721 352.3355 336 -0.01774187 -0.1337449
Moved 1424.752 369.6337 336 0.02230019 -0.1337449
Moved 1424.783 397.0876 336 0.08585096 -0.1337449
Moved 1424.813 420.9112 336 0.1409981 -0.1337449
Moved 1424.844 444.2565 336 0.1950382 -0.1337449
Moved 1424.875 462.1176 336 0.2363835 -0.1337449
Moved 1424.906 479.8097 336 0.2773373 -0.1337449
Moved 1424.936 500.2453 336 0.3246419 -0.1337449
Moved 1424.967 514.3707 336 0.3573397 -0.1337449
Moved 1424.998 524.3071 336 0.3803406 -0.1337449
Moved 1425.028 530.5812 336 0.394864 -0.1337449
Moved 1425.059 535.3421 336 0.4058845 -0.1337449
Moved 1425.09 537.7407 336 0.4114367 -0.1337449
Moved 1425.121 539.6077 336 0.4157586 -0.1337449
Moved 1425.151 541.0396 336 0.4190732 -0.1337449
Moved 1425.182 542.2501 336 0.4218753 -0.1337449
Stationary 1425.213 542.2501 336 0.4218753 -0.1337449
Moved 1425.244 525.5959 353.4041 0.3833239 -0.08898142
