where can my little dog be
Direct
0.6 0.6
432 388.8
Began 1578.536 208 514 -0.3518518 0.324074
Stationary 1578.566 208 514 -0.3518518 0.324074
Stationary 1578.597 208 514 -0.3518518 0.324074
Stationary 1578.628 208 514 -0.3518518 0.324074
Stationary 1578.658 208 514 -0.3518518 0.324074
Stationary 1578.689 208 514 -0.3518518 0.324074
Stationary 1578.72 208 514 -0.3518518 0.324074
Stationary 1578.751 208 514 -0.3518518 0.324074
Stationary 1578.781 208 514 -0.3518518 0.324074
Stationary 1578.812 208 514 -0.3518518 0.324074
Stationary 1578.843 208 514 -0.3518518 0.324074
Stationary 1578.874 208 514 -0.3518518 0.324074
Stationary 1578.904 208 514 -0.3518518 0.324074
Moved 1578.935 240.6811 493.141 -0.2762011 0.2704242
Moved 1578.966 269.7662 476.0366 -0.2088745 0.2264315
Moved 1578.997 296.6635 458.4603 -0.1466122 0.1812249
Moved 1579.027 322.3859 442.3908 -0.08706976 0.139894
Moved 1579.058 345.3809 428.0794 -0.03384043 0.1030848
Moved 1579.089 364.2221 415.873 0.009773473 0.07168981
Moved 1579.12 386.0618 401.0988 0.06032814 0.03369014
Moved 1579.15 400.9513 388.8989 0.09479463 0.002312013
Moved 1579.181 416.4526 375.9562 0.1306773 -0.03097691
Moved 1579.212 426.7943 363.3085 0.1546165 -0.06350709
Moved 1579.242 433.9762 358.0237 0.1712413 -0.07709942
Moved 1579.273 437.7601 354.2399 0.1800002 -0.08683153
Moved 1579.304 441.3195 350.6805 0.1882395 -0.09598649
Moved 1579.335 443 348.1401 0.1921296 -0.1025205
Moved 1579.365 443 347.5 0.1921296 -0.1041667
Moved 1579.396 431.4866 348 0.1654782 -0.1028807
Moved 1579.427 399.3835 371.7124 0.0911655 -0.04189197
Moved 1579.458 384.7448 384.5297 0.05727967 -0.008925881
Moved 1579.488 357.8936 413.3698 -0.004875958 0.06525134
Moved 1579.519 332.2259 443.835 -0.06429191 0.1436086
Moved 1579.55 312.5583 464.4418 -0.1098188 0.1966094
Moved 1579.581 296.641 479.359 -0.1466644 0.2349768
Moved 1579.611 283.1444 489.5133 -0.1779064 0.2610939
Moved 1579.642 273.7929 497.9053 -0.1995534 0.2826781
Moved 1579.673 262.2498 504.8751 -0.2262736 0.3006046
Moved 1579.703 253.5795 508.4735 -0.2463438 0.3098598
Moved 1579.734 244.8949 511 -0.266447 0.3163579
Moved 1579.765 240.5191 513.2404 -0.2765761 0.3221204
Moved 1579.796 237.5 514.5 -0.2835648 0.32536
Moved 1579.827 235.6175 516.3825 -0.2879224 0.3302019
Moved 1579.857 236 518.9307 -0.287037 0.336756
Moved 1579.888 244.044 522.2983 -0.2684167 0.3454173
Moved 1579.919 258.7172 527.7435 -0.2344508 0.3594224
Moved 1579.949 274.7974 530.2996 -0.1972282 0.3659967
Moved 1579.98 288.2662 530.8533 -0.1660504 0.3674209
Moved 1580.011 296.1784 531 -0.1477351 0.3677982
Moved 1580.042 303.2607 531 -0.131341 0.3677982
Moved 1580.072 306.1831 531 -0.1245762 0.3677982
Moved 1580.103 308.5 531 -0.119213 0.3677982
Moved 1580.134 309.0001 531 -0.1180554 0.3677982
Stationary 1580.165 309 531 -0.1180555 0.3677982
Moved 1580.195 299.3361 523.4836 -0.1404257 0.3484661
Moved 1580.226 284.3183 515.7728 -0.1751891 0.3286336
Moved 1580.257 273.3564 511.2376 -0.2005639 0.3169691
Moved 1580.288 268.6149 508.6149 -0.2115395 0.3102234
Moved 1580.318 265.1353 508 -0.2195942 0.3086419
Ended 1580.349 265 508 -0.2199074 0.3086419
Began 1581.148 289 219 -0.1643519 -0.4346708
Stationary 1581.179 289 219 -0.1643519 -0.4346708
Stationary 1581.21 289 219 -0.1643519 -0.4346708
Stationary 1581.24 289 219 -0.1643519 -0.4346708
Stationary 1581.271 289 219 -0.1643519 -0.4346708
Moved 1581.302 266.5 256.5 -0.2164352 -0.3382202
Moved 1581.333 240.2708 289.9114 -0.2771508 -0.2522855
Moved 1581.363 215.3176 326.5765 -0.3349129 -0.1579824
Moved 1581.394 197.0006 350.6241 -0.3773133 -0.09613131
Moved 1581.425 179.5265 377.7103 -0.4177628 -0.02646521
Moved 1581.456 172.0944 387.8113 -0.4349667 -0.000485432
Moved 1581.486 168.5051 392.9899 -0.4432754 0.01283398
