the collapse of the Roman empire
Direct
0.6 0.6
432 388.8
Began 1608.23 328 506 -0.07407407 0.3034978
Stationary 1608.261 328 506 -0.07407407 0.3034978
Stationary 1608.292 328 506 -0.07407407 0.3034978
Stationary 1608.322 328 506 -0.07407407 0.3034978
Stationary 1608.353 328 506 -0.07407407 0.3034978
Stationary 1608.384 328 506 -0.07407407 0.3034978
Stationary 1608.415 328 506 -0.07407407 0.3034978
Moved 1608.445 347.3698 487.5252 -0.02923668 0.2559804
Moved 1608.476 362.0778 472.9222 0.004809797 0.2184212
Moved 1608.507 380.8905 452.4108 0.04835775 0.1656656
Moved 1608.538 400.9578 427.5528 0.09480963 0.1017304
Moved 1608.568 407.0378 421.9432 0.1088838 0.08730252
Moved 1608.599 417.389 407.2219 0.132845 0.04943902
Moved 1608.63 430.4562 386.3789 0.163093 -0.004169558
Moved 1608.661 438.559 372.5881 0.1818494 -0.03963973
Moved 1608.691 443.8105 363.379 0.1940058 -0.06332562
Moved 1608.722 451.2011 354.0652 0.2111137 -0.08728098
Moved 1608.753 455.4112 347.5888 0.2208593 -0.1039382
Moved 1608.783 457 343.2391 0.2245371 -0.1151259
Moved 1608.814 458 340.7039 0.2268519 -0.1216464
Moved 1608.845 458 338.5 0.2268519 -0.127315
Moved 1608.876 446.9529 339 0.2012797 -0.1260288
Moved 1608.906 424.4587 344.2331 0.1492099 -0.1125693
Moved 1608.937 398.1433 356.8252 0.08829464 -0.08018219
Moved 1608.968 373.5 368.5 0.03125002 -0.0501544
Moved 1608.999 345.698 389.2416 -0.03310655 0.003193435
Moved 1609.029 319.502 410.9072 -0.09374534 0.05891764
Moved 1609.06 298.9532 429.916 -0.1413121 0.1078085
Moved 1609.091 285 446.5 -0.1736111 0.1504629
Moved 1609.122 276.2496 458.7504 -0.1938666 0.1819711
Moved 1609.152 269.5446 467.9406 -0.2093874 0.2056084
Moved 1609.183 265.9525 473.0712 -0.2177026 0.2188045
Moved 1609.214 263.5 476.5 -0.2233796 0.2276234
Ended 1609.245 264 478.7676 -0.2222222 0.2334556
Began 1610.812 274 213 -0.199074 -0.4501029
Stationary 1610.843 274 213 -0.199074 -0.4501029
Stationary 1610.874 274 213 -0.199074 -0.4501029
Stationary 1610.904 274 213 -0.199074 -0.4501029
Moved 1610.935 285.4701 235.7834 -0.1725229 -0.3915035
Moved 1610.966 302.972 265.8226 -0.1320091 -0.3142423
Moved 1610.997 331.3815 309.0723 -0.06624654 -0.2030035
Moved 1611.027 364.0772 359.3235 0.009437998 -0.07375638
Moved 1611.058 390.814 395.2009 0.07132858 0.01852071
Moved 1611.089 423.0137 438.0189 0.1458651 0.1286493
Moved 1611.12 441.5 461.5 0.1886574 0.1890431
Moved 1611.15 455.4776 480.6686 0.2210129 0.2383452
Moved 1611.181 462.9176 493.5294 0.2382352 0.2714232
Moved 1611.212 467.8791 500.879 0.24972 0.2903266
Moved 1611.243 471.4832 505.9665 0.2580631 0.3034117
Moved 1611.273 475.0216 511.0433 0.2662537 0.3164693
Moved 1611.304 477.2186 513.2186 0.2713393 0.3220642
Moved 1611.335 478 514.8335 0.2731481 0.3262177
Moved 1611.366 479.1059 515 0.2757081 0.326646
Moved 1611.396 480.5 516 0.2789353 0.329218
Moved 1611.427 480 517.0999 0.2777778 0.332047
Moved 1611.458 481.1832 517 0.2805165 0.33179
Moved 1611.489 482.123 518 0.2826921 0.3343621
Stationary 1611.519 482.123 518 0.2826921 0.3343621
Moved 1611.55 482 519.0129 0.2824074 0.3369674
Moved 1611.581 483.3456 519 0.2855222 0.3369341
Stationary 1611.611 483.3456 519 0.2855222 0.3369341
Moved 1611.642 484.1108 519 0.2872936 0.3369341
Stationary 1611.673 484 519 0.287037 0.3369341
Moved 1611.704 487.5 504 0.2951388 0.2983539
Moved 1611.734 491.133 488.4014 0.3035487 0.258234
Moved 1611.765 496.243 452.0557 0.3153774 0.1647523
Moved 1611.796 497.9143 425.8566 0.3192461 0.09736779
Moved 1611.827 502.9071 393.918 0.3308035 0.01522123
Moved 1611.857 508.0102 380.9797 0.3426162 -0.01805647
Moved 1611.888 509 372 0.3449074 -0.04115226
Moved 1611.919 513.8441 360.4676 0.3561206 -0.0708138
Moved 1611.95 517.3475 351.9573 0.3642304 -0.0927024
Moved 1611.98 518 349.1082 0.3657407 -0.1000304
